id,name,english,source,rarity,is_relic
0,无,None,mh4g-save-format,0,0
1,勇气刃笠,Derring Headgear,mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,勇气头盔Ｓ,Derring Helm S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
3,勇气战帽Ｓ,Derring Cap S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
4,皮制刃笠,Leather Headgear,mh4g-dex-build7+mh4edit-mit-save-id,1,0
5,皮质头盔Ｓ,Leather Helm S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
6,皮质战帽Ｓ,Leather Cap S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
7,锁链刃笠,Chainmail Headgear,mh4g-dex-build7+mh4edit-mit-save-id,1,0
8,锁链头盔Ｓ,Chainmail Helm S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
9,锁链战帽Ｓ,Chainmail Cap S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
10,猎人头盔,Hunter's Helm,mh4g-dex-build7+mh4edit-mit-save-id,1,0
11,猎人战帽,Hunter's Cap,mh4g-dex-build7+mh4edit-mit-save-id,1,0
12,猎人头盔Ｓ,Hunter's Helm S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
13,猎人战帽Ｓ,Hunter's Cap S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
14,猎人头盔,Hunter's Helm,mh4g-dex-build7+mh4edit-mit-save-id,1,0
15,猎人战帽,Hunter's Cap,mh4g-dex-build7+mh4edit-mit-save-id,1,0
16,骨制头盔,Bone Helm,mh4g-dex-build7+mh4edit-mit-save-id,1,0
17,骨制战帽,Bone Cap,mh4g-dex-build7+mh4edit-mit-save-id,1,0
18,骨制头盔Ｓ,Bone Helm S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
19,骨制战帽Ｓ,Bone Cap S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
20,合金头盔,Alloy Helm,mh4g-dex-build7+mh4edit-mit-save-id,1,0
21,合金战帽,Alloy Cap,mh4g-dex-build7+mh4edit-mit-save-id,1,0
22,合金头盔Ｓ,Alloy Helm S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
23,合金战帽Ｓ,Alloy Cap S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
24,合金头盔,Alloy Helm,mh4g-dex-build7+mh4edit-mit-save-id,1,0
25,合金战帽,Alloy Cap,mh4g-dex-build7+mh4edit-mit-save-id,1,0
26,狗龙头盔,Jaggi Helm,mh4g-dex-build7+mh4edit-mit-save-id,2,0
27,狗龙战帽,Jaggi Cap,mh4g-dex-build7+mh4edit-mit-save-id,2,0
28,狗龙头盔Ｓ,Jaggi Helm S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
29,狗龙战帽Ｓ,Jaggi Cap S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
30,水兽头盔,Ludroth Helm,mh4g-dex-build7+mh4edit-mit-save-id,2,0
31,水兽战帽,Ludroth Cap,mh4g-dex-build7+mh4edit-mit-save-id,2,0
32,水兽头盔,Ludroth Helm,mh4g-dex-build7+mh4edit-mit-save-id,2,0
33,水兽战帽,Ludroth Cap,mh4g-dex-build7+mh4edit-mit-save-id,2,0
34,草食龙头盔,Rhenoplos Helm,mh4g-dex-build7+mh4edit-mit-save-id,2,0
35,草食龙战帽,Rhenoplos Cap,mh4g-dex-build7+mh4edit-mit-save-id,2,0
36,草食龙头盔Ｓ,Rhenoplos Helm S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
37,草食龙战帽Ｓ,Rhenoplos Cap S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
38,飞甲虫帽子,Bnahabra Hat,mh4g-dex-build7+mh4edit-mit-save-id,2,0
39,飞甲虫战帽,Bnahabra Headpiece,mh4g-dex-build7+mh4edit-mit-save-id,2,0
40,飞甲虫帽子Ｓ,Bnahabra Hat S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
41,飞甲虫战帽Ｓ,Bnahabra Headpiece S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
42,土砂龙头盔,Barroth Helm,mh4g-dex-build7+mh4edit-mit-save-id,2,0
43,土砂龙战帽,Barroth Cap,mh4g-dex-build7+mh4edit-mit-save-id,2,0
44,雌火龙头盔,Rathian Helm,mh4g-dex-build7+mh4edit-mit-save-id,2,0
45,雌火龙战帽,Rathian Cap,mh4g-dex-build7+mh4edit-mit-save-id,2,0
46,雌火龙头盔Ｓ,Rathian Helm S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
47,雌火龙战帽Ｓ,Rathian Cap S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
48,樱火龙头盔,Rath Heart Helm,mh4g-dex-build7+mh4edit-mit-save-id,6,0
49,樱火龙战帽,Rath Heart Cap,mh4g-dex-build7+mh4edit-mit-save-id,6,0
50,金火龙头盔,Golden Lunehelm,mh4g-dex-build7+mh4edit-mit-save-id,7,0
51,金火龙战帽,Golden Lunecap,mh4g-dex-build7+mh4edit-mit-save-id,7,0
52,雌火龙头盔,Rathian Helm,mh4g-dex-build7+mh4edit-mit-save-id,2,0
53,雌火龙战帽,Rathian Cap,mh4g-dex-build7+mh4edit-mit-save-id,2,0
54,樱火龙头盔,Rath Heart Helm,mh4g-dex-build7+mh4edit-mit-save-id,6,0
55,樱火龙战帽,Rath Heart Cap,mh4g-dex-build7+mh4edit-mit-save-id,6,0
56,EX雌火龙头盔,EX Rathian Helm,mh4g-dex-build7+mh4edit-mit-save-id,7,0
57,EX雌火龙战帽,EX Rathian Cap,mh4g-dex-build7+mh4edit-mit-save-id,7,0
58,雄火龙头盔,Rathalos Helm,mh4g-dex-build7+mh4edit-mit-save-id,3,0
59,雄火龙战帽,Rathalos Cap,mh4g-dex-build7+mh4edit-mit-save-id,3,0
60,雄火龙头盔Ｓ,Rathalos Helm S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
61,雄火龙战帽Ｓ,Rathalos Cap S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
62,苍火龙头盔,Rath Soul Helm,mh4g-dex-build7+mh4edit-mit-save-id,6,0
63,苍火龙战帽,Rath Soul Cap,mh4g-dex-build7+mh4edit-mit-save-id,6,0
64,银火龙头盔,Silver Solhelm,mh4g-dex-build7+mh4edit-mit-save-id,7,0
65,银火龙战帽,Silver Solcap,mh4g-dex-build7+mh4edit-mit-save-id,7,0
66,雄火龙头盔,Rathalos Helm,mh4g-dex-build7+mh4edit-mit-save-id,3,0
67,雄火龙战帽,Rathalos Cap,mh4g-dex-build7+mh4edit-mit-save-id,3,0
68,苍火龙头盔,Rath Soul Helm,mh4g-dex-build7+mh4edit-mit-save-id,6,0
69,苍火龙战帽,Rath Soul Cap,mh4g-dex-build7+mh4edit-mit-save-id,6,0
70,银火龙头盔,Silver Solhelm,mh4g-dex-build7+mh4edit-mit-save-id,7,0
71,银火龙战帽,Silver Solcap,mh4g-dex-build7+mh4edit-mit-save-id,7,0
72,EX雄火龙头盔,EX Rathalos Helm,mh4g-dex-build7+mh4edit-mit-save-id,7,0
73,EX雄火龙战帽,EX Rathalos Cap,mh4g-dex-build7+mh4edit-mit-save-id,7,0
74,角龙头盔,Diablos Helm,mh4g-dex-build7+mh4edit-mit-save-id,3,0
75,角龙战帽,Diablos Cap,mh4g-dex-build7+mh4edit-mit-save-id,3,0
76,爆锤龙头盔,Uragaan Helm,mh4g-dex-build7+mh4edit-mit-save-id,3,0
77,爆锤龙战帽,Uragaan Cap,mh4g-dex-build7+mh4edit-mit-save-id,3,0
78,恐暴龙头盔,Vangis Helm,mh4g-dex-build7+mh4edit-mit-save-id,6,0
79,恐暴龙战帽,Vangis Cap,mh4g-dex-build7+mh4edit-mit-save-id,6,0
80,贪婪头盔,Esurient Helm,mh4g-dex-build7+mh4edit-mit-save-id,7,0
81,贪婪战帽,Esurient Cap,mh4g-dex-build7+mh4edit-mit-save-id,7,0
82,贪婪头盔,Esurient Helm,mh4g-dex-build7+mh4edit-mit-save-id,7,0
83,贪婪战帽,Esurient Cap,mh4g-dex-build7+mh4edit-mit-save-id,7,0
84,残阳【面兜】,Gloaming Helm,mh4g-dex-build7+mh4edit-mit-save-id,3,0
85,常磐【面兜】,Adamance Helm,mh4g-dex-build7+mh4edit-mit-save-id,3,0
86,东云【阵笠】,Dayspring Kasa,mh4g-dex-build7+mh4edit-mit-save-id,3,0
87,八千代【头冠】,Epoch Helm,mh4g-dex-build7+mh4edit-mit-save-id,3,0
88,残阳・霸【面兜】,Gloaming Archhelm,mh4g-dex-build7+mh4edit-mit-save-id,7,0
89,常磐・霸【面兜】,Adamance Archhelm,mh4g-dex-build7+mh4edit-mit-save-id,7,0
90,东云・霸【阵笠】,Dayspring Archkasa,mh4g-dex-build7+mh4edit-mit-save-id,7,0
91,八千代・霸【头冠】,Epoch Archhelm,mh4g-dex-build7+mh4edit-mit-save-id,7,0
92,残阳【面兜】,Gloaming Helm,mh4g-dex-build7+mh4edit-mit-save-id,3,0
93,常磐【面兜】,Adamance Helm,mh4g-dex-build7+mh4edit-mit-save-id,3,0
94,东云【阵笠】,Dayspring Kasa,mh4g-dex-build7+mh4edit-mit-save-id,3,0
