id,name,english,source,rarity,is_relic
0,无,None,mh4g-save-format,0,0
1,勇气具足,Derring Trousers,mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,勇气重靴Ｓ,Derring Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
3,勇气轻靴Ｓ,Derring Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
4,皮制具足,Leather Trousers,mh4g-dex-build7+mh4edit-mit-save-id,1,0
5,皮质重靴Ｓ,Leather Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
6,皮质轻靴Ｓ,Leather Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
7,锁链具足,Chainmail Trousers,mh4g-dex-build7+mh4edit-mit-save-id,1,0
8,锁链重靴Ｓ,Chainmail Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
9,锁链轻靴Ｓ,Chainmail Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
10,猎人重靴,Hunter's Greaves,mh4g-dex-build7+mh4edit-mit-save-id,1,0
11,猎人轻靴,Hunter's Leggings,mh4g-dex-build7+mh4edit-mit-save-id,1,0
12,猎人重靴Ｓ,Hunter's Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
13,猎人轻靴Ｓ,Hunter's Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
14,猎人重靴,Hunter's Greaves,mh4g-dex-build7+mh4edit-mit-save-id,1,0
15,猎人轻靴,Hunter's Leggings,mh4g-dex-build7+mh4edit-mit-save-id,1,0
16,骨制重靴,Bone Greaves,mh4g-dex-build7+mh4edit-mit-save-id,1,0
17,骨制轻靴,Bone Leggings,mh4g-dex-build7+mh4edit-mit-save-id,1,0
18,骨制重靴Ｓ,Bone Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
19,骨制轻靴Ｓ,Bone Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
20,合金重靴,Alloy Greaves,mh4g-dex-build7+mh4edit-mit-save-id,1,0
21,合金轻靴,Alloy Leggings,mh4g-dex-build7+mh4edit-mit-save-id,1,0
22,合金重靴Ｓ,Alloy Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
23,合金轻靴Ｓ,Alloy Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
24,合金重靴,Alloy Greaves,mh4g-dex-build7+mh4edit-mit-save-id,1,0
25,合金轻靴,Alloy Leggings,mh4g-dex-build7+mh4edit-mit-save-id,1,0
26,狗龙重靴,Jaggi Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
27,狗龙轻靴,Jaggi Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
28,狗龙重靴Ｓ,Jaggi Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
29,狗龙轻靴Ｓ,Jaggi Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
30,洛克拉克皮靴,Loc Lac Boots,mh4g-dex-build7+mh4edit-mit-save-id,1,0
31,水兽重靴,Ludroth Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
32,水兽轻靴,Ludroth Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
33,水兽重靴,Ludroth Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
34,水兽轻靴,Ludroth Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
35,草食龙重靴,Rhenoplos Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
36,草食龙轻靴,Rhenoplos Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
37,草食龙重靴Ｓ,Rhenoplos Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
38,草食龙轻靴Ｓ,Rhenoplos Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
39,飞甲虫皮靴,Bnahabra Boots,mh4g-dex-build7+mh4edit-mit-save-id,2,0
40,飞甲虫具足,Bnahabra Pants,mh4g-dex-build7+mh4edit-mit-save-id,2,0
41,飞甲虫皮靴Ｓ,Bnahabra Boots S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
42,飞甲虫具足Ｓ,Bnahabra Pants S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
43,土砂龙重靴,Barroth Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
44,土砂龙轻靴,Barroth Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
45,雌火龙重靴,Rathian Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
46,雌火龙轻靴,Rathian Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
47,雌火龙重靴Ｓ,Rathian Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
48,雌火龙轻靴Ｓ,Rathian Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
49,樱火龙重靴,Rath Heart Greaves,mh4g-dex-build7+mh4edit-mit-save-id,6,0
50,樱火龙轻靴,Rath Heart Leggings,mh4g-dex-build7+mh4edit-mit-save-id,6,0
51,金火龙重靴,Golden Lunegreaves,mh4g-dex-build7+mh4edit-mit-save-id,7,0
52,金火龙轻靴,Golden Luneleggings,mh4g-dex-build7+mh4edit-mit-save-id,7,0
53,雌火龙重靴,Rathian Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
54,雌火龙轻靴,Rathian Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
55,樱火龙重靴,Rath Heart Greaves,mh4g-dex-build7+mh4edit-mit-save-id,6,0
56,樱火龙轻靴,Rath Heart Leggings,mh4g-dex-build7+mh4edit-mit-save-id,6,0
57,EX雌火龙重靴,EX Rathian Greaves,mh4g-dex-build7+mh4edit-mit-save-id,7,0
58,EX雌火龙轻靴,EX Rathian Leggings,mh4g-dex-build7+mh4edit-mit-save-id,7,0
59,雄火龙重靴,Rathalos Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
60,雄火龙轻靴,Rathalos Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
61,雄火龙重靴Ｓ,Rathalos Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
62,雄火龙轻靴Ｓ,Rathalos Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
63,苍火龙重靴,Rath Soul Greaves,mh4g-dex-build7+mh4edit-mit-save-id,6,0
64,苍火龙轻靴,Rath Soul Leggings,mh4g-dex-build7+mh4edit-mit-save-id,6,0
65,银火龙重靴,Silver Solgreaves,mh4g-dex-build7+mh4edit-mit-save-id,7,0
66,银火龙轻靴,Silver Solleggings,mh4g-dex-build7+mh4edit-mit-save-id,7,0
67,雄火龙重靴,Rathalos Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
68,雄火龙轻靴,Rathalos Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
69,苍火龙重靴,Rath Soul Greaves,mh4g-dex-build7+mh4edit-mit-save-id,6,0
70,苍火龙轻靴,Rath Soul Leggings,mh4g-dex-build7+mh4edit-mit-save-id,6,0
71,银火龙重靴,Silver Solgreaves,mh4g-dex-build7+mh4edit-mit-save-id,7,0
72,银火龙轻靴,Silver Solleggings,mh4g-dex-build7+mh4edit-mit-save-id,7,0
73,EX雄火龙重靴,EX Rathalos Greaves,mh4g-dex-build7+mh4edit-mit-save-id,7,0
74,EX雄火龙轻靴,EX Rathalos Leggings,mh4g-dex-build7+mh4edit-mit-save-id,7,0
75,角龙重靴,Diablos Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
76,角龙轻靴,Diablos Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
77,爆锤龙重靴,Uragaan Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
78,爆锤龙轻靴,Uragaan Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
79,恐暴龙重靴,Vangis Greaves,mh4g-dex-build7+mh4edit-mit-save-id,6,0
80,恐暴龙轻靴,Vangis Leggings,mh4g-dex-build7+mh4edit-mit-save-id,6,0
81,贪婪重靴,Esurient Greaves,mh4g-dex-build7+mh4edit-mit-save-id,7,0
82,贪婪轻靴,Esurient Leggings,mh4g-dex-build7+mh4edit-mit-save-id,7,0
83,贪婪重靴,Esurient Greaves,mh4g-dex-build7+mh4edit-mit-save-id,7,0
84,贪婪轻靴,Esurient Leggings,mh4g-dex-build7+mh4edit-mit-save-id,7,0
85,残阳【具足】,Gloaming Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
86,常磐【具足】,Adamance Pleats,mh4g-dex-build7+mh4edit-mit-save-id,3,0
87,东云【足袴】,Dayspring Pleats,mh4g-dex-build7+mh4edit-mit-save-id,3,0
88,八千代【足袴】,Epoch Pleats,mh4g-dex-build7+mh4edit-mit-save-id,3,0
89,残阳・霸【具足】,Gloaming Archgreaves,mh4g-dex-build7+mh4edit-mit-save-id,7,0
90,常磐・霸【具足】,Adamance Archpleats,mh4g-dex-build7+mh4edit-mit-save-id,7,0
91,东云・霸【足袴】,Dayspring Archpleats,mh4g-dex-build7+mh4edit-mit-save-id,7,0
92,八千代・霸【足袴】,Epoch Archpleats,mh4g-dex-build7+mh4edit-mit-save-id,7,0
93,残阳【具足】,Gloaming Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
94,常磐【具足】,Adamance Pleats,mh4g-dex-build7+mh4edit-mit-save-id,3,0
95,东云【足袴】,Dayspring Pleats,mh4g-dex-build7+mh4edit-mit-save-id,3,0
96,八千代【足袴】,Epoch Pleats,mh4g-dex-build7+mh4edit-mit-save-id,3,0
97,水龙重靴,Plesioth Greaves,mh4g-dex-build7+mh4edit-mit-save-id,4,0
98,水龙轻靴,Plesioth Leggings,mh4g-dex-build7+mh4edit-mit-save-id,4,0
99,潜口龙重靴,Nibelsnarf Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
100,潜口龙轻靴,Nibelsnarf Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
101,尾槌龙重靴,Duramboros Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
102,尾槌龙轻靴,Duramboros Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
103,青熊兽重靴,Arzuros Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
104,青熊兽轻靴,Arzuros Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
105,白兔兽重靴,Lagombi Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
106,白兔兽轻靴,Lagombi Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
107,白兔兽重靴Ｓ,Lagombi Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
108,白兔兽轻靴Ｓ,Lagombi Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
109,迅龙重靴,Nargacuga Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
110,迅龙轻靴,Nargacuga Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
111,轰龙重靴,Tigrex Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
112,轰龙轻靴,Tigrex Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
113,轰龙重靴Ｓ,Tigrex Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
114,轰龙轻靴Ｓ,Tigrex Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
115,黑轰龙重靴Ｕ,Tigrex Greaves U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
116,黑轰龙轻靴Ｕ,Tigrex Leggings U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
117,大轰龙重靴,Excello Greaves,mh4g-dex-build7+mh4edit-mit-save-id,7,0
118,大轰龙轻靴,Excello Leggings,mh4g-dex-build7+mh4edit-mit-save-id,7,0
119,EX轰龙重靴,EX Tigrex Greaves,mh4g-dex-build7+mh4edit-mit-save-id,7,0
120,EX轰龙轻靴,EX Tigrex Leggings,mh4g-dex-build7+mh4edit-mit-save-id,7,0
121,轰龙重靴,Tigrex Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
122,轰龙轻靴,Tigrex Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
123,黑轰龙重靴Ｕ,Tigrex Greaves U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
124,黑轰龙轻靴Ｕ,Tigrex Leggings U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
125,碎龙重靴,Brachydios Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
126,碎龙轻靴,Brachydios Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
127,碎龙重靴Ｓ,Brachydios Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,6,0
128,碎龙轻靴Ｓ,Brachy Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,6,0
129,霸龙护胫,Akantor Hessian,mh4g-dex-build7+mh4edit-mit-save-id,7,0
130,霸龙护膝,Akantor Boots,mh4g-dex-build7+mh4edit-mit-save-id,7,0
131,霸龙护胫,Akantor Hessian,mh4g-dex-build7+mh4edit-mit-save-id,7,0
132,霸龙护膝,Akantor Boots,mh4g-dex-build7+mh4edit-mit-save-id,7,0
133,雷狼龙重靴,Zinogre Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
134,雷狼龙轻靴,Zinogre Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
135,雷狼龙重靴Ｓ,Zinogre Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
136,雷狼龙轻靴Ｓ,Zinogre Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
137,狱狼龙重靴Ｕ,Zinogre Greaves U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
138,狱狼龙轻靴Ｕ,Zinogre Leggings U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
139,狱狼龙重靴Ｕ,Zinogre Greaves U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
140,狱狼龙轻靴Ｕ,Zinogre Leggings U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
141,EX炎王龙重靴,EX Kaiser Greaves,mh4g-dex-build7+mh4edit-mit-save-id,7,0
142,EX炎王龙轻靴,EX Kaiser Leggings,mh4g-dex-build7+mh4edit-mit-save-id,7,0
143,奇猿狐重靴,Kecha Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
144,奇猿狐轻靴,Kecha Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
145,奇猿狐重靴Ｓ,Kecha Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
146,奇猿狐轻靴Ｓ,Kecha Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
147,黑蚀龙重靴,Gore Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
148,黑蚀龙轻靴,Gore Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
149,黑蚀龙重靴Ｓ,Gore Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,6,0
150,黑蚀龙轻靴Ｓ,Gore Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,6,0
151,黑蚀龙重靴,Gore Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
152,黑蚀龙轻靴,Gore Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
153,鬼蛙重靴,Tetsucabra Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
154,鬼蛙轻靴,Tetsucabra Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
155,鬼蛙重靴Ｓ,Tetsucabra Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
156,鬼蛙轻靴Ｓ,Tetsucabra Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
157,影蜘蛛重靴,Nerscylla Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
158,影蜘蛛轻靴,Nerscylla Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
159,影蜘蛛重靴Ｓ,Nerscylla Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
