id,name,english,source,rarity,is_relic
0,无,None,mh4g-save-format,0,0
1,猎人腿甲Ｓ,Hunter's Faulds S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
2,猎人裙甲Ｓ,Hunter's Coat S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
3,猎人腿甲,Hunter's Faulds,mh4g-dex-build7+mh4edit-mit-save-id,1,0
4,猎人裙甲,Hunter's Coat,mh4g-dex-build7+mh4edit-mit-save-id,1,0
5,骨制腿甲,Bone Faulds,mh4g-dex-build7+mh4edit-mit-save-id,1,0
6,骨制裙甲,Bone Coat,mh4g-dex-build7+mh4edit-mit-save-id,1,0
7,骨制腿甲Ｓ,Bone Faulds S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
8,骨制裙甲Ｓ,Bone Coat S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
9,合金腿甲,Alloy Coil,mh4g-dex-build7+mh4edit-mit-save-id,1,0
10,合金裙甲,Alloy Coat,mh4g-dex-build7+mh4edit-mit-save-id,1,0
11,合金腿甲Ｓ,Alloy Coil S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
12,合金裙甲Ｓ,Alloy Coat S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
13,合金腿甲,Alloy Coil,mh4g-dex-build7+mh4edit-mit-save-id,1,0
14,合金裙甲,Alloy Coat,mh4g-dex-build7+mh4edit-mit-save-id,1,0
15,狗龙腿甲,Jaggi Faulds,mh4g-dex-build7+mh4edit-mit-save-id,2,0
16,狗龙裙甲,Jaggi Coat,mh4g-dex-build7+mh4edit-mit-save-id,2,0
17,狗龙腿甲Ｓ,Jaggi Faulds S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
18,狗龙裙甲Ｓ,Jaggi Coat S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
19,洛克拉克腿甲,Loc Lac Kilt,mh4g-dex-build7+mh4edit-mit-save-id,1,0
20,水兽腿甲,Ludroth Faulds,mh4g-dex-build7+mh4edit-mit-save-id,2,0
21,水兽裙甲,Ludroth Coat,mh4g-dex-build7+mh4edit-mit-save-id,2,0
22,水兽腿甲,Ludroth Faulds,mh4g-dex-build7+mh4edit-mit-save-id,2,0
23,水兽裙甲,Ludroth Coat,mh4g-dex-build7+mh4edit-mit-save-id,2,0
24,草食龙腿甲,Rhenoplos Coil,mh4g-dex-build7+mh4edit-mit-save-id,2,0
25,草食龙裙甲,Rhenoplos Coat,mh4g-dex-build7+mh4edit-mit-save-id,2,0
26,草食龙腿甲Ｓ,Rhenoplos Coil S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
27,草食龙裙甲Ｓ,Rhenoplos Coat S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
28,飞甲虫腿甲,Bnahabra Coil,mh4g-dex-build7+mh4edit-mit-save-id,2,0
29,飞甲虫裙甲,Bnahabra Coat,mh4g-dex-build7+mh4edit-mit-save-id,2,0
30,飞甲虫腿甲Ｓ,Bnahabra Coil S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
31,飞甲虫裙甲Ｓ,Bnahabra Coat S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
32,土砂龙腿甲,Barroth Faulds,mh4g-dex-build7+mh4edit-mit-save-id,2,0
33,土砂龙裙甲,Barroth Coat,mh4g-dex-build7+mh4edit-mit-save-id,2,0
34,雌火龙腿甲,Rathian Faulds,mh4g-dex-build7+mh4edit-mit-save-id,2,0
35,雌火龙裙甲,Rathian Coat,mh4g-dex-build7+mh4edit-mit-save-id,2,0
36,雌火龙腿甲Ｓ,Rathian Faulds S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
37,雌火龙裙甲Ｓ,Rathian Coat S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
38,樱火龙腿甲,Rath Heart Coil,mh4g-dex-build7+mh4edit-mit-save-id,6,0
39,樱火龙裙甲,Rath Heart Coat,mh4g-dex-build7+mh4edit-mit-save-id,6,0
40,金火龙腿甲,Golden Lunecoil,mh4g-dex-build7+mh4edit-mit-save-id,7,0
41,金火龙裙甲,Golden Lunecoat,mh4g-dex-build7+mh4edit-mit-save-id,7,0
42,雌火龙腿甲,Rathian Faulds,mh4g-dex-build7+mh4edit-mit-save-id,2,0
43,雌火龙裙甲,Rathian Coat,mh4g-dex-build7+mh4edit-mit-save-id,2,0
44,樱火龙腿甲,Rath Heart Coil,mh4g-dex-build7+mh4edit-mit-save-id,6,0
45,樱火龙裙甲,Rath Heart Coat,mh4g-dex-build7+mh4edit-mit-save-id,6,0
46,EX雌火龙腿甲,EX Rathian Faulds,mh4g-dex-build7+mh4edit-mit-save-id,7,0
47,EX雌火龙裙甲,EX Rathian Coat,mh4g-dex-build7+mh4edit-mit-save-id,7,0
48,雄火龙腿甲,Rathalos Faulds,mh4g-dex-build7+mh4edit-mit-save-id,3,0
49,雄火龙裙甲,Rathalos Coat,mh4g-dex-build7+mh4edit-mit-save-id,3,0
50,雄火龙腿甲Ｓ,Rathalos Faulds S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
51,雄火龙裙甲Ｓ,Rathalos Coat S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
52,苍火龙腿甲,Rath Soul Coil,mh4g-dex-build7+mh4edit-mit-save-id,6,0
53,苍火龙裙甲,Rath Soul Coat,mh4g-dex-build7+mh4edit-mit-save-id,6,0
54,银火龙腿甲,Silver Solcoil,mh4g-dex-build7+mh4edit-mit-save-id,7,0
55,银火龙裙甲,Silver Solcoat,mh4g-dex-build7+mh4edit-mit-save-id,7,0
56,雄火龙腿甲,Rathalos Faulds,mh4g-dex-build7+mh4edit-mit-save-id,3,0
57,雄火龙裙甲,Rathalos Coat,mh4g-dex-build7+mh4edit-mit-save-id,3,0
58,苍火龙腿甲,Rath Soul Coil,mh4g-dex-build7+mh4edit-mit-save-id,6,0
59,苍火龙裙甲,Rath Soul Coat,mh4g-dex-build7+mh4edit-mit-save-id,6,0
60,银火龙腿甲,Silver Solcoil,mh4g-dex-build7+mh4edit-mit-save-id,7,0
61,银火龙裙甲,Silver Solcoat,mh4g-dex-build7+mh4edit-mit-save-id,7,0
62,EX雄火龙腿甲,EX Rathalos Faulds,mh4g-dex-build7+mh4edit-mit-save-id,7,0
63,EX雄火龙裙甲,EX Rathalos Coat,mh4g-dex-build7+mh4edit-mit-save-id,7,0
64,角龙腿甲,Diablos Coil,mh4g-dex-build7+mh4edit-mit-save-id,3,0
65,角龙裙甲,Diablos Coat,mh4g-dex-build7+mh4edit-mit-save-id,3,0
66,爆锤龙腿甲,Uragaan Faulds,mh4g-dex-build7+mh4edit-mit-save-id,3,0
67,爆锤龙裙甲,Uragaan Coat,mh4g-dex-build7+mh4edit-mit-save-id,3,0
68,恐暴龙腿甲,Vangis Coil,mh4g-dex-build7+mh4edit-mit-save-id,6,0
69,恐暴龙裙甲,Vangis Coat,mh4g-dex-build7+mh4edit-mit-save-id,6,0
70,贪婪腿甲,Esurient Faulds,mh4g-dex-build7+mh4edit-mit-save-id,7,0
71,贪婪裙甲,Esurient Coat,mh4g-dex-build7+mh4edit-mit-save-id,7,0
72,贪婪腿甲,Esurient Faulds,mh4g-dex-build7+mh4edit-mit-save-id,7,0
73,贪婪裙甲,Esurient Coat,mh4g-dex-build7+mh4edit-mit-save-id,7,0
74,残阳【腰甲】,Gloaming Girdle,mh4g-dex-build7+mh4edit-mit-save-id,3,0
75,常磐【腰甲】,Adamance Girdle,mh4g-dex-build7+mh4edit-mit-save-id,3,0
76,东云【腰甲】,Dayspring Girdle,mh4g-dex-build7+mh4edit-mit-save-id,3,0
77,八千代【腰甲】,Epoch Girdle,mh4g-dex-build7+mh4edit-mit-save-id,3,0
78,残阳・霸【腰甲】,Gloaming Archgirdle,mh4g-dex-build7+mh4edit-mit-save-id,7,0
79,常磐・霸【腰甲】,Adamance Archgirdle,mh4g-dex-build7+mh4edit-mit-save-id,7,0
80,东云・霸【腰甲】,Dayspring Archgirdle,mh4g-dex-build7+mh4edit-mit-save-id,7,0
81,八千代・霸【腰甲】,Epoch Archgirdle,mh4g-dex-build7+mh4edit-mit-save-id,7,0
82,残阳【腰甲】,Gloaming Girdle,mh4g-dex-build7+mh4edit-mit-save-id,3,0
83,常磐【腰甲】,Adamance Girdle,mh4g-dex-build7+mh4edit-mit-save-id,3,0
84,东云【腰甲】,Dayspring Girdle,mh4g-dex-build7+mh4edit-mit-save-id,3,0
85,八千代【腰甲】,Epoch Girdle,mh4g-dex-build7+mh4edit-mit-save-id,3,0
86,潜口龙腿甲,Nibelsnarf Faulds,mh4g-dex-build7+mh4edit-mit-save-id,2,0
87,潜口龙裙甲,Nibelsnarf Coat,mh4g-dex-build7+mh4edit-mit-save-id,2,0
88,尾槌龙腿甲,Duramboros Faulds,mh4g-dex-build7+mh4edit-mit-save-id,3,0
89,尾槌龙裙甲,Duramboros Coat,mh4g-dex-build7+mh4edit-mit-save-id,3,0
90,青熊兽腿甲,Arzuros Faulds,mh4g-dex-build7+mh4edit-mit-save-id,2,0
91,青熊兽裙甲,Arzuros Coat,mh4g-dex-build7+mh4edit-mit-save-id,2,0
92,白兔兽腿甲,Lagombi Faulds,mh4g-dex-build7+mh4edit-mit-save-id,2,0
93,白兔兽裙甲,Lagombi Coat,mh4g-dex-build7+mh4edit-mit-save-id,2,0
94,白兔兽腿甲Ｓ,Lagombi Faulds S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
95,白兔兽裙甲Ｓ,Lagombi Coat S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
96,迅龙腿甲,Nargacuga Faulds,mh4g-dex-build7+mh4edit-mit-save-id,3,0
97,迅龙裙甲,Nargacuga Coat,mh4g-dex-build7+mh4edit-mit-save-id,3,0
98,轰龙腿甲,Tigrex Tassets,mh4g-dex-build7+mh4edit-mit-save-id,3,0
99,轰龙裙甲,Tigrex Coat,mh4g-dex-build7+mh4edit-mit-save-id,3,0
100,轰龙腿甲Ｓ,Tigrex Tassets S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
101,轰龙裙甲Ｓ,Tigrex Coat S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
102,黑轰龙腿甲Ｕ,Tigrex Tassets U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
103,黑轰龙裙甲Ｕ,Tigrex Coat U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
104,大轰龙腿甲,Excello Coil,mh4g-dex-build7+mh4edit-mit-save-id,7,0
105,大轰龙裙甲,Excello Coat,mh4g-dex-build7+mh4edit-mit-save-id,7,0
106,EX轰龙腿甲,EX Tigrex Tassets,mh4g-dex-build7+mh4edit-mit-save-id,7,0
107,EX轰龙裙甲,EX Tigrex Coat,mh4g-dex-build7+mh4edit-mit-save-id,7,0
108,轰龙腿甲,Tigrex Tassets,mh4g-dex-build7+mh4edit-mit-save-id,3,0
109,轰龙裙甲,Tigrex Coat,mh4g-dex-build7+mh4edit-mit-save-id,3,0
110,黑轰龙腿甲Ｕ,Tigrex Tassets U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
111,黑轰龙裙甲Ｕ,Tigrex Coat U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
112,碎龙腿甲,Brachydios Faulds,mh4g-dex-build7+mh4edit-mit-save-id,3,0
113,碎龙裙甲,Brachydios Coat,mh4g-dex-build7+mh4edit-mit-save-id,3,0
114,碎龙腿甲Ｓ,Brachydios Faulds S,mh4g-dex-build7+mh4edit-mit-save-id,6,0
115,碎龙裙甲Ｓ,Brachydios Coat S,mh4g-dex-build7+mh4edit-mit-save-id,6,0
116,霸龙腿甲,Akantor Cincture,mh4g-dex-build7+mh4edit-mit-save-id,7,0
117,霸龙甲裙,Akantor Sash,mh4g-dex-build7+mh4edit-mit-save-id,7,0
118,霸龙腿甲,Akantor Cincture,mh4g-dex-build7+mh4edit-mit-save-id,7,0
119,霸龙甲裙,Akantor Sash,mh4g-dex-build7+mh4edit-mit-save-id,7,0
120,雷狼龙腿甲,Zinogre Faulds,mh4g-dex-build7+mh4edit-mit-save-id,3,0
121,雷狼龙裙甲,Zinogre Coat,mh4g-dex-build7+mh4edit-mit-save-id,3,0
122,雷狼龙腿甲Ｓ,Zinogre Faulds S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
123,雷狼龙裙甲Ｓ,Zinogre Coat S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
124,狱狼龙腿甲Ｕ,Zinogre Faulds U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
