id,name,english,source
0,无,None,mh4g-save-format
1,耐毒珠【1】,Antidote Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
2,耐毒珠【2】,Antidote Jewel 2,mh4g-dex-build7+mh4edit-mit-save-id
3,耐痹珠【1】,Paralysis Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
4,耐痹珠【2】,Paralysis Jwl 2,mh4g-dex-build7+mh4edit-mit-save-id
5,耐眠珠【1】,Pep Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
6,耐眠珠【2】,Pep Jewel 2,mh4g-dex-build7+mh4edit-mit-save-id
7,耐绝珠【1】,Steadfast Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
8,制绝珠【1】,Standfast Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
9,耐粘珠【1】,Tracker Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
10,抗粘珠【1】,Trekker Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
11,忍脚珠【1】,Ninja Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
12,体力珠【1】,Vitality Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
13,早复珠【1】,Recovery Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
14,早复珠【2】,Recovery Jewel 2,mh4g-dex-build7+mh4edit-mit-save-id
15,斩铁珠【1】,Razor Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
16,斩铁珠【3】,Razor Jewel 3,mh4g-dex-build7+mh4edit-mit-save-id
17,匠珠【2】,Handicraft Jwl 2,mh4g-dex-build7+mh4edit-mit-save-id
18,匠珠【3】,Handicraft Jwl 3,mh4g-dex-build7+mh4edit-mit-save-id
19,名匠珠【3】,Artisan Jewel 3,mh4g-dex-build7+mh4edit-mit-save-id
20,剑豪珠【1】,Fencer Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
21,剑豪珠【3】,Fencer Jewel 3,mh4g-dex-build7+mh4edit-mit-save-id
22,达人珠【1】,Expert Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
23,达人珠【2】,Expert Jewel 2,mh4g-dex-build7+mh4edit-mit-save-id
24,达人珠【3】,Expert Jewel 3,mh4g-dex-build7+mh4edit-mit-save-id
25,研磨珠【1】,Grinder Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
26,铁壁珠【1】,Ironwall Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
27,铁壁珠【2】,Ironwall Jewel 2,mh4g-dex-build7+mh4edit-mit-save-id
28,强壁珠【1】,Shield Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
29,强壁珠【2】,Shield Jewel 2,mh4g-dex-build7+mh4edit-mit-save-id
30,早填珠【1】,Quickload Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
31,早填珠【2】,Quickload Jwl 2,mh4g-dex-build7+mh4edit-mit-save-id
32,抑反珠【1】,Absorber Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
33,抑反珠【3】,Absorber Jewel 3,mh4g-dex-build7+mh4edit-mit-save-id
34,强弹珠【1】,Forceshot Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
35,强弹珠【3】,Forceshot Jwl 3,mh4g-dex-build7+mh4edit-mit-save-id
36,贯通珠【1】,Pierce Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
37,贯通珠【3】,Pierce Jewel 3,mh4g-dex-build7+mh4edit-mit-save-id
38,散弹珠【1】,Pellet Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
39,散弹珠【3】,Pellet Jewel 3,mh4g-dex-build7+mh4edit-mit-save-id
40,加弹珠【1】,ShotPlus Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
41,加弹珠【2】,ShotPlus Jewel 2,mh4g-dex-build7+mh4edit-mit-save-id
42,加贯珠【1】,PiercePlus Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
43,加散珠【1】,PelletPlus Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
44,加榴珠【1】,CragPlus Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
45,加扩珠【1】,ClustPlus Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
46,加斩珠【1】,SlicePlus Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
47,加爆珠【1】,BlastPlus Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
48,特攻珠【1】,Disabler Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
49,特攻珠【2】,Disabler Jewel 2,mh4g-dex-build7+mh4edit-mit-save-id
50,属攻珠【1】,Element Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
51,属攻珠【3】,Element Jewel 3,mh4g-dex-build7+mh4edit-mit-save-id
52,爆师珠【1】,Bombardier Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
53,无食珠【1】,Hungerless Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
54,食汉珠【1】,Metabolism Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
55,攻击珠【1】,Attack Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
56,攻击珠【2】,Attack Jewel 2,mh4g-dex-build7+mh4edit-mit-save-id
57,攻击珠【3】,Attack Jewel 3,mh4g-dex-build7+mh4edit-mit-save-id
