domain,equipment_type,variant,value,name,english,source
attack_tier,7,melee,0,110 |      |,110 |      |,mh4edit-mit-save-id-en-fallback
attack_tier,7,melee,1,120 |      | DEF+10,120 |      | DEF+10,mh4edit-mit-save-id-en-fallback
attack_tier,7,melee,2,130 | +10% |,130 | +10% |,mh4edit-mit-save-id-en-fallback
attack_tier,7,melee,3,140 |      |,140 |      |,mh4edit-mit-save-id-en-fallback
attack_tier,7,melee,4,150 |      | DEF+15,150 |      | DEF+15,mh4edit-mit-save-id-en-fallback
attack_tier,7,melee,5,160 | +15% |,160 | +15% |,mh4edit-mit-save-id-en-fallback
attack_tier,7,melee,6,170 |      |,170 |      |,mh4edit-mit-save-id-en-fallback
attack_tier,7,melee,7,170 | +15% |,170 | +15% |,mh4edit-mit-save-id-en-fallback
attack_tier,7,melee,8,170 |      | DEF+20,170 |      | DEF+20,mh4edit-mit-save-id-en-fallback
attack_tier,7,melee,9,180 |      |,180 |      |,mh4edit-mit-save-id-en-fallback
attack_tier,7,melee,10,170 |      | DEF+20,170 |      | DEF+20,mh4edit-mit-save-id-en-fallback
attack_tier,7,melee,11,180 | +20% |,180 | +20% |,mh4edit-mit-save-id-en-fallback
attack_tier,7,melee,12,190 |      |,190 |      |,mh4edit-mit-save-id-en-fallback
attack_tier,7,melee,13,230 | -25% |,230 | -25% |,mh4edit-mit-save-id-en-fallback
attack_tier,7,melee,14,210 | +20% |,210 | +20% |,mh4edit-mit-save-id-en-fallback
attack_tier,7,melee,15,240 |      |,240 |      |,mh4edit-mit-save-id-en-fallback
attack_tier,7,melee,16,250 | +10% | DEF+20,250 | +10% | DEF+20,mh4edit-mit-save-id-en-fallback
attack_tier,7,melee,17,270 |      |,270 |      |,mh4edit-mit-save-id-en-fallback
attack_tier,7,melee,18,290 | +10% |,290 | +10% |,mh4edit-mit-save-id-en-fallback
attack_tier,7,melee,19,310 |      | DEF+5,310 |      | DEF+5,mh4edit-mit-save-id-en-fallback
attack_tier,7,melee,20,340 | -25% |,340 | -25% |,mh4edit-mit-save-id-en-fallback
