id,name,english,source
1,调合书①入门篇,Book of Combos 1,mh4g-dex-build7
2,调合书②初级篇,Book of Combos 2,mh4g-dex-build7
3,调合书③中级篇,Book of Combos 3,mh4g-dex-build7
4,调合书④上级篇,Book of Combos 4,mh4g-dex-build7
5,调合书⑤达人篇,Book of Combos 5,mh4g-dex-build7
6,收纳上手・技之书,Organizer Guide,mh4g-dex-build7
7,收纳上手・力之书,Pack Rat Guide,mh4g-dex-build7
8,回复药,Potion,mh4g-dex-build7
9,回复药Ｇ,Mega Potion,mh4g-dex-build7
10,营养剂,Nutrients,mh4g-dex-build7
11,营养剂Ｇ,Mega Nutrients,mh4g-dex-build7
12,解毒药,Antidote,mh4g-dex-build7
13,活力剂,Immunizer,mh4g-dex-build7
14,强走药,Dash Juice,mh4g-dex-build7
15,强走药Ｇ,Mega Dash Juice,mh4g-dex-build7
16,鬼人药,Demondrug,mh4g-dex-build7
17,鬼人药Ｇ,Mega Demondrug,mh4g-dex-build7
18,怪力药丸,Might Pill,mh4g-dex-build7
19,硬化药,Armorskin,mh4g-dex-build7
20,硬化药Ｇ,Mega Armorskin,mh4g-dex-build7
21,忍耐药丸,Adamant Pill,mh4g-dex-build7
22,冷饮,Cool Drink,mh4g-dex-build7
23,热饮,Hot Drink,mh4g-dex-build7
24,消散剂,Cleanser,mh4g-dex-build7
25,消臭玉,Deodorant,mh4g-dex-build7
26,千里眼药,Psychoserum,mh4g-dex-build7
27,汉方药,Herbal Medicine,mh4g-dex-build7
28,秘药,Max Potion,mh4g-dex-build7
29,远古秘药,Ancient Potion,mh4g-dex-build7
30,增强剂,Catalyst,mh4g-dex-build7
31,提神饮料,Energy Drink,mh4g-dex-build7
32,爆药,Gunpowder,mh4g-dex-build7
33,生命之粉,Lifecrystals,mh4g-dex-build7
34,生命粉尘,Lifepowder,mh4g-dex-build7
35,捕获用麻醉药,Tranquilizer,mh4g-dex-build7
36,谜之护身符,Mystery Charm,mh4g-dex-build7
37,闪光护身符,Shining Charm,mh4g-dex-build7
38,腐朽护身符,Timeworn Charm,mh4g-dex-build7
39,扭曲护身符,Distorted Charm,mh4g-dex-build7
40,力之护符,Powercharm,mh4g-dex-build7
41,力之爪,Powertalon,mh4g-dex-build7
42,守之护符,Armorcharm,mh4g-dex-build7
43,守之爪,Armortalon,mh4g-dex-build7
44,生肉,Raw Meat,mh4g-dex-build7
45,毒生肉,Poisoned Meat,mh4g-dex-build7
46,麻痹生肉,Tinged Meat,mh4g-dex-build7
47,睡眠生肉,Drugged Meat,mh4g-dex-build7
48,半生肉,Rare Steak,mh4g-dex-build7
49,烤熟的肉,Well-done Steak,mh4g-dex-build7
50,焦肉,Burnt Meat,mh4g-dex-build7
51,冷肉,Chilled Meat,mh4g-dex-build7
52,热肉,Hot Meat,mh4g-dex-build7
53,狗龙腿肉,Mosswine Jerky,mh4g-dex-build7
54,回力镖,Boomerang,mh4g-dex-build7
55,投掷匕首,Throwing Knife,mh4g-dex-build7
56,毒投掷匕首,Poison Knife,mh4g-dex-build7
57,催眠投掷匕首,Sleep Knife,mh4g-dex-build7
58,麻痹投掷匕首,Paralysis Knife,mh4g-dex-build7
59,捕获用麻醉匕首,Tranq Knife,mh4g-dex-build7
60,素材弹,Bomb Casing,mh4g-dex-build7
61,染色球,Paintball,mh4g-dex-build7
62,闪光弹,Flash Bomb,mh4g-dex-build7
63,音爆弹,Sonic Bomb,mh4g-dex-build7
64,怪物的粪,Dung,mh4g-dex-build7
65,肥料玉,Dung Bomb,mh4g-dex-build7
66,烟雾弹,Smoke Bomb,mh4g-dex-build7
67,毒烟雾弹,Poison Smoke Bomb,mh4g-dex-build7
68,回家弹,Farcaster,mh4g-dex-build7
69,捕获用麻醉玉,Tranq Bomb,mh4g-dex-build7
70,蜘蛛巢,Spider Web,mh4g-dex-build7
71,网,Net,mh4g-dex-build7
72,陷阱工具,Trap Tool,mh4g-dex-build7
73,落穴陷阱,Pitfall Trap,mh4g-dex-build7
74,麻痹陷阱,Shock Trap,mh4g-dex-build7
75,小桶,Small Barrel,mh4g-dex-build7
76,大桶,Large Barrel,mh4g-dex-build7
77,小桶爆弹,Barrel Bomb S,mh4g-dex-build7
78,小桶爆弹Ｇ,Barrel Bomb S+,mh4g-dex-build7
79,大桶爆弹,Barrel Bomb L,mh4g-dex-build7
80,大桶爆弹Ｇ,Barrel Bomb L+,mh4g-dex-build7
81,飞空爆弹,Bounce Bomb,mh4g-dex-build7
82,飞空爆弹Ｇ,Bounce Bomb+,mh4g-dex-build7
83,木天蓼爆弾,Felvine Bomb,mh4g-dex-build7
84,ＪＵＭＰ爆弹,[JP] JUMP Bomb,mh4g-dex-build7
