id,name,english,source
0,无,None,mh4g-save-format
1,胴系統倍加,Torso Up,mh4g-dex-build7
2,刀匠,Edgemaster,mh4g-dex-build7
3,射手,SteadyHand,mh4g-dex-build7
4,状态耐性,Status Res,mh4g-dex-build7
5,怒,Fury,mh4g-dex-build7
6,细菌学,Biology,mh4g-dex-build7
7,回避术,Nimbleness,mh4g-dex-build7
8,居合,Readiness,mh4g-dex-build7
9,顽强,Resilience,mh4g-dex-build7
10,刚击,Brutality,mh4g-dex-build7
11,一心,Ferocity,mh4g-dex-build7
12,盾持,Stalwart,mh4g-dex-build7
13,洁癖,Prudence,mh4g-dex-build7
14,增幅,Amplify,mh4g-dex-build7
15,护石收集,Hoarding,mh4g-dex-build7
16,强欲,Avarice,mh4g-dex-build7
17,属性解放,FreeElemnt,mh4g-dex-build7
18,剑术,Fencing,mh4g-dex-build7
19,匠,Handicraft,mh4g-dex-build7
20,拔刀会心,Crit Draw,mh4g-dex-build7
21,拔刀减气,PunishDraw,mh4g-dex-build7
22,装填速度,Reload Spd,mh4g-dex-build7
23,后坐力,Recoil,mh4g-dex-build7
24,速射,Rapid Fire,mh4g-dex-build7
25,认真,Gloves Off,mh4g-dex-build7
26,斗魂,Spirit,mh4g-dex-build7
27,不动,Unshakable,mh4g-dex-build7
28,护石王,Charmer,mh4g-dex-build7
29,痛击,Tenderizer,mh4g-dex-build7
30,属性耐性,Blight Res,mh4g-dex-build7
31,攻击,Attack,mh4g-dex-build7
32,防御,Defense,mh4g-dex-build7
33,采集,Gathering,mh4g-dex-build7
34,剥取,Carving,mh4g-dex-build7
35,运气,Fate,mh4g-dex-build7
36,捕获,Tranquilzr,mh4g-dex-build7
37,达人,Expert,mh4g-dex-build7
38,炮术,Artillery,mh4g-dex-build7
39,回避性能,Evasion,mh4g-dex-build7
40,体力,Health,mh4g-dex-build7
41,听觉保护,Hearing,mh4g-dex-build7
42,锋利度,Sharpness,mh4g-dex-build7
43,防御性能,Guard,mh4g-dex-build7
44,防御强化,Guard Up,mh4g-dex-build7
45,研磨师,Sharpener,mh4g-dex-build7
46,底力,Potential,mh4g-dex-build7
47,爆弹强化,Bomb Boost,mh4g-dex-build7
48,特殊攻击,Status,mh4g-dex-build7
49,耐力,Stamina,mh4g-dex-build7
50,重击,Destroyer,mh4g-dex-build7
51,回避距離,Evade Dist,mh4g-dex-build7
52,收刀,Sheathing,mh4g-dex-build7
53,蓄力缩短,FastCharge,mh4g-dex-build7
54,减气攻击,Stam Drain,mh4g-dex-build7
55,无伤,Unscathed,mh4g-dex-build7
56,根性,Guts,mh4g-dex-build7
57,装填数,Loading,mh4g-dex-build7
58,通常弹强化,Normal Up,mh4g-dex-build7
59,贯通弹强化,Pierce Up,mh4g-dex-build7
60,散弹强化,Pellet Up,mh4g-dex-build7
61,KO,KO,mh4g-dex-build7
62,对防御DOWN,Def Lock,mh4g-dex-build7
63,效果持续,LastingPwr,mh4g-dex-build7
64,通常弹追加,Normal S+,mh4g-dex-build7
65,贯通弹追加,Pierce S+,mh4g-dex-build7
66,散弹追加,Pellet S+,mh4g-dex-build7
67,榴弹追加,Crag S+,mh4g-dex-build7
68,扩散弹追加,Clust S+,mh4g-dex-build7
69,斩裂弹追加,Slicing S+,mh4g-dex-build7
70,爆破弹追加,Blast S+,mh4g-dex-build7
71,毒瓶追加,Poison C+,mh4g-dex-build7
72,麻痹瓶追加,Para C+,mh4g-dex-build7
73,睡眠瓶追加,Sleep C+,mh4g-dex-build7
74,强击瓶追加,Power C+,mh4g-dex-build7
75,接撃瓶追加,C.Range C+,mh4g-dex-build7
76,减气瓶追加,Exhaust C+,mh4g-dex-build7
