id,name,english,source,rarity,is_relic
0,无装备,None,mh4g-core-common-game-array,0,0
1,猎弓Ⅰ,Hunter's Bow I,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,猎弓Ⅱ,Hunter's Bow II,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
3,猎弓Ⅲ,Hunter's Bow III,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
4,强化猎弓Ⅰ,Hunter's Stoutbow I,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
5,强化猎弓Ⅱ,Hunter's Stoutbow II,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
6,强化猎弓Ⅲ,Hunter's Stoutbow III,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
7,冰柱弓Ⅰ,Icicle Bow I,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
8,冰柱弓Ⅱ,Icicle Bow II,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
9,迪欧斯之弓,Dios Flier,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
10,迪欧斯之弓改,Dios Flier+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
11,爆碎之征矢,Demolition Bow,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
12,女王光线炮Ⅰ,Queen Blaster I,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
13,女王光线炮Ⅱ,Queen Blaster II,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
14,射心弓Ⅰ,Heartshot Bow I,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
15,射心弓Ⅱ,Heartshot Bow II,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
16,射月女神,Selene Moonbroken,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
17,日珥弓Ⅰ,Prominence Bow I,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
18,日珥弓Ⅱ,Prominence Bow II,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
19,日珥弓Ⅲ,Prominence Bow III,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
20,开天的许珀里翁,Hyperion,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
