id,name,english,source,rarity,is_relic
0,无装备,None,mh4g-core-common-game-array,0,0
1,精锐讨伐队盾斧,Elite Blade,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,精锐讨伐队盾斧改,Elite Blade+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
3,近卫队专用盾斧,Defender's Blade,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
4,帝星搬运者,Kaiser Blade,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
5,黑色防御,Blackguard,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
6,黑色大防御,Full Blackguard,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
7,卫士队正式盾斧,Sentinel Blade,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
8,卫士队正式盾斧改,Sentinel Blade+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
9,位高则任重,Noblest of Lieges,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
10,迪亚＝鲁特米斯,Dear Lutemis,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
11,迪亚＝鲁特米亚,Dear Lutemia,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
12,迪亚＝赫卡特尔,Dear Hecatel,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
13,迪亚＝赫卡特利亚,Dear Hecatelia,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
14,炎斧阿克塞里翁,Axelion Blade,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
15,焰斧哈尔巴里翁,Halberion Blade,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
16,红莲斧尤尼奥里翁,Bardichion Blade,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
17,业火斧赫尔梅斯雷,Hellsire Blade,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
18,烈日斧赫尔梅斯萨,Hellspawn Blade,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
19,鲨鱼盾矢,Guardsqual,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
20,鲨鱼盾矢改,Guardsqual+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
21,冰鲨斧,Squaliarma,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
22,冰鲨强斧,Squaliarmada,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
23,原力of坠落,Elendskraft,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
24,原力of毁灭,Leidenskraft,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
25,原力of灾厄,Unheilskraft,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
26,THE镇压者,L'Oppresseur,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
27,大海龙之斧,Deceadeus,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
28,大海龙勇斧,Heroic Deceadeus,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
29,八尺盾斧,Permanence,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
30,豪盾斧【伊邪那美】,Izanami,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
31,黑龙盾斧,Fatalis Charger,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
32,黑灭龙盾斧,Ruiner Reaver,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
33,星光之斧,Starlight Axe,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
34,巨光之斧,Grandstar Axe,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
35,传说Ｊ之锚,dummy35,mh4g-core-common-game-array+mh4edit-mit-save-id,0,0
36,伝説Ｊ之遗产,dummy36,mh4g-core-common-game-array+mh4edit-mit-save-id,0,0
37,黑色大防御改,Full Blackguard+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,8,0
38,漆黑之盾,Schwarzschild,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,9,0
39,骑士团队证盾斧,K. Captain's Blade,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,8,0
40,女武神,Die Walküre,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,9,0
41,蜘蛛之鳞,Arachnoscale,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
42,蜘蛛之鳞改,Arachnoscale+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
43,蜘蛛毒镰,Arachnoscythe,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,8,0
44,白神毒镰,Belobog's Scythe,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,9,0
45,黑之斧,Schwarzschlum,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,9,0
46,黑之斧改,Schwarzschlum+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,9,0
47,黑神眠斧,Chernobog's Scythe,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,9,0
48,泥沙昆虫,Schildsect,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
49,泥沙昆虫改,Schildsect+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
