id,name,english,source,rarity,is_relic
0,无,None,mh4g-save-format,0,0
1,双刀,Matched Slicers,mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,双刀改,Matched Slicers+,mh4g-dex-build7+mh4edit-mit-save-id,1,0
3,决斗双刀,Dual Slicers,mh4g-dex-build7+mh4edit-mit-save-id,1,0
4,双战斧,Dual Hatchets,mh4g-dex-build7+mh4edit-mit-save-id,2,0
5,双战斧改,Dual Hatchets+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
6,双风战斧风,Dual Cleavers+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
7,飓风,Hurricane,mh4g-dex-build7+mh4edit-mit-save-id,4,0
8,龙卷风,Cyclone,mh4g-dex-build7+mh4edit-mit-save-id,5,0
9,轰龙剔刀,Rex Slicers,mh4g-dex-build7+mh4edit-mit-save-id,3,0
10,轰爪【虎血】,Tigrex Claws,mh4g-dex-build7+mh4edit-mit-save-id,5,0
11,暴君切刃,Accursed Slicers,mh4g-dex-build7+mh4edit-mit-save-id,6,0
12,冲爪【虎豹】,Pouncing Graveclaws,mh4g-dex-build7+mh4edit-mit-save-id,7,0
13,冰冷短刀,Freezing Daggers,mh4g-dex-build7+mh4edit-mit-save-id,2,0
14,冰冷短刀改,Freezing Daggers+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
15,寒冰短刀,Icicle Daggers,mh4g-dex-build7+mh4edit-mit-save-id,4,0
16,死亡冰封,Frozen Death,mh4g-dex-build7+mh4edit-mit-save-id,4,0
17,昆虫指令,Insecticutters,mh4g-dex-build7+mh4edit-mit-save-id,2,0
18,昆虫指令改,Insecticutters+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
19,昆虫切刃,Insectiscythes,mh4g-dex-build7+mh4edit-mit-save-id,4,0
20,昆虫警报,Alated Insect,mh4g-dex-build7+mh4edit-mit-save-id,6,0
21,教团细剑,Sworn Rapiers,mh4g-dex-build7+mh4edit-mit-save-id,2,0
22,神圣军刀,Holy Sabers,mh4g-dex-build7+mh4edit-mit-save-id,3,0
23,公会骑士军刀,Guild Knight Sabers,mh4g-dex-build7+mh4edit-mit-save-id,4,0
24,大师军刀,Master Sabers,mh4g-dex-build7+mh4edit-mit-save-id,5,0
25,狗龙双刀,Jaggid Shotels,mh4g-dex-build7+mh4edit-mit-save-id,1,0
26,首领双刃,Leader's Shotels,mh4g-dex-build7+mh4edit-mit-save-id,2,0
27,利爪of撕裂者,Fledderklauen,mh4g-dex-build7+mh4edit-mit-save-id,3,0
28,利爪of嗜血者,Hungerklauen,mh4g-dex-build7+mh4edit-mit-save-id,4,0
29,利爪of携带者,Aasklauen,mh4g-dex-build7+mh4edit-mit-save-id,5,0
30,THE使徒,Les Apôtres,mh4g-dex-build7+mh4edit-mit-save-id,7,0
31,鲨鱼清道夫,Cleaving Jaws,mh4g-dex-build7+mh4edit-mit-save-id,2,0
32,鲨鱼清道夫改,Cleaving Jaws+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
33,残酷清道夫,Cool Cleavers,mh4g-dex-build7+mh4edit-mit-save-id,5,0
34,冰封清道夫,Frozen Cleavers,mh4g-dex-build7+mh4edit-mit-save-id,6,0
35,骨铐,Bone Scythes,mh4g-dex-build7+mh4edit-mit-save-id,1,0
36,骨铐改,Bone Scythes+,mh4g-dex-build7+mh4edit-mit-save-id,1,0
37,双弯刀,Chief's Scythes,mh4g-dex-build7+mh4edit-mit-save-id,1,0
38,决斗双斧,Dual Battleaxe,mh4g-dex-build7+mh4edit-mit-save-id,2,0
39,决斗双斧改,Dual Battleaxe+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
40,双重战斧,Double Tabarzin,mh4g-dex-build7+mh4edit-mit-save-id,3,0
41,猛烈毒素,Terminal Toxin,mh4g-dex-build7+mh4edit-mit-save-id,4,0
42,致命毒素,Mortal Miasma,mh4g-dex-build7+mh4edit-mit-save-id,6,0
43,双剑霞龙,Dual Chameleos,mh4g-dex-build7+mh4edit-mit-save-id,7,0
44,双炎,Twin Flames,mh4g-dex-build7+mh4edit-mit-save-id,3,0
45,高级双炎,High Twin Flames,mh4g-dex-build7+mh4edit-mit-save-id,4,0
46,双剑龙炎,Wyvern Lovers,mh4g-dex-build7+mh4edit-mit-save-id,5,0
47,激龙双剑,Wyvern Strife,mh4g-dex-build7+mh4edit-mit-save-id,7,0
48,粉红双球,Pink Maracas,mh4g-dex-build7+mh4edit-mit-save-id,2,0
49,时髦双球,Funky Maracas,mh4g-dex-build7+mh4edit-mit-save-id,3,0
50,丛林双球,Jungle Maracas,mh4g-dex-build7+mh4edit-mit-save-id,4,0
51,永恒之绿,Evergreen,mh4g-dex-build7+mh4edit-mit-save-id,5,0
52,昆虫双刺,Whirlitwists,mh4g-dex-build7+mh4edit-mit-save-id,1,0
53,螺旋双刺,Whirlitricks,mh4g-dex-build7+mh4edit-mit-save-id,2,0
54,利刃双刺,Whirlitorture,mh4g-dex-build7+mh4edit-mit-save-id,3,0
55,螺旋之刃,Spiral Edges,mh4g-dex-build7+mh4edit-mit-save-id,5,0
56,旋坏螺旋刃,Gyro Wedges,mh4g-dex-build7+mh4edit-mit-save-id,6,0
57,暴雪双刃,Snow Slicers,mh4g-dex-build7+mh4edit-mit-save-id,2,0
