id,name,english,source,rarity,is_relic
0,无,None,mh4g-save-format,0,0
1,钢铁大剑,Iron Sword,mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,钢铁大剑改,Iron Sword+,mh4g-dex-build7+mh4edit-mit-save-id,1,0
3,巨剑,Buster Sword,mh4g-dex-build7+mh4edit-mit-save-id,1,0
4,巨剑改,Buster Sword+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
5,爆炎剑,Ravager Blade,mh4g-dex-build7+mh4edit-mit-save-id,2,0
6,爆炎剑改,Ravager Blade+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
7,上级爆炎剑,Lacerator Blade,mh4g-dex-build7+mh4edit-mit-save-id,4,0
8,Devistator Blade,Devistator Blade,mh4edit-mit-save-id-en-fallback,0,0
9,铬合金之刃,Chrome Razor,mh4g-dex-build7+mh4edit-mit-save-id,4,0
10,铬合金死亡之刃,Chrome Quietus,mh4g-dex-build7+mh4edit-mit-save-id,5,0
11,电击之剑,Khezu Shock Sword,mh4g-dex-build7+mh4edit-mit-save-id,2,0
12,电击利刃,Khezu Shock Blade,mh4g-dex-build7+mh4edit-mit-save-id,5,0
13,超强电击,Khezu Shock Full,mh4g-dex-build7+mh4edit-mit-save-id,6,0
14,武骨包丁,Santoku Reaver,mh4g-dex-build7+mh4edit-mit-save-id,2,0
15,武骨包丁【舟行】,Funayuki Reaver,mh4g-dex-build7+mh4edit-mit-save-id,3,0
16,蛤蟆大包丁,Toad Bereaver,mh4g-dex-build7+mh4edit-mit-save-id,4,0
17,蛤蟆大包丁【荒砥】,Millstone Bereaver,mh4g-dex-build7+mh4edit-mit-save-id,5,0
18,Blazenwall,Blazenwall,mh4edit-mit-save-id-en-fallback,0,0
19,红莲爆锤大剑,Crimsonwall,mh4g-dex-build7+mh4edit-mit-save-id,5,0
20,克拉格克里夫,Cragscliff,mh4g-dex-build7+mh4edit-mit-save-id,6,0
21,狂暴大剑,Rugged Great Sword,mh4g-dex-build7+mh4edit-mit-save-id,1,0
22,Chieftain's Great Sword,Chieftain's Great Sword,mh4edit-mit-save-id-en-fallback,0,0
23,荣耀of阴影,Schattenstolz,mh4g-dex-build7+mh4edit-mit-save-id,3,0
24,荣耀of黑暗,Düsterstolz,mh4g-dex-build7+mh4edit-mit-save-id,4,0
25,荣耀of死灭,Verhängnisstolz,mh4g-dex-build7+mh4edit-mit-save-id,5,0
26,THE默示录,L'Apothéose,mh4g-dex-build7+mh4edit-mit-save-id,7,0
27,王大剑风来,Usurper's Storm,mh4g-dex-build7+mh4edit-mit-save-id,3,0
28,王牙大剑【黑雷】,Despot's Blackstorm,mh4g-dex-build7+mh4edit-mit-save-id,5,0
29,狱大剑龙角,Brimstren Drakepride,mh4g-dex-build7+mh4edit-mit-save-id,6,0
30,鬼金棒,Demon Rod,mh4g-dex-build7+mh4edit-mit-save-id,6,0
31,大鬼金棒,Great Demon Rod,mh4g-dex-build7+mh4edit-mit-save-id,7,0
32,水流大剑,Ludroth Bone Sword,mh4g-dex-build7+mh4edit-mit-save-id,2,0
33,水流大剑改,Ludroth Bone Sword+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
34,暴雨大剑,Cataclysm Sword,mh4g-dex-build7+mh4edit-mit-save-id,4,0
35,暴雨巨刃,Cataclysm Blade,mh4g-dex-build7+mh4edit-mit-save-id,5,0
36,骨刃,Bone Blade,mh4g-dex-build7+mh4edit-mit-save-id,1,0
37,骨刃改,Bone Blade+,mh4g-dex-build7+mh4edit-mit-save-id,1,0
38,腭刀,Jawblade,mh4g-dex-build7+mh4edit-mit-save-id,1,0
39,巨大腭刀,Giant Jawblade,mh4g-dex-build7+mh4edit-mit-save-id,2,0
40,巨象刃,Golem Blade,mh4g-dex-build7+mh4edit-mit-save-id,2,0
41,轰龙大剑,Tiger Jawblade,mh4g-dex-build7+mh4edit-mit-save-id,3,0
42,轰大剑【王虎】,Tigrex Great Sword,mh4g-dex-build7+mh4edit-mit-save-id,5,0
43,暴君大剑,Accursed Blade,mh4g-dex-build7+mh4edit-mit-save-id,6,0
44,冲大剣【赤威】,Veined Graveblade,mh4g-dex-build7+mh4edit-mit-save-id,7,0
45,迪欧斯大剑,Dios Blade,mh4g-dex-build7+mh4edit-mit-save-id,4,0
46,迪欧斯大剑改,Dios Blade+,mh4g-dex-build7+mh4edit-mit-save-id,5,0
47,执行者,Executioner,mh4g-dex-build7+mh4edit-mit-save-id,5,0
48,女武神之刃,Valkyrie Blade,mh4g-dex-build7+mh4edit-mit-save-id,2,0
49,吉克琳迪,Sieglinde,mh4g-dex-build7+mh4edit-mit-save-id,3,0
50,缇塔尔尼亚,Titania,mh4g-dex-build7+mh4edit-mit-save-id,5,0
51,布拉修蒂姆,Blushing Dame,mh4g-dex-build7+mh4edit-mit-save-id,6,0
52,奥贝里翁,Auberon,mh4g-dex-build7+mh4edit-mit-save-id,6,0
53,红色羽翼,Red Wing,mh4g-dex-build7+mh4edit-mit-save-id,3,0
54,炎剑里奥雷乌斯,Rathalos Firesword,mh4g-dex-build7+mh4edit-mit-save-id,4,0
55,焰剑里奥雷乌斯,Rathalos Flamesword,mh4g-dex-build7+mh4edit-mit-save-id,5,0
56,辉剑里奥雷乌斯,Rathalos Gleamsword,mh4g-dex-build7+mh4edit-mit-save-id,7,0
57,Rathalos Glintsword,Rathalos Glintsword,mh4edit-mit-save-id-en-fallback,0,0
58,杂耍之剑,Thrash Sword,mh4g-dex-build7+mh4edit-mit-save-id,2,0
59,杂耍之剑改,Thrash Sword+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
60,杂耍大剑,Thrash Blade,mh4g-dex-build7+mh4edit-mit-save-id,4,0
61,杂耍大利刃,Thrashgash Blade,mh4g-dex-build7+mh4edit-mit-save-id,5,0
62,宽刃,Immane Blade,mh4g-dex-build7+mh4edit-mit-save-id,2,0
63,宽利刃,Immolator Blade,mh4g-dex-build7+mh4edit-mit-save-id,3,0
64,影蜘蛛利刃,Scylla Blade,mh4g-dex-build7+mh4edit-mit-save-id,4,0
65,影蜘蛛大剑,Scylla Razor,mh4g-dex-build7+mh4edit-mit-save-id,6,0
66,蛇剑【大蛇】,Vile Serpentblade,mh4g-dex-build7+mh4edit-mit-save-id,1,0
67,蛇剑【大蛇】改,Vile Serpentblade+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
68,蛇剑【毒牙】,Fanged Serpentblade,mh4g-dex-build7+mh4edit-mit-save-id,3,0
69,蛇剑【毒蛾】,Deadly Serpentblade,mh4g-dex-build7+mh4edit-mit-save-id,5,0
70,蛇剑【毒蛇】,Poison Serpentblade,mh4g-dex-build7+mh4edit-mit-save-id,6,0
