id,name,english,source,rarity,is_relic
0,无装备,None,mh4g-core-common-game-array,0,0
1,钢铁铳枪,Iron Gunlance,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,钢铁铳枪改,Iron Gunlance+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
3,精钢铳枪,Steel Gunlance,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
4,讨伐队正式铳枪,Striker's Gunlance,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
5,近卫队正式铳枪,Defender's Gunlance,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
6,帝国铳枪,Imperial Guardlance,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
7,将军铳枪,General's Arbalance,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
8,提督铳枪,Admiral's Arbalance,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
9,古代史旋转铳枪,Ancient Gyrelance,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
10,古代史歼灭铳枪,Ancient Gyresmite,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
11,红色城墙,Red Rook,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
12,红色城墙改,Red Rook+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
13,血腥城墙,Crimson Rook,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
14,银色城墙,Silver Rook,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
15,银色战车,Chariot Gun,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
16,迪欧斯铳枪,Dios Gunlance,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
17,迪欧斯铳枪改,Dios Gunlance+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
18,爆碎之铳枪,Demolition Gunlance,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
19,高电压铳枪,Full Voltage,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
20,高电磁场铳枪,Full Generator,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
21,红色电磁场铳枪,Red Generator,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
22,血色发电机,Bloodied Dynamo,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
23,朱鬼铳枪,Red Devil Gunlance,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
24,朱鬼铳枪【破岩】,Red Devil Smasher,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
25,苍鬼铳枪炮,Blue Devil Uberlance,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
26,苍鬼铳枪炮【鬼拵】,Blue Devil Opus,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
27,白色铳枪,White Gunlance,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
28,白色加农炮,White Cannon,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
29,黑色铳枪,Black Gunlance,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
30,潜海者,Seadiver,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
31,潜海者改,Seadiver+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
32,深海破坏者,Deepbuster,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
33,深海毁灭者,Deep Gunbuster,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
34,骨铳枪,Bone Gunlance,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
35,大骨铳枪,Great Bone Gunlance,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
36,狗龙铳枪,Jaggid Gunlance,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
37,狗龙铳枪改,Jaggid Gunlance+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
38,桃色铳枪,Hurricane Gunlance,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
39,轰龙铳,Tiger Blast,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
40,轰铳枪【虎炮】,Tigrex Gunlance,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
41,暴君狂袭,Accursed Blast,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
42,冲铳枪【威迫】,Menacing Gravegun,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
43,鬼铳枪,Demon Gunlance,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
44,雷鬼铳枪龙枪,Great Demon Gunlance,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
45,权力of暴躁,Tyrannenarm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
46,权力of嘲讽,Verräterarm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
47,权力of傲慢,Hochmutsarm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
48,THE脉冲,L'Onde,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
49,公主烈炎,Princess Panoply,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
50,公主烈炎改,Princess Panoply+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
51,奥鲁特林迪,Ortlinde,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
52,女王烈炎,Queen's Panoply,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
53,王铳枪刚雷,Usurper's Roar,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
54,王铳枪豪雷改,Usurper's Roar+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
55,王牙铳枪【火雷】,Despot's Phlogiston,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
56,狱铳枪龙血,Brimstren Drakeblood,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
57,水平强棒,Average Hitter,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
58,广角强棒,Grand Slam,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
59,坚毅强棒,Hard Hitter,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
60,大回旋击,Big Slugger,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
61,白兔铳枪,Lagomberator,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
62,白兔射线,Lagomberatrix,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
63,白兔风暴,Lagomberastrophe,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
64,白兔爆破,Lagombergeddon,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
65,武装飞鸟,Shell Gunbird,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
66,武装飞鸟改,Shell Gunbird+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
67,贵族武装飞鸟,Noble Gunbird,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
68,皇室武装飞鸟,Royal Gunbird,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
69,彩鸟铳,Peco Teepee,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
70,彩鸟铳改,Peco Teepee+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
71,羽毛铳枪,Feather Gunlance,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
72,睡神加农,Hypno Cannon,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
73,艾琉铳枪,Felyoshka,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
74,艾琉铳枪改,Felyoshka+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
75,福福艾琉铳枪,Felicitous Felyoshka,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
76,海洋捕鱼者,Marine Fisher,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
