id,name,english,source,rarity,is_relic
0,无装备,None,mh4g-core-common-game-array,0,0
1,战锤,War Hammer,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,战锤改,War Hammer+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
3,战斗权杖,War Mace,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
4,强袭铁锤,Iron Striker,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
5,强袭铁锤改,Iron Striker+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
6,冲击铁锤,Iron Impact,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
7,黑铁,Kurogane,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
8,鬼铁,Iron Devil,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
9,铁拳,Fist of Fury,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
10,冰霜核心,Frozen Core,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
11,痛泣冰河,Cocytus,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
12,枪锤,Gun Hammer,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
13,死亡左轮,Deadeye Revolver,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
14,正式采用机械锤,Sanctioned Gunhammer,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
15,燃烧敲击者,Burning Crusher,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
16,浩荡极大,Purse Bop,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
17,浩荡击打改,Purse Bop+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
18,鲜血捶打,Bleeding Bopper,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
19,鲜血痛击,Bleeding Basher,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
20,群丛重锤,Cluster Hammer,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
21,群丛重锤改,Cluster Hammer+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
22,高级群丛锤,Cluster Musterer,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
23,大师群丛锤,Master Musterer,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
24,王锤神雷,Usurper's Thunder,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
25,王牙锤【大雷】,Despot's Crackle,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
