id,name,english,source,rarity,is_relic
0,无,None,mh4g-save-format,0,0
1,骨射手,Bone Shooter,mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,骨射手改,Bone Shooter+,mh4g-dex-build7+mh4edit-mit-save-id,1,0
3,荒绳鼓炮,Straw Drumcannon,mh4g-dex-build7+mh4edit-mit-save-id,2,0
4,荒绳鼓炮【调绪】,Shirabeo,mh4g-dex-build7+mh4edit-mit-save-id,3,0
5,鼓击弩首领火,Ratatat Drumcannon,mh4g-dex-build7+mh4edit-mit-save-id,4,0
6,妃龙炮【远击】,Queen's Longfire,mh4g-dex-build7+mh4edit-mit-save-id,2,0
7,妃龙炮【飞击】,Queen's Farflier,mh4g-dex-build7+mh4edit-mit-save-id,3,0
8,妃龙炮【姬击】,Queen's Scionfire,mh4g-dex-build7+mh4edit-mit-save-id,5,0
9,骨头爆裂者,Bone Buster,mh4g-dex-build7+mh4edit-mit-save-id,4,0
10,骨头粉碎者,Bone Blaster,mh4g-dex-build7+mh4edit-mit-save-id,5,0
11,炎戈爆裂者,Agnablaster,mh4g-dex-build7+mh4edit-mit-save-id,6,0
12,炎戈炮地狱火,Agnablazer,mh4g-dex-build7+mh4edit-mit-save-id,6,0
13,大熊筒,Bear Barrel,mh4g-dex-build7+mh4edit-mit-save-id,5,0
14,百贯筒【大熊】,Arbearalest,mh4g-dex-build7+mh4edit-mit-save-id,6,0
15,青熊筒,Arzuros Gun,mh4g-dex-build7+mh4edit-mit-save-id,2,0
16,青熊筒改,Arzuros Gun+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
17,大火力蜂刺,Power Stinger,mh4g-dex-build7+mh4edit-mit-save-id,2,0
18,大火力蜂刺改,Power Stinger+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
19,野性蜂刺,Wild Stinger,mh4g-dex-build7+mh4edit-mit-save-id,4,0
20,影星火枪,Ner Bustergun,mh4g-dex-build7+mh4edit-mit-save-id,2,0
21,影星火枪改,Ner Bustergun+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
22,破坏粉碎者,Buster Blaster,mh4g-dex-build7+mh4edit-mit-save-id,4,0
23,铠龙怒吼,Gravios Howl,mh4g-dex-build7+mh4edit-mit-save-id,3,0
24,铠龙狂怒吼,Gravios Gigahowl,mh4g-dex-build7+mh4edit-mit-save-id,5,0
25,铠龙咆哮,Gravios Roar,mh4g-dex-build7+mh4edit-mit-save-id,6,0
26,铠龙巨咆哮,Gravios Gigaroar,mh4g-dex-build7+mh4edit-mit-save-id,6,0
27,王炮来迎,Mightning,mh4g-dex-build7+mh4edit-mit-save-id,3,0
28,王牙炮【震雷】,Loyal Thunder,mh4g-dex-build7+mh4edit-mit-save-id,5,0
29,轰龙咆哮,Tigrex Howl,mh4g-dex-build7+mh4edit-mit-save-id,3,0
30,轰炮【虎头】,Tigrex Skull,mh4g-dex-build7+mh4edit-mit-save-id,4,0
31,暴君怒吼,Accursed Roar,mh4g-dex-build7+mh4edit-mit-save-id,5,0
32,暴君巨吼,Accursed Bellow,mh4g-dex-build7+mh4edit-mit-save-id,5,0
33,冲重炮,Gravecannon,mh4g-dex-build7+mh4edit-mit-save-id,6,0
34,冲重炮【怒头】,Furious Gravecannon,mh4g-dex-build7+mh4edit-mit-save-id,7,0
35,水龙水压炮,Pressurized Plaser,mh4g-dex-build7+mh4edit-mit-save-id,2,0
36,水龙水压炮改,Pressurized Plaser+,mh4g-dex-build7+mh4edit-mit-save-id,4,0
37,水龙巨流炮,Pluripotent Plaser,mh4g-dex-build7+mh4edit-mit-save-id,5,0
38,彩鸟重弩,Tropeco Gun,mh4g-dex-build7+mh4edit-mit-save-id,4,0
39,大彩鸟重炮,Pecopious Gun,mh4g-dex-build7+mh4edit-mit-save-id,6,0
40,啃咬粉碎者,Bite Blaster,mh4g-dex-build7+mh4edit-mit-save-id,5,0
41,嗜啃粉碎者,Biting Blast,mh4g-dex-build7+mh4edit-mit-save-id,6,0
42,决斗重弩,Dual Threat,mh4g-dex-build7+mh4edit-mit-save-id,4,0
43,重虎枪,Diablazooka,mh4g-dex-build7+mh4edit-mit-save-id,6,0
44,不敬之弩,Peerless,mh4g-dex-build7+mh4edit-mit-save-id,4,0
