id,name,english,source,rarity,is_relic
0,无装备,None,mh4g-core-common-game-array,0,0
1,金属风笛,Metal Bagpipe,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,金属风笛改,Metal Bagpipe+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
3,巨风笛,Great Bagpipe,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
4,重风笛,Heavy Bagpipe,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
5,重风笛改,Heavy Bagpipe+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
6,巨响大笛,Fortissimo,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
7,大师风笛,Master Bagpipe,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
8,最强音,Sforzando,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
9,声乐of哭泣,Kummerklang,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
10,声乐of悲痛,Gramklang,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
11,声乐of死亡,Trauerklang,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
12,THE镇魂曲,La Sépulture,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
13,女武神之笛,Valkyrie Chordmaker,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
14,女武神之笛改,Valkyrie Chordmaker+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
15,女王之笛,Queen's Chordmaker,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
16,金笛,Gold Chordmaker,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
17,奇猿狐喇叭,Kecha Whappa,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
18,奇猿狐喇叭改,Kecha Whappa+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
19,奇猿狐大喇叭,Kechachacha Whappa,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
20,奇猿狐吉尔邦笛,Kecha Thumpa,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
21,奇猿狐哈伦笛,Kecha Clanga,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
22,王琴轰雷,Usurper's Growl,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
23,王琴轰雷改,Usurper's Growl+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
24,王牙琴【鸣雷】,Despot's Thunderclap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
25,狱琴龙星,Brimstren Drakesong,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
26,冰霜笛,Ice Kazoo,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
27,冰冻刃笛,Glacial Kazoo,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
