id,name,english,source,rarity,is_relic
0,无,None,mh4g-save-format,0,0
1,铁枪,Iron Lance,mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,铁枪改,Iron Lance+,mh4g-dex-build7+mh4edit-mit-save-id,1,0
3,骑士长枪,Knight Lance,mh4g-dex-build7+mh4edit-mit-save-id,1,0
4,骑士长枪改,Knight Lance+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
5,城墙守卫者,Rampart,mh4g-dex-build7+mh4edit-mit-save-id,2,0
6,城墙守卫者改,Rampart+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
7,要塞守卫者,Babel Spear,mh4g-dex-build7+mh4edit-mit-save-id,4,0
8,堡垒守卫者,Elder Babel Spear,mh4g-dex-build7+mh4edit-mit-save-id,6,0
9,钻头长枪,Drill Lance,mh4g-dex-build7+mh4edit-mit-save-id,4,0
10,大钻头长枪,Megadrill Lance,mh4g-dex-build7+mh4edit-mit-save-id,5,0
11,盾牌of信赖,Eiferschild,mh4g-dex-build7+mh4edit-mit-save-id,3,0
12,盾牌of灼热,Fieberschild,mh4g-dex-build7+mh4edit-mit-save-id,4,0
13,盾牌of怒火,Zornesschild,mh4g-dex-build7+mh4edit-mit-save-id,5,0
14,THE守护者,L'Égide,mh4g-dex-build7+mh4edit-mit-save-id,7,0
15,剧毒长枪,Venom Lance,mh4g-dex-build7+mh4edit-mit-save-id,2,0
16,剧毒战枪,Basarios Venom Spear,mh4g-dex-build7+mh4edit-mit-save-id,3,0
17,豪枪格拉比莫斯,Gravios Spear,mh4g-dex-build7+mh4edit-mit-save-id,5,0
18,黑枪格拉比莫斯,Black Gravios Spear,mh4g-dex-build7+mh4edit-mit-save-id,6,0
19,角骨,Diablos Lance,mh4g-dex-build7+mh4edit-mit-save-id,4,0
20,角龙的角枪,Diablos Spear,mh4g-dex-build7+mh4edit-mit-save-id,6,0
21,芳香长枪,Fragrance,mh4g-dex-build7+mh4edit-mit-save-id,2,0
22,芳香长枪改,Fragrance+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
23,黑暗战枪,Dark Spear,mh4g-dex-build7+mh4edit-mit-save-id,4,0
24,黑暗,Darkness,mh4g-dex-build7+mh4edit-mit-save-id,6,0
25,骨枪,Bone Lance,mh4g-dex-build7+mh4edit-mit-save-id,1,0
26,骨枪改,Bone Lance+,mh4g-dex-build7+mh4edit-mit-save-id,1,0
27,尖刺长矛,Spiked Spear,mh4g-dex-build7+mh4edit-mit-save-id,1,0
28,尖刺长矛改,Spiked Spear+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
29,尖刺标枪,Spiked Javelin,mh4g-dex-build7+mh4edit-mit-save-id,2,0
30,轰龙枪,Tiger Stinger,mh4g-dex-build7+mh4edit-mit-save-id,3,0
31,轰枪【独虎】,Tigrex Lance,mh4g-dex-build7+mh4edit-mit-save-id,5,0
32,暴君穿刺者,Accursed Stinger,mh4g-dex-build7+mh4edit-mit-save-id,6,0
33,冲枪【虎穴】,Predator Gravelance,mh4g-dex-build7+mh4edit-mit-save-id,7,0
34,迪欧斯穿刺者,Dios Stinger,mh4g-dex-build7+mh4edit-mit-save-id,4,0
35,迪欧斯穿刺者改,Dios Stinger+,mh4g-dex-build7+mh4edit-mit-save-id,5,0
36,爆碎之豪枪,Demolition Lance,mh4g-dex-build7+mh4edit-mit-save-id,6,0
37,赤尾,Red Tail,mh4g-dex-build7+mh4edit-mit-save-id,3,0
38,日珥枪,Spear of Prominence,mh4g-dex-build7+mh4edit-mit-save-id,5,0
39,白色日珥,Silver Prominence,mh4g-dex-build7+mh4edit-mit-save-id,7,0
40,蓝色日珥,Blue Prominence,mh4g-dex-build7+mh4edit-mit-save-id,6,0
41,缠绕爬行者,Twistcrawl,mh4g-dex-build7+mh4edit-mit-save-id,2,0
42,缠绕爬行者改,Twistcrawl+,mh4g-dex-build7+mh4edit-mit-save-id,4,0
43,缠死爬行者,Twisting Crawler,mh4g-dex-build7+mh4edit-mit-save-id,5,0
44,利牙缠死爬行者,Paratwist Crawler,mh4g-dex-build7+mh4edit-mit-save-id,6,0
45,扎昆塔,Expelger,mh4g-dex-build7+mh4edit-mit-save-id,2,0
46,扎克基玛,Expelgorer,mh4g-dex-build7+mh4edit-mit-save-id,2,0
47,扎克基玛改,Expelgorer+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
48,扎克斯基玛拉,Expelgouger,mh4g-dex-build7+mh4edit-mit-save-id,4,0
49,扎克斯修玛拉,Rexpelgouger,mh4g-dex-build7+mh4edit-mit-save-id,5,0
50,恰克・莫迦,Gobulu Muruka,mh4g-dex-build7+mh4edit-mit-save-id,5,0
51,恰尔克・莫拉卡,Gobuluku Muraaka,mh4g-dex-build7+mh4edit-mit-save-id,6,0
52,王枪天雷,Usurper's Coming,mh4g-dex-build7+mh4edit-mit-save-id,3,0
53,王牙枪【若雷】,Despot's Cacophony,mh4g-dex-build7+mh4edit-mit-save-id,5,0
54,鬼枪金狮,Demon Lance,mh4g-dex-build7+mh4edit-mit-save-id,6,0
55,大鬼枪金狮,Great Demon Lance,mh4g-dex-build7+mh4edit-mit-save-id,7,0
56,狱枪龙尾,Brimstren Draketail,mh4g-dex-build7+mh4edit-mit-save-id,6,0
57,冻结长枪,Carnivicious,mh4g-dex-build7+mh4edit-mit-save-id,2,0
58,冻结长枪改,Carnivicious+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
59,极寒冻枪,Omnivicious,mh4g-dex-build7+mh4edit-mit-save-id,5,0
60,极光烈枪,Omnivoracious,mh4g-dex-build7+mh4edit-mit-save-id,6,0
61,奉天戟【乌】,Incessant Raven,mh4g-dex-build7+mh4edit-mit-save-id,3,0
62,奉天戟【狼】,Incessant Wolf,mh4g-dex-build7+mh4edit-mit-save-id,4,0
63,奉天戟【凶】,Incessant Crow,mh4g-dex-build7+mh4edit-mit-save-id,6,0
64,蓝色陨石,Blue Crater,mh4g-dex-build7+mh4edit-mit-save-id,4,0
65,毁灭皇冠,Doom Crown,mh4g-dex-build7+mh4edit-mit-save-id,5,0
66,鲨鱼王子,Sharq Byte,mh4g-dex-build7+mh4edit-mit-save-id,2,0
67,鲨鱼王,Sharq Attaq,mh4g-dex-build7+mh4edit-mit-save-id,5,0
68,水流长枪,Aqua Spear,mh4g-dex-build7+mh4edit-mit-save-id,2,0
69,风暴长枪,Stream Spear,mh4g-dex-build7+mh4edit-mit-save-id,4,0
70,元素长枪,Emerald Spear,mh4g-dex-build7+mh4edit-mit-save-id,5,0
71,水尖枪特里修拉,Watery Trishula,mh4g-dex-build7+mh4edit-mit-save-id,6,0
72,腐锈的枪,Rusted Lance,mh4g-dex-build7+mh4edit-mit-save-id,2,0
73,生锈的枪,Tarnished Lance,mh4g-dex-build7+mh4edit-mit-save-id,3,0
74,绝对领域,Undertaker,mh4g-dex-build7+mh4edit-mit-save-id,4,0
75,绝对领域改,High Undertaker,mh4g-dex-build7+mh4edit-mit-save-id,5,0
76,钢冰枪,Icesteel Spear,mh4g-dex-build7+mh4edit-mit-save-id,6,0
77,特里欧斯＝达欧拉,Daora's Fang,mh4g-dex-build7+mh4edit-mit-save-id,7,0
78,严重风化的枪,Worn Spear,mh4g-dex-build7+mh4edit-mit-save-id,5,0
79,风化的枪,Weathered Spear,mh4g-dex-build7+mh4edit-mit-save-id,5,0
80,摩天楼,Skyscraper,mh4g-dex-build7+mh4edit-mit-save-id,6,0
81,炎王怒吼,Teostra's Howl,mh4g-dex-build7+mh4edit-mit-save-id,6,0
82,炎王咆哮,Teostra's Roar,mh4g-dex-build7+mh4edit-mit-save-id,7,0
83,雷枪【雷光】,Thunderspear,mh4g-dex-build7+mh4edit-mit-save-id,4,0
84,雷枪【雷神】,Thunderlance,mh4g-dex-build7+mh4edit-mit-save-id,7,0
85,悲哀重枪,Grief Lance,mh4g-dex-build7+mh4edit-mit-save-id,4,0
86,恐暴重枪,Fiendish Tower,mh4g-dex-build7+mh4edit-mit-save-id,6,0
87,收束刚壳之枪,Shellslab Prong,mh4g-dex-build7+mh4edit-mit-save-id,6,0
88,确乎不拔之不坏圣盾,The Steadfast Aegis,mh4g-dex-build7+mh4edit-mit-save-id,7,0
89,黑龙枪,Fatalis Lance,mh4g-dex-build7+mh4edit-mit-save-id,7,0
90,黑灭龙枪,Ruiner Lance,mh4g-dex-build7+mh4edit-mit-save-id,7,0
91,dummy91,dummy91,mh4edit-mit-save-id-en-fallback,0,0
92,dummy92,dummy92,mh4edit-mit-save-id-en-fallback,0,0
93,要塞守卫者（红）,Babel Spear (red),mh4g-dex-build7+mh4edit-mit-save-id,0,1
94,要塞守卫者（黄）,Babel Spear (yellow),mh4g-dex-build7+mh4edit-mit-save-id,0,1
95,要塞守卫者（绿）,Babel Spear (green),mh4g-dex-build7+mh4edit-mit-save-id,0,1
96,要塞守卫者（蓝）,Babel Spear (blue),mh4g-dex-build7+mh4edit-mit-save-id,0,1
97,要塞守卫者（紫）,Babel Spear (purple),mh4g-dex-build7+mh4edit-mit-save-id,0,1
98,冰牙长枪（红）,Tusk Lance (red),mh4g-dex-build7+mh4edit-mit-save-id,0,1
99,冰牙长枪（黄）,Tusk Lance (yellow),mh4g-dex-build7+mh4edit-mit-save-id,0,1
100,冰牙长枪（绿）,Tusk Lance (green),mh4g-dex-build7+mh4edit-mit-save-id,0,1
101,冰牙长枪（蓝）,Tusk Lance (blue),mh4g-dex-build7+mh4edit-mit-save-id,0,1
102,冰牙长枪（紫）,Tusk Lance (purple),mh4g-dex-build7+mh4edit-mit-save-id,0,1
103,Dragonrider Lance (red),Dragonrider Lance (red),mh4edit-mit-save-id-en-fallback,0,1
104,Dragonrider Lance (yellow),Dragonrider Lance (yellow),mh4edit-mit-save-id-en-fallback,0,1
105,Dragonrider Lance (green),Dragonrider Lance (green),mh4edit-mit-save-id-en-fallback,0,1
106,Dragonrider Lance (blue),Dragonrider Lance (blue),mh4edit-mit-save-id-en-fallback,0,1
107,Dragonrider Lance (purple),Dragonrider Lance (purple),mh4edit-mit-save-id-en-fallback,0,1
108,Frontrider Lance (red),Frontrider Lance (red),mh4edit-mit-save-id-en-fallback,0,1
109,Frontrider Lance (yellow),Frontrider Lance (yellow),mh4edit-mit-save-id-en-fallback,0,1
110,Frontrider Lance (green),Frontrider Lance (green),mh4edit-mit-save-id-en-fallback,0,1
111,Frontrider Lance (blue),Frontrider Lance (blue),mh4edit-mit-save-id-en-fallback,0,1
112,Frontrider Lance (purple),Frontrider Lance (purple),mh4edit-mit-save-id-en-fallback,0,1
113,白色日珥（红）,Silver Prominence (red),mh4g-dex-build7+mh4edit-mit-save-id,0,1
114,白色日珥（黄）,Silver Prominence (yellow),mh4g-dex-build7+mh4edit-mit-save-id,0,1
115,白色日珥（绿）,Silver Prominence (green),mh4g-dex-build7+mh4edit-mit-save-id,0,1
116,白色日珥（蓝）,Silver Prominence (blue),mh4g-dex-build7+mh4edit-mit-save-id,0,1
117,白色日珥（紫）,Silver Prominence (purple),mh4g-dex-build7+mh4edit-mit-save-id,0,1
118,堡垒守卫者改,Elder Babel Spear+,mh4g-dex-build7+mh4edit-mit-save-id,8,0
119,失落守卫者,Lost Babel,mh4g-dex-build7+mh4edit-mit-save-id,9,0
120,大钻头长枪改,Megadrill Lance+,mh4g-dex-build7+mh4edit-mit-save-id,8,0
121,巨钻头长枪,Gigadrill Lance,mh4g-dex-build7+mh4edit-mit-save-id,8,0
122,THE圣者,Le Sage,mh4g-dex-build7+mh4edit-mit-save-id,9,0
123,THE圣骑士,Le Paladin,mh4g-dex-build7+mh4edit-mit-save-id,10,0
124,圣者or恶魔,Luzifer/Sage,mh4g-dex-build7+mh4edit-mit-save-id,9,0
125,重枪格拉比莫斯,Gravios Lance,mh4g-dex-build7+mh4edit-mit-save-id,9,0
126,重火枪格拉比莫斯,Gravios Fire Lance,mh4g-dex-build7+mh4edit-mit-save-id,9,0
127,角王枪格雷欧斯洪,Cera Creos,mh4g-dex-build7+mh4edit-mit-save-id,9,0
128,黑色暴风雨,Black Tempest,mh4g-dex-build7+mh4edit-mit-save-id,9,0
129,传说暴风雨,Rising Tempest,mh4g-dex-build7+mh4edit-mit-save-id,9,0
130,血色之角,Crimson Lance,mh4g-dex-build7+mh4edit-mit-save-id,5,0
131,血色之角改,Crimson Lance+,mh4g-dex-build7+mh4edit-mit-save-id,7,0
132,血色巨角,Crimson War Pike,mh4g-dex-build7+mh4edit-mit-save-id,9,0
133,真红枪莫诺普洛斯,Crimson Monoblos,mh4g-dex-build7+mh4edit-mit-save-id,9,0
134,冰河巨角,Ceramic Blos Lance,mh4g-dex-build7+mh4edit-mit-save-id,9,0
135,白色大灾变,White Catastrophe,mh4g-dex-build7+mh4edit-mit-save-id,9,0
136,黑暗改,Darkness+,mh4g-dex-build7+mh4edit-mit-save-id,8,0
