id,name,english,source,rarity,is_relic
0,无,None,mh4g-save-format,0,0
1,十字弩炮,Cross Bowgun,mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,十字弩炮改,Cross Bowgun+,mh4g-dex-build7+mh4edit-mit-save-id,1,0
3,手榴弹弩,Grenade Launcher,mh4g-dex-build7+mh4edit-mit-save-id,2,0
4,手榴弹弩改,Grenade Launcher+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
5,手榴弹弩炮,Grenade Revolver,mh4g-dex-build7+mh4edit-mit-save-id,4,0
6,火龙炮,Rathling Gun,mh4g-dex-build7+mh4edit-mit-save-id,3,0
7,狱火龙炮,Rathling Doombringer,mh4g-dex-build7+mh4edit-mit-save-id,4,0
8,凤仙火龙炮,Rathling Phoenix,mh4g-dex-build7+mh4edit-mit-save-id,5,0
9,苍火龙炮【炎天】,Azurathling Skysear,mh4g-dex-build7+mh4edit-mit-save-id,6,0
10,苍火龙炮【烈日】,Azurathling Sunsear,mh4g-dex-build7+mh4edit-mit-save-id,6,0
11,缭乱对弩,Blossomayhem,mh4g-dex-build7+mh4edit-mit-save-id,7,0
12,狗龙火焰,Jaggid Fire,mh4g-dex-build7+mh4edit-mit-save-id,1,0
13,眠狗火焰,Bandit Fire,mh4g-dex-build7+mh4edit-mit-save-id,2,0
14,眠狗强轻弩,Bandit's Rage,mh4g-dex-build7+mh4edit-mit-save-id,4,0
15,王弩雷枪,Usurper's Crime,mh4g-dex-build7+mh4edit-mit-save-id,3,0
16,王弩雷枪改,Usurper's Crime+,mh4g-dex-build7+mh4edit-mit-save-id,4,0
17,王牙弩【野雷】,Despot's Wildfire,mh4g-dex-build7+mh4edit-mit-save-id,5,0
18,狱弩龙心,Brimstren Drakekiss,mh4g-dex-build7+mh4edit-mit-save-id,6,0
19,狱弩龙绝,Brimstren Drakevow,mh4g-dex-build7+mh4edit-mit-save-id,7,0
20,十字迅雷弩,Cross Blitz,mh4g-dex-build7+mh4edit-mit-save-id,4,0
21,十字大迅雷,Cross Blitzkrieg,mh4g-dex-build7+mh4edit-mit-save-id,5,0
22,射击弩・苍,Shotgun (Azure),mh4g-dex-build7+mh4edit-mit-save-id,6,0
