id,name,english,source,rarity,is_relic
0,无,None,mh4g-save-format,0,0
1,骨斧,Bone Axe,mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,骨斧改,Bone Axe+,mh4g-dex-build7+mh4edit-mit-save-id,1,0
3,骨头粉碎者,Bone Smasher,mh4g-dex-build7+mh4edit-mit-save-id,1,0
4,全力大斧,Power Gasher,mh4g-dex-build7+mh4edit-mit-save-id,2,0
5,强硬大斧,Massive Gasher,mh4g-dex-build7+mh4edit-mit-save-id,2,0
6,极限大斧,Maximal Gasher,mh4g-dex-build7+mh4edit-mit-save-id,3,0
7,精锐讨伐队剑斧,Elite Switch Axe,mh4g-dex-build7+mh4edit-mit-save-id,4,0
8,精锐讨伐队剑斧改,Elite Switch Axe+,mh4g-dex-build7+mh4edit-mit-save-id,5,0
9,利刃大斧,Czar Switch Axe,mh4g-dex-build7+mh4edit-mit-save-id,6,0
10,琥珀冲击,Amber Slash,mh4g-dex-build7+mh4edit-mit-save-id,5,0
11,血腥疾风冰封,Galefrost,mh4g-dex-build7+mh4edit-mit-save-id,6,0
12,火龙勇气,Rath Flame Splitter,mh4g-dex-build7+mh4edit-mit-save-id,3,0
13,炎龙勇气,Rath Blaze Splitter,mh4g-dex-build7+mh4edit-mit-save-id,5,0
14,炎斧里奥布雷亚德,Rathsplicer,mh4g-dex-build7+mh4edit-mit-save-id,7,0
15,龙姬剑斧,Dragonmaiden Axe,mh4g-dex-build7+mh4edit-mit-save-id,2,0
16,龙姬剑斧改,Dragonmaiden Axe+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
17,大地女王,Gríðr's Landmaker,mh4g-dex-build7+mh4edit-mit-save-id,5,0
18,樱剑苍斧,Azure Rose,mh4g-dex-build7+mh4edit-mit-save-id,6,0
19,奇形斧,Vavoom Axe,mh4g-dex-build7+mh4edit-mit-save-id,2,0
20,奇形斧改,Vavoom Axe+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
21,奇形钉爪,Vavoom Verdict,mh4g-dex-build7+mh4edit-mit-save-id,3,0
22,奇形战斧,Vavoom Vengeance,mh4g-dex-build7+mh4edit-mit-save-id,4,0
23,奇形神牙,Vavoom Vindication,mh4g-dex-build7+mh4edit-mit-save-id,5,0
24,王剑斧雷电,Usurper's Downpour,mh4g-dex-build7+mh4edit-mit-save-id,3,0
25,王牙剑斧【裂雷】,Despot's Cloudburst,mh4g-dex-build7+mh4edit-mit-save-id,5,0
26,狱剑斧龙牙,Brimstren Drakefang,mh4g-dex-build7+mh4edit-mit-save-id,6,0
27,雷剑斧电压,Volt Axe,mh4g-dex-build7+mh4edit-mit-save-id,6,0
28,极北寒斧,Notched Doom,mh4g-dex-build7+mh4edit-mit-save-id,2,0
29,极北寒斧改,Notched Doom+,mh4g-dex-build7+mh4edit-mit-save-id,4,0
30,极北寒鲨,Notched Tyrant,mh4g-dex-build7+mh4edit-mit-save-id,5,0
31,极北死鲨,Notched Oppressor,mh4g-dex-build7+mh4edit-mit-save-id,6,0
32,迪欧斯之斧,Dios Axe,mh4g-dex-build7+mh4edit-mit-save-id,4,0
33,迪欧斯之斧改,Dios Axe+,mh4g-dex-build7+mh4edit-mit-save-id,5,0
34,爆碎之剑斧,Demolition Axe,mh4g-dex-build7+mh4edit-mit-save-id,6,0
35,蛮族剑斧,Barbarian Axe,mh4g-dex-build7+mh4edit-mit-save-id,1,0
36,蛮勇剑斧,Bold Barbarian Axe,mh4g-dex-build7+mh4edit-mit-save-id,2,0
37,蛮勇剑斧【无赖】,Barbarian Outcast,mh4g-dex-build7+mh4edit-mit-save-id,4,0
38,彩鸟剑斧,Pecospander,mh4g-dex-build7+mh4edit-mit-save-id,2,0
39,彩鸟剑斧改,Pecospander+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
40,大彩鸟剑斧,Qurupexspander,mh4g-dex-build7+mh4edit-mit-save-id,4,0
41,野斧,Wild Axe,mh4g-dex-build7+mh4edit-mit-save-id,1,0
42,野斧改,Wild Axe+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
43,大地冲击,Ground Dasher,mh4g-dex-build7+mh4edit-mit-save-id,2,0
44,轰龙斩斧,Rex Slasher,mh4g-dex-build7+mh4edit-mit-save-id,3,0
45,轰龙大斩斧,Rex Gnasher,mh4g-dex-build7+mh4edit-mit-save-id,5,0
46,暴君斩斧,Accursed Switcher,mh4g-dex-build7+mh4edit-mit-save-id,6,0
47,冲斧【虎威】,Sheltered Graveaxe,mh4g-dex-build7+mh4edit-mit-save-id,7,0
48,心愿of躯壳,Eisenleib,mh4g-dex-build7+mh4edit-mit-save-id,3,0
49,心愿of精神,Eisengeist,mh4g-dex-build7+mh4edit-mit-save-id,4,0
50,心愿of灵魂,Eisenherz,mh4g-dex-build7+mh4edit-mit-save-id,5,0
51,THE执行者,La Guillotine,mh4g-dex-build7+mh4edit-mit-save-id,7,0
52,突击斧,Assault Axe,mh4g-dex-build7+mh4edit-mit-save-id,2,0
53,土砂破坏者,Blitzkrieg,mh4g-dex-build7+mh4edit-mit-save-id,3,0
54,赤甲滚动者,Binding Roller,mh4g-dex-build7+mh4edit-mit-save-id,5,0
55,赤色战斧,Vermilingua,mh4g-dex-build7+mh4edit-mit-save-id,6,0
56,惊叫之斧,Flickaxe,mh4g-dex-build7+mh4edit-mit-save-id,2,0
57,惊叫之斧改,Flickaxe+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
58,惊叫战斧,Flicker Axe,mh4g-dex-build7+mh4edit-mit-save-id,5,0
59,战栗战斧,Paraflick Axe,mh4g-dex-build7+mh4edit-mit-save-id,6,0
60,Ｇ・大海龙剑斧,Great Inceadeus,mh4g-dex-build7+mh4edit-mit-save-id,7,0
61,Ｄ・巨斧,Rough Edge,mh4g-dex-build7+mh4edit-mit-save-id,4,0
62,烈日毁灭者,Soulbreaker,mh4g-dex-build7+mh4edit-mit-save-id,5,0
63,格林猫猫斧,Grim Cat,mh4g-dex-build7+mh4edit-mit-save-id,2,0
64,修雷姆卡兹,Grimmig Katze,mh4g-dex-build7+mh4edit-mit-save-id,5,0
65,风化严重的剑斧,Worn Switch Axe,mh4g-dex-build7+mh4edit-mit-save-id,5,0
66,风化的剑斧,Weathered Switch Axe,mh4g-dex-build7+mh4edit-mit-save-id,5,0
