id,name,english,source,rarity,is_relic
0,无装备,None,mh4g-core-common-game-array,0,0
1,猎人小刀,Hunter's Knife,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,猎人小刀改,Hunter's Knife+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
3,战士短剑,Soldier's Dagger,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
4,指挥官短剑,Commander's Dagger,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
5,死亡小刀,Deadly Knife,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
6,死亡小刀改,Deadly Knife+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
7,残杀匕首,Natch Knife,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
8,虐杀匕首,Acclimated Knife,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
9,狂杀匕首,Rebellious Knife,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
10,十字章of检查者,Sucher-Ankh,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
11,十字章of寻找者,Jäger-Ankh,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
12,十字章of探寻者,Sieger-Ankh,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
13,THE探测者,Le Détecteur,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
14,公主刺剑,Princess Rapier,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
15,女王刺剑,Queen Rapier,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
16,女王玫瑰,Queen's Rose,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id+mh4g-save-id-dex-crosswalk,5,0
17,皇室玫瑰,Royal Rose,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
18,啃咬短刀,Velocidrome Bite,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
19,啃咬短刀改,Velocidrome Bite+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
20,烈牙短刀,Velocidrome Fang,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
21,烈牙短刀改,Velocidrome Fang+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
22,狂暴短刀,Drome Rush Dagger,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
23,海德拉之牙,Hydra Bite,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
24,尖刺圆阵,Spiked Circle,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
25,尖刺大圆阵,Paraspiked Circle,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
26,王剑疾雷,Usurper's Firebolt,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
27,王牙剑【折雷】,Despot's Crookbolt,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
28,狱剑龙鳞,Brimstren Drakescale,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
29,海龙剑,Lagia Sword,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
30,海龙王单手剑,High Lagia Sword,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
31,猎刀,Hunter's Dagger,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
32,暗杀者之刀,Assassin's Dagger,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
33,吸血鬼之牙,Viper Bite,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
34,吸血鬼之牙改,Viper Bite+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
35,死亡麻痹,Deathprize,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
36,致命麻痹剑,Azi Dahaka,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
37,击灭麻痹剑,Almighty Dahaka,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
38,剧毒单手斧,Poison Battleaxe,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
39,剧毒单手斧改,Poison Battleaxe+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
40,猛毒单手斧,Upper Battleaxe,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
41,死亡单手斧,Deadly Battleaxe,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
42,雷霆幻痛,Frightbane,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
43,雷神剑因陀罗,Thor Indora,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
44,灼热之刃,Djinn,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
45,灼热之刃改,Djinn+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
46,喷火者伊夫利特,Blazing Falchion,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
47,黄金之髓,Golden Falchion,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
48,迪欧斯之剑,Dios Edge,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
49,迪欧斯之剑改,Dios Edge+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
50,爆碎之裂剑,Demolition Cutter,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
51,骨制小刀,Bone Kris,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
52,骨制小刀改,Bone Kris+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
53,军用弯刀,Chief Kris,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
54,冰晶切割者,Sharkutter,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
55,冰晶切割者改,Sharkutter+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
56,冰晶宝剑,Sharfin Sword,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id+mh4g-save-id-dex-crosswalk,5,0
57,未知晶剑,Sharfinisher,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
58,轰龙之爪,Rex Talon,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
59,轰剑【虎眼】,Tigrex Sword,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
60,暴君之爪,Accursed Claw,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
61,冲剑【虎哮】,Roaring Gravesword,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
62,星纹之剑盾,Celestial Sword,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
63,星之臂,Celestial Arms,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
64,星之短剑,Celestial Brand,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
65,十字纹之剑盾,Cross Sword,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
66,高位十字,Extraordinary Cross,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
67,两圣十字短剑,Dual Cross Brand,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
68,火焰剑,Flame Syphos,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
69,火焰剑改,Flame Syphos+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
70,豪剑阿格尼,Black Doom Flame,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id+mh4g-save-id-dex-crosswalk,6,0
71,鳞剑,Scaly Sword,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
72,鳞剑改,Scaly Sword+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
73,血色鳞剑,Bloodscale Sword,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
74,血色爪剑,Bloodsquama Sword,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
75,水兽短剑,Ludroth's Nail,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id+mh4g-save-id-dex-crosswalk,2,0
76,水兽之爪,Royal Claw,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
77,奥德赛,Odyssey,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
78,奥德赛利刃,Odyssey Blade,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
79,矿石齿轮,Tusk Gear,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
