id,name,english,source,rarity,is_relic
0,None,None,mh4g-core-common-game-array,0,0
1,Derring Gloves,Derring Gloves,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,Derring Vambraces S,Derring Vambraces S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
3,Derring Guards S,Derring Guards S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
4,Leather Gloves,Leather Gloves,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
5,Leather Vambraces S,Leather Vambraces S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
6,Leather Guards S,Leather Guards S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
7,Chainmail Gloves,Chainmail Gloves,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
8,Chainmail Braces S,Chainmail Braces S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
9,Chainmail Guards S,Chainmail Guards S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
10,Hunter's Vambraces,Hunter's Vambraces,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
11,Hunter's Guards,Hunter's Guards,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
12,Hunter's Vambraces S,Hunter's Vambraces S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
13,Hunter's Guards S,Hunter's Guards S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
14,Hunter's Vambraces,Hunter's Vambraces,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
15,Hunter's Guards,Hunter's Guards,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
16,Bone Vambraces,Bone Vambraces,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
17,Bone Guards,Bone Guards,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
18,Bone Vambraces S,Bone Vambraces S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
19,Bone Guards S,Bone Guards S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
20,Alloy Vambraces,Alloy Vambraces,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
21,Alloy Guards,Alloy Guards,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
22,Alloy Vambraces S,Alloy Vambraces S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
23,Alloy Guards S,Alloy Guards S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
24,Alloy Vambraces,Alloy Vambraces,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
25,Alloy Guards,Alloy Guards,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
26,Jaggi Vambraces,Jaggi Vambraces,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
27,Jaggi Guards,Jaggi Guards,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
28,Jaggi Vambraces S,Jaggi Vambraces S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
29,Jaggi Guards S,Jaggi Guards S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
30,Ludroth Vambraces,Ludroth Vambraces,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
31,Ludroth Guards,Ludroth Guards,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
32,Ludroth Vambraces,Ludroth Vambraces,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
33,Ludroth Guards,Ludroth Guards,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
34,Rhenoplos Vambraces,Rhenoplos Vambraces,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
35,Rhenoplos Guards,Rhenoplos Guards,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
36,Rhenoplos Braces S,Rhenoplos Braces S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
37,Rhenoplos Guards S,Rhenoplos Guards S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
38,Bnahabra Gloves,Bnahabra Gloves,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
39,Bnahabra Sleeves,Bnahabra Sleeves,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
40,Bnahabra Gloves S,Bnahabra Gloves S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
