id,name,english,source,rarity,is_relic
0,None,None,mh4g-save-format,0,0
1,Derring Jacket,Derring Jacket,mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,Derring Mail S,Derring Mail S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
3,Derring Vest S,Derring Vest S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
4,Leather Vest,Leather Vest,mh4g-dex-build7+mh4edit-mit-save-id,1,0
5,Leather Mail S,Leather Mail S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
6,Leather Vest S,Leather Vest S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
7,Chainmail Vest,Chainmail Vest,mh4g-dex-build7+mh4edit-mit-save-id,1,0
8,Chainmail Armor S,Chainmail Armor S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
9,Chainmail Vest S,Chainmail Vest S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
10,Hunter's Mail,Hunter's Mail,mh4g-dex-build7+mh4edit-mit-save-id,1,0
11,Hunter's Vest,Hunter's Vest,mh4g-dex-build7+mh4edit-mit-save-id,1,0
12,Hunter's Mail S,Hunter's Mail S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
13,Hunter's Vest S,Hunter's Vest S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
14,Hunter's Mail,Hunter's Mail,mh4g-dex-build7+mh4edit-mit-save-id,1,0
15,Hunter's Vest,Hunter's Vest,mh4g-dex-build7+mh4edit-mit-save-id,1,0
16,Bone Mail,Bone Mail,mh4g-dex-build7+mh4edit-mit-save-id,1,0
17,Bone Vest,Bone Vest,mh4g-dex-build7+mh4edit-mit-save-id,1,0
18,Bone Mail S,Bone Mail S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
19,Bone Vest S,Bone Vest S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
20,Alloy Mail,Alloy Mail,mh4g-dex-build7+mh4edit-mit-save-id,1,0
21,Alloy Vest,Alloy Vest,mh4g-dex-build7+mh4edit-mit-save-id,1,0
22,Alloy Mail S,Alloy Mail S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
23,Alloy Vest S,Alloy Vest S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
24,Alloy Mail,Alloy Mail,mh4g-dex-build7+mh4edit-mit-save-id,1,0
25,Alloy Vest,Alloy Vest,mh4g-dex-build7+mh4edit-mit-save-id,1,0
26,Jaggi Mail,Jaggi Mail,mh4g-dex-build7+mh4edit-mit-save-id,2,0
27,Jaggi Vest,Jaggi Vest,mh4g-dex-build7+mh4edit-mit-save-id,2,0
28,Jaggi Mail S,Jaggi Mail S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
29,Jaggi Vest S,Jaggi Vest S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
30,Loc Lac Shawl,Loc Lac Shawl,mh4g-dex-build7+mh4edit-mit-save-id,1,0
31,Ludroth Mail,Ludroth Mail,mh4g-dex-build7+mh4edit-mit-save-id,2,0
32,Ludroth Vest,Ludroth Vest,mh4g-dex-build7+mh4edit-mit-save-id,2,0
33,Ludroth Mail,Ludroth Mail,mh4g-dex-build7+mh4edit-mit-save-id,2,0
34,Ludroth Vest,Ludroth Vest,mh4g-dex-build7+mh4edit-mit-save-id,2,0
35,Rhenoplos Mail,Rhenoplos Mail,mh4g-dex-build7+mh4edit-mit-save-id,2,0
36,Rhenoplos Vest,Rhenoplos Vest,mh4g-dex-build7+mh4edit-mit-save-id,2,0
37,Rhenoplos Mail S,Rhenoplos Mail S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
38,Rhenoplos Vest S,Rhenoplos Vest S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
39,Bnahabra Suit,Bnahabra Suit,mh4g-dex-build7+mh4edit-mit-save-id,2,0
40,Bnahabra Vest,Bnahabra Vest,mh4g-dex-build7+mh4edit-mit-save-id,2,0
41,Bnahabra Suit S,Bnahabra Suit S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
42,Bnahabra Vest S,Bnahabra Vest S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
43,Barroth Mail,Barroth Mail,mh4g-dex-build7+mh4edit-mit-save-id,2,0
44,Barroth Vest,Barroth Vest,mh4g-dex-build7+mh4edit-mit-save-id,2,0
45,Rathian Mail,Rathian Mail,mh4g-dex-build7+mh4edit-mit-save-id,2,0
46,Rathian Vest,Rathian Vest,mh4g-dex-build7+mh4edit-mit-save-id,2,0
47,Rathian Mail S,Rathian Mail S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
48,Rathian Vest S,Rathian Vest S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
49,Rath Heart Mail,Rath Heart Mail,mh4g-dex-build7+mh4edit-mit-save-id,6,0
50,Rath Heart Vest,Rath Heart Vest,mh4g-dex-build7+mh4edit-mit-save-id,6,0
51,Golden Lunemail,Golden Lunemail,mh4g-dex-build7+mh4edit-mit-save-id,7,0
52,Golden Lunevest,Golden Lunevest,mh4g-dex-build7+mh4edit-mit-save-id,7,0
53,Rathian Mail,Rathian Mail,mh4g-dex-build7+mh4edit-mit-save-id,2,0
54,Rathian Vest,Rathian Vest,mh4g-dex-build7+mh4edit-mit-save-id,2,0
55,Rath Heart Mail,Rath Heart Mail,mh4g-dex-build7+mh4edit-mit-save-id,6,0
