id,name,english,source,rarity,is_relic
0,None,None,mh4g-core-common-game-array,0,0
1,Derring Headgear,Derring Headgear,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,Derring Helm S,Derring Helm S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
3,Derring Cap S,Derring Cap S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
4,Leather Headgear,Leather Headgear,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
5,Leather Helm S,Leather Helm S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
6,Leather Cap S,Leather Cap S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
7,Chainmail Headgear,Chainmail Headgear,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
8,Chainmail Helm S,Chainmail Helm S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
9,Chainmail Cap S,Chainmail Cap S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
10,Hunter's Helm,Hunter's Helm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
11,Hunter's Cap,Hunter's Cap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
12,Hunter's Helm S,Hunter's Helm S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
13,Hunter's Cap S,Hunter's Cap S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
14,Hunter's Helm,Hunter's Helm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
15,Hunter's Cap,Hunter's Cap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
16,Bone Helm,Bone Helm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
17,Bone Cap,Bone Cap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
18,Bone Helm S,Bone Helm S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
19,Bone Cap S,Bone Cap S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
20,Alloy Helm,Alloy Helm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
21,Alloy Cap,Alloy Cap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
22,Alloy Helm S,Alloy Helm S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
23,Alloy Cap S,Alloy Cap S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
24,Alloy Helm,Alloy Helm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
25,Alloy Cap,Alloy Cap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
26,Jaggi Helm,Jaggi Helm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
27,Jaggi Cap,Jaggi Cap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
28,Jaggi Helm S,Jaggi Helm S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
29,Jaggi Cap S,Jaggi Cap S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
30,Ludroth Helm,Ludroth Helm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
31,Ludroth Cap,Ludroth Cap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
32,Ludroth Helm,Ludroth Helm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
33,Ludroth Cap,Ludroth Cap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
34,Rhenoplos Helm,Rhenoplos Helm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
35,Rhenoplos Cap,Rhenoplos Cap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
36,Rhenoplos Helm S,Rhenoplos Helm S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
37,Rhenoplos Cap S,Rhenoplos Cap S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
38,Bnahabra Hat,Bnahabra Hat,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
39,Bnahabra Headpiece,Bnahabra Headpiece,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
40,Bnahabra Hat S,Bnahabra Hat S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
41,Bnahabra Headpiece S,Bnahabra Headpiece S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
42,Barroth Helm,Barroth Helm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
43,Barroth Cap,Barroth Cap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
44,Rathian Helm,Rathian Helm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
45,Rathian Cap,Rathian Cap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
46,Rathian Helm S,Rathian Helm S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
47,Rathian Cap S,Rathian Cap S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
48,Rath Heart Helm,Rath Heart Helm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
49,Rath Heart Cap,Rath Heart Cap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
50,Golden Lunehelm,Golden Lunehelm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
51,Golden Lunecap,Golden Lunecap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
52,Rathian Helm,Rathian Helm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
53,Rathian Cap,Rathian Cap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
54,Rath Heart Helm,Rath Heart Helm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
55,Rath Heart Cap,Rath Heart Cap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
56,EX Rathian Helm,EX Rathian Helm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
57,EX Rathian Cap,EX Rathian Cap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
58,Rathalos Helm,Rathalos Helm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
59,Rathalos Cap,Rathalos Cap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
60,Rathalos Helm S,Rathalos Helm S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
61,Rathalos Cap S,Rathalos Cap S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
62,Rath Soul Helm,Rath Soul Helm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
63,Rath Soul Cap,Rath Soul Cap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
64,Silver Solhelm,Silver Solhelm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
65,Silver Solcap,Silver Solcap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
66,Rathalos Helm,Rathalos Helm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
67,Rathalos Cap,Rathalos Cap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
68,Rath Soul Helm,Rath Soul Helm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
69,Rath Soul Cap,Rath Soul Cap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
70,Silver Solhelm,Silver Solhelm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
71,Silver Solcap,Silver Solcap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
72,EX Rathalos Helm,EX Rathalos Helm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
73,EX Rathalos Cap,EX Rathalos Cap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
74,Diablos Helm,Diablos Helm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
75,Diablos Cap,Diablos Cap,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
76,Uragaan Helm,Uragaan Helm,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
