id,name,english,source,rarity,is_relic
0,None,None,mh4g-save-format,0,0
1,Derring Trousers,Derring Trousers,mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,Derring Greaves S,Derring Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
3,Derring Leggings S,Derring Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
4,Leather Trousers,Leather Trousers,mh4g-dex-build7+mh4edit-mit-save-id,1,0
5,Leather Greaves S,Leather Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
6,Leather Leggings S,Leather Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
7,Chainmail Trousers,Chainmail Trousers,mh4g-dex-build7+mh4edit-mit-save-id,1,0
8,Chainmail Greaves S,Chainmail Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
9,Chainmail Leggings S,Chainmail Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
10,Hunter's Greaves,Hunter's Greaves,mh4g-dex-build7+mh4edit-mit-save-id,1,0
11,Hunter's Leggings,Hunter's Leggings,mh4g-dex-build7+mh4edit-mit-save-id,1,0
12,Hunter's Greaves S,Hunter's Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
13,Hunter's Leggings S,Hunter's Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
14,Hunter's Greaves,Hunter's Greaves,mh4g-dex-build7+mh4edit-mit-save-id,1,0
15,Hunter's Leggings,Hunter's Leggings,mh4g-dex-build7+mh4edit-mit-save-id,1,0
16,Bone Greaves,Bone Greaves,mh4g-dex-build7+mh4edit-mit-save-id,1,0
17,Bone Leggings,Bone Leggings,mh4g-dex-build7+mh4edit-mit-save-id,1,0
18,Bone Greaves S,Bone Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
19,Bone Leggings S,Bone Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
20,Alloy Greaves,Alloy Greaves,mh4g-dex-build7+mh4edit-mit-save-id,1,0
21,Alloy Leggings,Alloy Leggings,mh4g-dex-build7+mh4edit-mit-save-id,1,0
22,Alloy Greaves S,Alloy Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
23,Alloy Leggings S,Alloy Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
24,Alloy Greaves,Alloy Greaves,mh4g-dex-build7+mh4edit-mit-save-id,1,0
25,Alloy Leggings,Alloy Leggings,mh4g-dex-build7+mh4edit-mit-save-id,1,0
26,Jaggi Greaves,Jaggi Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
27,Jaggi Leggings,Jaggi Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
28,Jaggi Greaves S,Jaggi Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
29,Jaggi Leggings S,Jaggi Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
30,Loc Lac Boots,Loc Lac Boots,mh4g-dex-build7+mh4edit-mit-save-id,1,0
31,Ludroth Greaves,Ludroth Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
32,Ludroth Leggings,Ludroth Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
33,Ludroth Greaves,Ludroth Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
34,Ludroth Leggings,Ludroth Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
35,Rhenoplos Greaves,Rhenoplos Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
36,Rhenoplos Leggings,Rhenoplos Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
37,Rhenoplos Greaves S,Rhenoplos Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
38,Rhenoplos Leggings S,Rhenoplos Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
39,Bnahabra Boots,Bnahabra Boots,mh4g-dex-build7+mh4edit-mit-save-id,2,0
40,Bnahabra Pants,Bnahabra Pants,mh4g-dex-build7+mh4edit-mit-save-id,2,0
41,Bnahabra Boots S,Bnahabra Boots S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
42,Bnahabra Pants S,Bnahabra Pants S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
43,Barroth Greaves,Barroth Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
44,Barroth Leggings,Barroth Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
45,Rathian Greaves,Rathian Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
46,Rathian Leggings,Rathian Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
47,Rathian Greaves S,Rathian Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
48,Rathian Leggings S,Rathian Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
49,Rath Heart Greaves,Rath Heart Greaves,mh4g-dex-build7+mh4edit-mit-save-id,6,0
50,Rath Heart Leggings,Rath Heart Leggings,mh4g-dex-build7+mh4edit-mit-save-id,6,0
51,Golden Lunegreaves,Golden Lunegreaves,mh4g-dex-build7+mh4edit-mit-save-id,7,0
52,Golden Luneleggings,Golden Luneleggings,mh4g-dex-build7+mh4edit-mit-save-id,7,0
53,Rathian Greaves,Rathian Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
54,Rathian Leggings,Rathian Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
55,Rath Heart Greaves,Rath Heart Greaves,mh4g-dex-build7+mh4edit-mit-save-id,6,0
56,Rath Heart Leggings,Rath Heart Leggings,mh4g-dex-build7+mh4edit-mit-save-id,6,0
57,EX Rathian Greaves,EX Rathian Greaves,mh4g-dex-build7+mh4edit-mit-save-id,7,0
58,EX Rathian Leggings,EX Rathian Leggings,mh4g-dex-build7+mh4edit-mit-save-id,7,0
59,Rathalos Greaves,Rathalos Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
60,Rathalos Leggings,Rathalos Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
61,Rathalos Greaves S,Rathalos Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
62,Rathalos Leggings S,Rathalos Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
63,Rath Soul Greaves,Rath Soul Greaves,mh4g-dex-build7+mh4edit-mit-save-id,6,0
64,Rath Soul Leggings,Rath Soul Leggings,mh4g-dex-build7+mh4edit-mit-save-id,6,0
65,Silver Solgreaves,Silver Solgreaves,mh4g-dex-build7+mh4edit-mit-save-id,7,0
66,Silver Solleggings,Silver Solleggings,mh4g-dex-build7+mh4edit-mit-save-id,7,0
67,Rathalos Greaves,Rathalos Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
68,Rathalos Leggings,Rathalos Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
69,Rath Soul Greaves,Rath Soul Greaves,mh4g-dex-build7+mh4edit-mit-save-id,6,0
70,Rath Soul Leggings,Rath Soul Leggings,mh4g-dex-build7+mh4edit-mit-save-id,6,0
71,Silver Solgreaves,Silver Solgreaves,mh4g-dex-build7+mh4edit-mit-save-id,7,0
72,Silver Solleggings,Silver Solleggings,mh4g-dex-build7+mh4edit-mit-save-id,7,0
73,EX Rathalos Greaves,EX Rathalos Greaves,mh4g-dex-build7+mh4edit-mit-save-id,7,0
74,EX Rathalos Leggings,EX Rathalos Leggings,mh4g-dex-build7+mh4edit-mit-save-id,7,0
75,Diablos Greaves,Diablos Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
76,Diablos Leggings,Diablos Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
77,Uragaan Greaves,Uragaan Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
78,Uragaan Leggings,Uragaan Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
79,Vangis Greaves,Vangis Greaves,mh4g-dex-build7+mh4edit-mit-save-id,6,0
80,Vangis Leggings,Vangis Leggings,mh4g-dex-build7+mh4edit-mit-save-id,6,0
81,Esurient Greaves,Esurient Greaves,mh4g-dex-build7+mh4edit-mit-save-id,7,0
82,Esurient Leggings,Esurient Leggings,mh4g-dex-build7+mh4edit-mit-save-id,7,0
83,Esurient Greaves,Esurient Greaves,mh4g-dex-build7+mh4edit-mit-save-id,7,0
84,Esurient Leggings,Esurient Leggings,mh4g-dex-build7+mh4edit-mit-save-id,7,0
85,Gloaming Greaves,Gloaming Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
86,Adamance Pleats,Adamance Pleats,mh4g-dex-build7+mh4edit-mit-save-id,3,0
87,Dayspring Pleats,Dayspring Pleats,mh4g-dex-build7+mh4edit-mit-save-id,3,0
88,Epoch Pleats,Epoch Pleats,mh4g-dex-build7+mh4edit-mit-save-id,3,0
89,Gloaming Archgreaves,Gloaming Archgreaves,mh4g-dex-build7+mh4edit-mit-save-id,7,0
90,Adamance Archpleats,Adamance Archpleats,mh4g-dex-build7+mh4edit-mit-save-id,7,0
91,Dayspring Archpleats,Dayspring Archpleats,mh4g-dex-build7+mh4edit-mit-save-id,7,0
92,Epoch Archpleats,Epoch Archpleats,mh4g-dex-build7+mh4edit-mit-save-id,7,0
93,Gloaming Greaves,Gloaming Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
94,Adamance Pleats,Adamance Pleats,mh4g-dex-build7+mh4edit-mit-save-id,3,0
95,Dayspring Pleats,Dayspring Pleats,mh4g-dex-build7+mh4edit-mit-save-id,3,0
96,Epoch Pleats,Epoch Pleats,mh4g-dex-build7+mh4edit-mit-save-id,3,0
97,Plesioth Greaves,Plesioth Greaves,mh4g-dex-build7+mh4edit-mit-save-id,4,0
98,Plesioth Leggings,Plesioth Leggings,mh4g-dex-build7+mh4edit-mit-save-id,4,0
99,Nibelsnarf Greaves,Nibelsnarf Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
100,Nibelsnarf Leggings,Nibelsnarf Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
101,Duramboros Greaves,Duramboros Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
102,Duramboros Leggings,Duramboros Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
103,Arzuros Greaves,Arzuros Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
104,Arzuros Leggings,Arzuros Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
105,Lagombi Greaves,Lagombi Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
106,Lagombi Leggings,Lagombi Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
107,Lagombi Greaves S,Lagombi Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
108,Lagombi Leggings S,Lagombi Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
109,Nargacuga Greaves,Nargacuga Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
110,Nargacuga Leggings,Nargacuga Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
111,Tigrex Greaves,Tigrex Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
112,Tigrex Leggings,Tigrex Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
113,Tigrex Greaves S,Tigrex Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
114,Tigrex Leggings S,Tigrex Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
115,Tigrex Greaves U,Tigrex Greaves U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
116,Tigrex Leggings U,Tigrex Leggings U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
117,Excello Greaves,Excello Greaves,mh4g-dex-build7+mh4edit-mit-save-id,7,0
118,Excello Leggings,Excello Leggings,mh4g-dex-build7+mh4edit-mit-save-id,7,0
119,EX Tigrex Greaves,EX Tigrex Greaves,mh4g-dex-build7+mh4edit-mit-save-id,7,0
120,EX Tigrex Leggings,EX Tigrex Leggings,mh4g-dex-build7+mh4edit-mit-save-id,7,0
121,Tigrex Greaves,Tigrex Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
122,Tigrex Leggings,Tigrex Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
123,Tigrex Greaves U,Tigrex Greaves U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
124,Tigrex Leggings U,Tigrex Leggings U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
125,Brachydios Greaves,Brachydios Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
126,Brachydios Leggings,Brachydios Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
127,Brachydios Greaves S,Brachydios Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,6,0
128,Brachy Leggings S,Brachy Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,6,0
129,Akantor Hessian,Akantor Hessian,mh4g-dex-build7+mh4edit-mit-save-id,7,0
130,Akantor Boots,Akantor Boots,mh4g-dex-build7+mh4edit-mit-save-id,7,0
131,Akantor Hessian,Akantor Hessian,mh4g-dex-build7+mh4edit-mit-save-id,7,0
132,Akantor Boots,Akantor Boots,mh4g-dex-build7+mh4edit-mit-save-id,7,0
133,Zinogre Greaves,Zinogre Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
134,Zinogre Leggings,Zinogre Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
135,Zinogre Greaves S,Zinogre Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
136,Zinogre Leggings S,Zinogre Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
137,Zinogre Greaves U,Zinogre Greaves U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
138,Zinogre Leggings U,Zinogre Leggings U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
139,Zinogre Greaves U,Zinogre Greaves U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
140,Zinogre Leggings U,Zinogre Leggings U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
141,EX Kaiser Greaves,EX Kaiser Greaves,mh4g-dex-build7+mh4edit-mit-save-id,7,0
142,EX Kaiser Leggings,EX Kaiser Leggings,mh4g-dex-build7+mh4edit-mit-save-id,7,0
143,Kecha Greaves,Kecha Greaves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
144,Kecha Leggings,Kecha Leggings,mh4g-dex-build7+mh4edit-mit-save-id,2,0
145,Kecha Greaves S,Kecha Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
146,Kecha Leggings S,Kecha Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
147,Gore Greaves,Gore Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
148,Gore Leggings,Gore Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
149,Gore Greaves S,Gore Greaves S,mh4g-dex-build7+mh4edit-mit-save-id,6,0
150,Gore Leggings S,Gore Leggings S,mh4g-dex-build7+mh4edit-mit-save-id,6,0
151,Gore Greaves,Gore Greaves,mh4g-dex-build7+mh4edit-mit-save-id,3,0
152,Gore Leggings,Gore Leggings,mh4g-dex-build7+mh4edit-mit-save-id,3,0
