id,name,english,source,rarity,is_relic
0,None,None,mh4g-core-common-game-array,0,0
1,Derring Belt,Derring Belt,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,Derring Faulds S,Derring Faulds S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
3,Derring Coat S,Derring Coat S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
4,Leather Belt,Leather Belt,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
5,Leather Faulds S,Leather Faulds S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
6,Leather Coat S,Leather Coat S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
7,Chainmail Belt,Chainmail Belt,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
8,Chainmail Faulds S,Chainmail Faulds S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
9,Chainmail Coat S,Chainmail Coat S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
10,Hunter's Faulds,Hunter's Faulds,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
11,Hunter's Coat,Hunter's Coat,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
12,Hunter's Faulds S,Hunter's Faulds S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
13,Hunter's Coat S,Hunter's Coat S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
14,Hunter's Faulds,Hunter's Faulds,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
15,Hunter's Coat,Hunter's Coat,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
16,Bone Faulds,Bone Faulds,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
17,Bone Coat,Bone Coat,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
18,Bone Faulds S,Bone Faulds S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
19,Bone Coat S,Bone Coat S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
20,Alloy Coil,Alloy Coil,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
21,Alloy Coat,Alloy Coat,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
22,Alloy Coil S,Alloy Coil S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
23,Alloy Coat S,Alloy Coat S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
24,Alloy Coil,Alloy Coil,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
25,Alloy Coat,Alloy Coat,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
26,Jaggi Faulds,Jaggi Faulds,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
27,Jaggi Coat,Jaggi Coat,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
28,Jaggi Faulds S,Jaggi Faulds S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
29,Jaggi Coat S,Jaggi Coat S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
30,Loc Lac Kilt,Loc Lac Kilt,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
31,Ludroth Faulds,Ludroth Faulds,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
32,Ludroth Coat,Ludroth Coat,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
33,Ludroth Faulds,Ludroth Faulds,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
34,Ludroth Coat,Ludroth Coat,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
35,Rhenoplos Coil,Rhenoplos Coil,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
36,Rhenoplos Coat,Rhenoplos Coat,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
37,Rhenoplos Coil S,Rhenoplos Coil S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
38,Rhenoplos Coat S,Rhenoplos Coat S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
39,Bnahabra Coil,Bnahabra Coil,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
40,Bnahabra Coat,Bnahabra Coat,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
41,Bnahabra Coil S,Bnahabra Coil S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
42,Bnahabra Coat S,Bnahabra Coat S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
43,Barroth Faulds,Barroth Faulds,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
44,Barroth Coat,Barroth Coat,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
45,Rathian Faulds,Rathian Faulds,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
46,Rathian Coat,Rathian Coat,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
47,Rathian Faulds S,Rathian Faulds S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
48,Rathian Coat S,Rathian Coat S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
49,Rath Heart Coil,Rath Heart Coil,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
50,Rath Heart Coat,Rath Heart Coat,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
51,Golden Lunecoil,Golden Lunecoil,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
52,Golden Lunecoat,Golden Lunecoat,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
53,Rathian Faulds,Rathian Faulds,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
54,Rathian Coat,Rathian Coat,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
