id,name,english,source
0,None,None,mh4g-save-format
1,Antidote Jewel 1,Antidote Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
2,Antidote Jewel 2,Antidote Jewel 2,mh4g-dex-build7+mh4edit-mit-save-id
3,Paralysis Jwl 1,Paralysis Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
4,Paralysis Jwl 2,Paralysis Jwl 2,mh4g-dex-build7+mh4edit-mit-save-id
5,Pep Jewel 1,Pep Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
6,Pep Jewel 2,Pep Jewel 2,mh4g-dex-build7+mh4edit-mit-save-id
7,Steadfast Jwl 1,Steadfast Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
8,Standfast Jwl 1,Standfast Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
9,Tracker Jewel 1,Tracker Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
10,Trekker Jewel 1,Trekker Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
11,Ninja Jewel 1,Ninja Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
12,Vitality Jewel 1,Vitality Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
13,Recovery Jewel 1,Recovery Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
14,Recovery Jewel 2,Recovery Jewel 2,mh4g-dex-build7+mh4edit-mit-save-id
15,Razor Jewel 1,Razor Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
16,Razor Jewel 3,Razor Jewel 3,mh4g-dex-build7+mh4edit-mit-save-id
17,Handicraft Jwl 2,Handicraft Jwl 2,mh4g-dex-build7+mh4edit-mit-save-id
18,Handicraft Jwl 3,Handicraft Jwl 3,mh4g-dex-build7+mh4edit-mit-save-id
19,Artisan Jewel 3,Artisan Jewel 3,mh4g-dex-build7+mh4edit-mit-save-id
20,Fencer Jewel 1,Fencer Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
21,Fencer Jewel 3,Fencer Jewel 3,mh4g-dex-build7+mh4edit-mit-save-id
22,Expert Jewel 1,Expert Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
23,Expert Jewel 2,Expert Jewel 2,mh4g-dex-build7+mh4edit-mit-save-id
24,Expert Jewel 3,Expert Jewel 3,mh4g-dex-build7+mh4edit-mit-save-id
25,Grinder Jewel 1,Grinder Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
26,Ironwall Jewel 1,Ironwall Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
27,Ironwall Jewel 2,Ironwall Jewel 2,mh4g-dex-build7+mh4edit-mit-save-id
28,Shield Jewel 1,Shield Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
29,Shield Jewel 2,Shield Jewel 2,mh4g-dex-build7+mh4edit-mit-save-id
30,Quickload Jwl 1,Quickload Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
31,Quickload Jwl 2,Quickload Jwl 2,mh4g-dex-build7+mh4edit-mit-save-id
32,Absorber Jewel 1,Absorber Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
33,Absorber Jewel 3,Absorber Jewel 3,mh4g-dex-build7+mh4edit-mit-save-id
34,Forceshot Jwl 1,Forceshot Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
35,Forceshot Jwl 3,Forceshot Jwl 3,mh4g-dex-build7+mh4edit-mit-save-id
36,Pierce Jewel 1,Pierce Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
37,Pierce Jewel 3,Pierce Jewel 3,mh4g-dex-build7+mh4edit-mit-save-id
38,Pellet Jewel 1,Pellet Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
39,Pellet Jewel 3,Pellet Jewel 3,mh4g-dex-build7+mh4edit-mit-save-id
40,ShotPlus Jewel 1,ShotPlus Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
41,ShotPlus Jewel 2,ShotPlus Jewel 2,mh4g-dex-build7+mh4edit-mit-save-id
42,PiercePlus Jwl 1,PiercePlus Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
43,PelletPlus Jwl 1,PelletPlus Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
44,CragPlus Jewel 1,CragPlus Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
45,ClustPlus Jwl 1,ClustPlus Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
46,SlicePlus Jwl 1,SlicePlus Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
47,BlastPlus Jwl 1,BlastPlus Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
48,Disabler Jewel 1,Disabler Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
49,Disabler Jewel 2,Disabler Jewel 2,mh4g-dex-build7+mh4edit-mit-save-id
50,Element Jewel 1,Element Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
51,Element Jewel 3,Element Jewel 3,mh4g-dex-build7+mh4edit-mit-save-id
52,Bombardier Jwl 1,Bombardier Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
53,Hungerless Jwl 1,Hungerless Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
54,Metabolism Jwl 1,Metabolism Jwl 1,mh4g-dex-build7+mh4edit-mit-save-id
55,Attack Jewel 1,Attack Jewel 1,mh4g-dex-build7+mh4edit-mit-save-id
