id,name,english,source
0,None,None,mh4g-save-format
1,Chest,Chest,mh4g-save-format
2,Arms,Arms,mh4g-save-format
3,Waist,Waist,mh4g-save-format
4,Legs,Legs,mh4g-save-format
5,Head,Head,mh4g-save-format
6,Talisman,Talisman,mh4g-save-format
7,Great Sword,Great Sword,mh4g-save-format
8,Sword and Shield,Sword and Shield,mh4g-save-format
9,Hammer,Hammer,mh4g-save-format
10,Lance,Lance,mh4g-save-format
11,Light Bowgun,Light Bowgun,mh4g-save-format
12,Heavy Bowgun,Heavy Bowgun,mh4g-save-format
13,Long Sword,Long Sword,mh4g-save-format
14,Switch Axe,Switch Axe,mh4g-save-format
15,Gunlance,Gunlance,mh4g-save-format
16,Bow,Bow,mh4g-save-format
17,Dual Blades,Dual Blades,mh4g-save-format
18,Hunting Horn,Hunting Horn,mh4g-save-format
19,Insect Glaive,Insect Glaive,mh4g-save-format
20,Charge Blade,Charge Blade,mh4g-save-format
