id,name,english,source
1,Book of Combos 1,Book of Combos 1,mh4g-dex-build7
2,Book of Combos 2,Book of Combos 2,mh4g-dex-build7
3,Book of Combos 3,Book of Combos 3,mh4g-dex-build7
4,Book of Combos 4,Book of Combos 4,mh4g-dex-build7
5,Book of Combos 5,Book of Combos 5,mh4g-dex-build7
6,Organizer Guide,Organizer Guide,mh4g-dex-build7
7,Pack Rat Guide,Pack Rat Guide,mh4g-dex-build7
8,Potion,Potion,mh4g-dex-build7
9,Mega Potion,Mega Potion,mh4g-dex-build7
10,Nutrients,Nutrients,mh4g-dex-build7
11,Mega Nutrients,Mega Nutrients,mh4g-dex-build7
12,Antidote,Antidote,mh4g-dex-build7
13,Immunizer,Immunizer,mh4g-dex-build7
14,Dash Juice,Dash Juice,mh4g-dex-build7
15,Mega Dash Juice,Mega Dash Juice,mh4g-dex-build7
16,Demondrug,Demondrug,mh4g-dex-build7
17,Mega Demondrug,Mega Demondrug,mh4g-dex-build7
18,Might Pill,Might Pill,mh4g-dex-build7
19,Armorskin,Armorskin,mh4g-dex-build7
20,Mega Armorskin,Mega Armorskin,mh4g-dex-build7
21,Adamant Pill,Adamant Pill,mh4g-dex-build7
22,Cool Drink,Cool Drink,mh4g-dex-build7
23,Hot Drink,Hot Drink,mh4g-dex-build7
24,Cleanser,Cleanser,mh4g-dex-build7
25,Deodorant,Deodorant,mh4g-dex-build7
26,Psychoserum,Psychoserum,mh4g-dex-build7
27,Herbal Medicine,Herbal Medicine,mh4g-dex-build7
28,Max Potion,Max Potion,mh4g-dex-build7
29,Ancient Potion,Ancient Potion,mh4g-dex-build7
30,Catalyst,Catalyst,mh4g-dex-build7
31,Energy Drink,Energy Drink,mh4g-dex-build7
32,Gunpowder,Gunpowder,mh4g-dex-build7
33,Lifecrystals,Lifecrystals,mh4g-dex-build7
34,Lifepowder,Lifepowder,mh4g-dex-build7
35,Tranquilizer,Tranquilizer,mh4g-dex-build7
36,Mystery Charm,Mystery Charm,mh4g-dex-build7
37,Shining Charm,Shining Charm,mh4g-dex-build7
38,Timeworn Charm,Timeworn Charm,mh4g-dex-build7
39,Distorted Charm,Distorted Charm,mh4g-dex-build7
40,Powercharm,Powercharm,mh4g-dex-build7
41,Powertalon,Powertalon,mh4g-dex-build7
42,Armorcharm,Armorcharm,mh4g-dex-build7
43,Armortalon,Armortalon,mh4g-dex-build7
44,Raw Meat,Raw Meat,mh4g-dex-build7
45,Poisoned Meat,Poisoned Meat,mh4g-dex-build7
46,Tinged Meat,Tinged Meat,mh4g-dex-build7
47,Drugged Meat,Drugged Meat,mh4g-dex-build7
48,Rare Steak,Rare Steak,mh4g-dex-build7
49,Well-done Steak,Well-done Steak,mh4g-dex-build7
50,Burnt Meat,Burnt Meat,mh4g-dex-build7
51,Chilled Meat,Chilled Meat,mh4g-dex-build7
52,Hot Meat,Hot Meat,mh4g-dex-build7
53,Mosswine Jerky,Mosswine Jerky,mh4g-dex-build7
54,Boomerang,Boomerang,mh4g-dex-build7
55,Throwing Knife,Throwing Knife,mh4g-dex-build7
56,Poison Knife,Poison Knife,mh4g-dex-build7
57,Sleep Knife,Sleep Knife,mh4g-dex-build7
58,Paralysis Knife,Paralysis Knife,mh4g-dex-build7
59,Tranq Knife,Tranq Knife,mh4g-dex-build7
60,Bomb Casing,Bomb Casing,mh4g-dex-build7
61,Paintball,Paintball,mh4g-dex-build7
62,Flash Bomb,Flash Bomb,mh4g-dex-build7
63,Sonic Bomb,Sonic Bomb,mh4g-dex-build7
64,Dung,Dung,mh4g-dex-build7
65,Dung Bomb,Dung Bomb,mh4g-dex-build7
66,Smoke Bomb,Smoke Bomb,mh4g-dex-build7
67,Poison Smoke Bomb,Poison Smoke Bomb,mh4g-dex-build7
68,Farcaster,Farcaster,mh4g-dex-build7
69,Tranq Bomb,Tranq Bomb,mh4g-dex-build7
70,Spider Web,Spider Web,mh4g-dex-build7
71,Net,Net,mh4g-dex-build7
72,Trap Tool,Trap Tool,mh4g-dex-build7
73,Pitfall Trap,Pitfall Trap,mh4g-dex-build7
74,Shock Trap,Shock Trap,mh4g-dex-build7
75,Small Barrel,Small Barrel,mh4g-dex-build7
76,Large Barrel,Large Barrel,mh4g-dex-build7
77,Barrel Bomb S,Barrel Bomb S,mh4g-dex-build7
78,Barrel Bomb S+,Barrel Bomb S+,mh4g-dex-build7
79,Barrel Bomb L,Barrel Bomb L,mh4g-dex-build7
80,Barrel Bomb L+,Barrel Bomb L+,mh4g-dex-build7
81,Bounce Bomb,Bounce Bomb,mh4g-dex-build7
82,Bounce Bomb+,Bounce Bomb+,mh4g-dex-build7
83,Felvine Bomb,Felvine Bomb,mh4g-dex-build7
84,[JP] JUMP Bomb,[JP] JUMP Bomb,mh4g-dex-build7
85,Huskberry,Huskberry,mh4g-dex-build7
86,Bone Husk,Bone Husk,mh4g-dex-build7
87,Normal S Lv1,Normal S Lv1,mh4g-dex-build7
88,Normal S Lv2,Normal S Lv2,mh4g-dex-build7
89,Normal S Lv3,Normal S Lv3,mh4g-dex-build7
