id,name,english,source
0,None,None,mh4g-save-format
1,Torso Up,Torso Up,mh4g-dex-build7
2,Edgemaster,Edgemaster,mh4g-dex-build7
3,SteadyHand,SteadyHand,mh4g-dex-build7
4,Status Res,Status Res,mh4g-dex-build7
5,Fury,Fury,mh4g-dex-build7
6,Biology,Biology,mh4g-dex-build7
7,Nimbleness,Nimbleness,mh4g-dex-build7
8,Readiness,Readiness,mh4g-dex-build7
9,Resilience,Resilience,mh4g-dex-build7
10,Brutality,Brutality,mh4g-dex-build7
11,Ferocity,Ferocity,mh4g-dex-build7
12,Stalwart,Stalwart,mh4g-dex-build7
13,Prudence,Prudence,mh4g-dex-build7
14,Amplify,Amplify,mh4g-dex-build7
15,Hoarding,Hoarding,mh4g-dex-build7
16,Avarice,Avarice,mh4g-dex-build7
17,FreeElemnt,FreeElemnt,mh4g-dex-build7
18,Fencing,Fencing,mh4g-dex-build7
19,Handicraft,Handicraft,mh4g-dex-build7
20,Crit Draw,Crit Draw,mh4g-dex-build7
21,PunishDraw,PunishDraw,mh4g-dex-build7
22,Reload Spd,Reload Spd,mh4g-dex-build7
23,Recoil,Recoil,mh4g-dex-build7
24,Rapid Fire,Rapid Fire,mh4g-dex-build7
25,Gloves Off,Gloves Off,mh4g-dex-build7
26,Spirit,Spirit,mh4g-dex-build7
27,Unshakable,Unshakable,mh4g-dex-build7
28,Charmer,Charmer,mh4g-dex-build7
29,Tenderizer,Tenderizer,mh4g-dex-build7
30,Blight Res,Blight Res,mh4g-dex-build7
31,Attack,Attack,mh4g-dex-build7
32,Defense,Defense,mh4g-dex-build7
33,Gathering,Gathering,mh4g-dex-build7
34,Carving,Carving,mh4g-dex-build7
35,Fate,Fate,mh4g-dex-build7
36,Tranquilzr,Tranquilzr,mh4g-dex-build7
37,Expert,Expert,mh4g-dex-build7
38,Artillery,Artillery,mh4g-dex-build7
39,Evasion,Evasion,mh4g-dex-build7
40,Health,Health,mh4g-dex-build7
41,Hearing,Hearing,mh4g-dex-build7
42,Sharpness,Sharpness,mh4g-dex-build7
43,Guard,Guard,mh4g-dex-build7
44,Guard Up,Guard Up,mh4g-dex-build7
45,Sharpener,Sharpener,mh4g-dex-build7
46,Potential,Potential,mh4g-dex-build7
47,Bomb Boost,Bomb Boost,mh4g-dex-build7
48,Status,Status,mh4g-dex-build7
49,Stamina,Stamina,mh4g-dex-build7
50,Destroyer,Destroyer,mh4g-dex-build7
51,Evade Dist,Evade Dist,mh4g-dex-build7
52,Sheathing,Sheathing,mh4g-dex-build7
53,FastCharge,FastCharge,mh4g-dex-build7
54,Stam Drain,Stam Drain,mh4g-dex-build7
55,Unscathed,Unscathed,mh4g-dex-build7
56,Guts,Guts,mh4g-dex-build7
57,Loading,Loading,mh4g-dex-build7
58,Normal Up,Normal Up,mh4g-dex-build7
59,Pierce Up,Pierce Up,mh4g-dex-build7
60,Pellet Up,Pellet Up,mh4g-dex-build7
61,KO,KO,mh4g-dex-build7
62,Def Lock,Def Lock,mh4g-dex-build7
63,LastingPwr,LastingPwr,mh4g-dex-build7
