id,name,english,source,rarity,is_relic
0,None,None,mh4g-save-format,0,0
1,Pawn Talisman,Pawn Talisman,mh4edit-mit-save-id,0,0
2,Bishop Talisman,Bishop Talisman,mh4edit-mit-save-id,0,0
3,Knight Talisman,Knight Talisman,mh4edit-mit-save-id,0,0
4,Rook Talisman,Rook Talisman,mh4edit-mit-save-id,0,0
5,Queen Talisman,Queen Talisman,mh4edit-mit-save-id,0,0
6,King Talisman,King Talisman,mh4edit-mit-save-id,0,0
7,Dragon Talisman,Dragon Talisman,mh4edit-mit-save-id,0,0
8,Unknown Talisman,Unknown Talisman,mh4edit-mit-save-id,0,0
9,Mystic Talisman,Mystic Talisman,mh4edit-mit-save-id,0,0
10,Hero Talisman,Hero Talisman,mh4edit-mit-save-id,0,0
11,Legend Talisman,Legend Talisman,mh4edit-mit-save-id,0,0
12,Creator Talisman,Creator Talisman,mh4edit-mit-save-id,0,0
13,Sage Talisman,Sage Talisman,mh4edit-mit-save-id,0,0
14,Miracle Talisman,Miracle Talisman,mh4edit-mit-save-id,0,0
