id,name,english,source,rarity,is_relic
0,None,None,mh4g-save-format,0,0
1,Hunter's Bow I,Hunter's Bow I,mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,Hunter's Bow II,Hunter's Bow II,mh4g-dex-build7+mh4edit-mit-save-id,1,0
3,Hunter's Bow III,Hunter's Bow III,mh4g-dex-build7+mh4edit-mit-save-id,1,0
4,Hunter's Stoutbow I,Hunter's Stoutbow I,mh4g-dex-build7+mh4edit-mit-save-id,2,0
5,Hunter's Stoutbow II,Hunter's Stoutbow II,mh4g-dex-build7+mh4edit-mit-save-id,2,0
6,Hunter's Stoutbow III,Hunter's Stoutbow III,mh4g-dex-build7+mh4edit-mit-save-id,3,0
7,Icicle Bow I,Icicle Bow I,mh4g-dex-build7+mh4edit-mit-save-id,4,0
8,Icicle Bow II,Icicle Bow II,mh4g-dex-build7+mh4edit-mit-save-id,5,0
9,Dios Flier,Dios Flier,mh4g-dex-build7+mh4edit-mit-save-id,4,0
10,Dios Flier+,Dios Flier+,mh4g-dex-build7+mh4edit-mit-save-id,5,0
11,Demolition Bow,Demolition Bow,mh4g-dex-build7+mh4edit-mit-save-id,6,0
12,Queen Blaster I,Queen Blaster I,mh4g-dex-build7+mh4edit-mit-save-id,2,0
13,Queen Blaster II,Queen Blaster II,mh4g-dex-build7+mh4edit-mit-save-id,3,0
14,Heartshot Bow I,Heartshot Bow I,mh4g-dex-build7+mh4edit-mit-save-id,5,0
15,Heartshot Bow II,Heartshot Bow II,mh4g-dex-build7+mh4edit-mit-save-id,6,0
16,Selene Moonbroken,Selene Moonbroken,mh4g-dex-build7+mh4edit-mit-save-id,7,0
17,Prominence Bow I,Prominence Bow I,mh4g-dex-build7+mh4edit-mit-save-id,3,0
18,Prominence Bow II,Prominence Bow II,mh4g-dex-build7+mh4edit-mit-save-id,5,0
19,Prominence Bow III,Prominence Bow III,mh4g-dex-build7+mh4edit-mit-save-id,6,0
20,Hyperion,Hyperion,mh4g-dex-build7+mh4edit-mit-save-id,7,0
21,Blue Alighter I,Blue Alighter I,mh4g-dex-build7+mh4edit-mit-save-id,2,0
22,Blue Alighter II,Blue Alighter II,mh4g-dex-build7+mh4edit-mit-save-id,3,0
23,Ice Cold Alighter,Ice Cold Alighter,mh4g-dex-build7+mh4edit-mit-save-id,5,0
24,Freezing Alighter,Freezing Alighter,mh4g-dex-build7+mh4edit-mit-save-id,6,0
25,Wild Bow,Wild Bow,mh4g-dex-build7+mh4edit-mit-save-id,2,0
26,Wild Power Bow I,Wild Power Bow I,mh4g-dex-build7+mh4edit-mit-save-id,2,0
27,Wild Power Bow II,Wild Power Bow II,mh4g-dex-build7+mh4edit-mit-save-id,3,0
28,Jungle Bow I,Jungle Bow I,mh4g-dex-build7+mh4edit-mit-save-id,4,0
29,Jungle Bow II,Jungle Bow II,mh4g-dex-build7+mh4edit-mit-save-id,6,0
30,Tigrex Archer,Tigrex Archer,mh4g-dex-build7+mh4edit-mit-save-id,3,0
31,Tigrex Whisker,Tigrex Whisker,mh4g-dex-build7+mh4edit-mit-save-id,5,0
32,Accursed Bow,Accursed Bow,mh4g-dex-build7+mh4edit-mit-save-id,6,0
33,Piercing Gravebow,Piercing Gravebow,mh4g-dex-build7+mh4edit-mit-save-id,7,0
34,Khezu Bow I,Khezu Bow I,mh4g-dex-build7+mh4edit-mit-save-id,2,0
35,Khezu Bow II,Khezu Bow II,mh4g-dex-build7+mh4edit-mit-save-id,3,0
36,Khezu Bow III,Khezu Bow III,mh4g-dex-build7+mh4edit-mit-save-id,4,0
37,Bloodcurdler,Bloodcurdler,mh4g-dex-build7+mh4edit-mit-save-id,5,0
38,Distant Thunder I,Distant Thunder I,mh4g-dex-build7+mh4edit-mit-save-id,3,0
39,Distant Thunder II,Distant Thunder II,mh4g-dex-build7+mh4edit-mit-save-id,5,0
40,Despot's Earlybolt,Despot's Earlybolt,mh4g-dex-build7+mh4edit-mit-save-id,6,0
41,Brimstren Drakegaze,Brimstren Drakegaze,mh4g-dex-build7+mh4edit-mit-save-id,6,0
42,Brimstren Drakeglare,Brimstren Drakeglare,mh4g-dex-build7+mh4edit-mit-save-id,6,0
43,Entbehrung,Entbehrung,mh4g-dex-build7+mh4edit-mit-save-id,3,0
44,Verzweiflung,Verzweiflung,mh4g-dex-build7+mh4edit-mit-save-id,4,0
45,Untergang,Untergang,mh4g-dex-build7+mh4edit-mit-save-id,5,0
46,Le Ravisseur,Le Ravisseur,mh4g-dex-build7+mh4edit-mit-save-id,7,0
47,Heat Haze,Heat Haze,mh4g-dex-build7+mh4edit-mit-save-id,1,0
48,Hulking Haze,Hulking Haze,mh4g-dex-build7+mh4edit-mit-save-id,2,0
49,Feminine Haze,Feminine Haze,mh4g-dex-build7+mh4edit-mit-save-id,3,0
50,Formidable Haze,Formidable Haze,mh4g-dex-build7+mh4edit-mit-save-id,5,0
51,Absolute Deviance,Absolute Deviance,mh4g-dex-build7+mh4edit-mit-save-id,6,0
52,Scylla Fist I,Scylla Fist I,mh4g-dex-build7+mh4edit-mit-save-id,2,0
