id,name,english,source,rarity,is_relic
0,None,None,mh4g-save-format,0,0
1,Matched Slicers,Matched Slicers,mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,Matched Slicers+,Matched Slicers+,mh4g-dex-build7+mh4edit-mit-save-id,1,0
3,Dual Slicers,Dual Slicers,mh4g-dex-build7+mh4edit-mit-save-id,1,0
4,Dual Hatchets,Dual Hatchets,mh4g-dex-build7+mh4edit-mit-save-id,2,0
5,Dual Hatchets+,Dual Hatchets+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
6,Dual Cleavers+,Dual Cleavers+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
7,Hurricane,Hurricane,mh4g-dex-build7+mh4edit-mit-save-id,4,0
8,Cyclone,Cyclone,mh4g-dex-build7+mh4edit-mit-save-id,5,0
9,Rex Slicers,Rex Slicers,mh4g-dex-build7+mh4edit-mit-save-id,3,0
10,Tigrex Claws,Tigrex Claws,mh4g-dex-build7+mh4edit-mit-save-id,5,0
11,Accursed Slicers,Accursed Slicers,mh4g-dex-build7+mh4edit-mit-save-id,6,0
12,Pouncing Graveclaws,Pouncing Graveclaws,mh4g-dex-build7+mh4edit-mit-save-id,7,0
13,Freezing Daggers,Freezing Daggers,mh4g-dex-build7+mh4edit-mit-save-id,2,0
14,Freezing Daggers+,Freezing Daggers+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
15,Icicle Daggers,Icicle Daggers,mh4g-dex-build7+mh4edit-mit-save-id,4,0
16,Frozen Death,Frozen Death,mh4g-dex-build7+mh4edit-mit-save-id,4,0
17,Insecticutters,Insecticutters,mh4g-dex-build7+mh4edit-mit-save-id,2,0
18,Insecticutters+,Insecticutters+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
19,Insectiscythes,Insectiscythes,mh4g-dex-build7+mh4edit-mit-save-id,4,0
20,Alated Insect,Alated Insect,mh4g-dex-build7+mh4edit-mit-save-id,6,0
21,Sworn Rapiers,Sworn Rapiers,mh4g-dex-build7+mh4edit-mit-save-id,2,0
22,Holy Sabers,Holy Sabers,mh4g-dex-build7+mh4edit-mit-save-id,3,0
23,Guild Knight Sabers,Guild Knight Sabers,mh4g-dex-build7+mh4edit-mit-save-id,4,0
24,Master Sabers,Master Sabers,mh4g-dex-build7+mh4edit-mit-save-id,5,0
25,Jaggid Shotels,Jaggid Shotels,mh4g-dex-build7+mh4edit-mit-save-id,1,0
26,Leader's Shotels,Leader's Shotels,mh4g-dex-build7+mh4edit-mit-save-id,2,0
27,Fledderklauen,Fledderklauen,mh4g-dex-build7+mh4edit-mit-save-id,3,0
28,Hungerklauen,Hungerklauen,mh4g-dex-build7+mh4edit-mit-save-id,4,0
29,Aasklauen,Aasklauen,mh4g-dex-build7+mh4edit-mit-save-id,5,0
30,Les Apôtres,Les Apôtres,mh4g-dex-build7+mh4edit-mit-save-id,7,0
31,Cleaving Jaws,Cleaving Jaws,mh4g-dex-build7+mh4edit-mit-save-id,2,0
32,Cleaving Jaws+,Cleaving Jaws+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
33,Cool Cleavers,Cool Cleavers,mh4g-dex-build7+mh4edit-mit-save-id,5,0
34,Frozen Cleavers,Frozen Cleavers,mh4g-dex-build7+mh4edit-mit-save-id,6,0
35,Bone Scythes,Bone Scythes,mh4g-dex-build7+mh4edit-mit-save-id,1,0
36,Bone Scythes+,Bone Scythes+,mh4g-dex-build7+mh4edit-mit-save-id,1,0
