id,name,english,source,rarity,is_relic
0,None,None,mh4g-save-format,0,0
1,War Hammer,War Hammer,mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,War Hammer+,War Hammer+,mh4g-dex-build7+mh4edit-mit-save-id,1,0
3,War Mace,War Mace,mh4g-dex-build7+mh4edit-mit-save-id,1,0
4,Iron Striker,Iron Striker,mh4g-dex-build7+mh4edit-mit-save-id,2,0
5,Iron Striker+,Iron Striker+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
6,Iron Impact,Iron Impact,mh4g-dex-build7+mh4edit-mit-save-id,3,0
7,Kurogane,Kurogane,mh4g-dex-build7+mh4edit-mit-save-id,4,0
8,Iron Devil,Iron Devil,mh4g-dex-build7+mh4edit-mit-save-id,5,0
9,Fist of Fury,Fist of Fury,mh4g-dex-build7+mh4edit-mit-save-id,6,0
10,Frozen Core,Frozen Core,mh4g-dex-build7+mh4edit-mit-save-id,4,0
11,Cocytus,Cocytus,mh4g-dex-build7+mh4edit-mit-save-id,5,0
12,Gun Hammer,Gun Hammer,mh4g-dex-build7+mh4edit-mit-save-id,3,0
13,Deadeye Revolver,Deadeye Revolver,mh4g-dex-build7+mh4edit-mit-save-id,4,0
14,Sanctioned Gunhammer,Sanctioned Gunhammer,mh4g-dex-build7+mh4edit-mit-save-id,5,0
15,Burning Crusher,Burning Crusher,mh4g-dex-build7+mh4edit-mit-save-id,6,0
16,Purse Bop,Purse Bop,mh4g-dex-build7+mh4edit-mit-save-id,2,0
17,Purse Bop+,Purse Bop+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
18,Bleeding Bopper,Bleeding Bopper,mh4g-dex-build7+mh4edit-mit-save-id,5,0
19,Bleeding Basher,Bleeding Basher,mh4g-dex-build7+mh4edit-mit-save-id,6,0
20,Cluster Hammer,Cluster Hammer,mh4g-dex-build7+mh4edit-mit-save-id,2,0
21,Cluster Hammer+,Cluster Hammer+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
22,Cluster Musterer,Cluster Musterer,mh4g-dex-build7+mh4edit-mit-save-id,4,0
23,Master Musterer,Master Musterer,mh4g-dex-build7+mh4edit-mit-save-id,6,0
24,Usurper's Thunder,Usurper's Thunder,mh4g-dex-build7+mh4edit-mit-save-id,3,0
25,Despot's Crackle,Despot's Crackle,mh4g-dex-build7+mh4edit-mit-save-id,5,0
26,Brimstren Drakemaw,Brimstren Drakemaw,mh4g-dex-build7+mh4edit-mit-save-id,6,0
27,Mane Malice,Mane Malice,mh4g-dex-build7+mh4edit-mit-save-id,6,0
28,Mane Malice Rajang,Mane Malice Rajang,mh4g-dex-build7+mh4edit-mit-save-id,7,0
29,Accelerated Hammer,Accelerated Hammer,mh4g-dex-build7+mh4edit-mit-save-id,1,0
30,Boosted Hammer,Boosted Hammer,mh4g-dex-build7+mh4edit-mit-save-id,2,0
31,Nitro Boost Hammer,Nitro Boost Hammer,mh4g-dex-build7+mh4edit-mit-save-id,3,0
32,Full Throttle Mace,Full Throttle Mace,mh4g-dex-build7+mh4edit-mit-save-id,5,0
33,Overclocker,Overclocker,mh4g-dex-build7+mh4edit-mit-save-id,6,0
34,Wuchtblick,Wuchtblick,mh4g-dex-build7+mh4edit-mit-save-id,3,0
35,Grimmblick,Grimmblick,mh4g-dex-build7+mh4edit-mit-save-id,4,0
36,Ächtungsblick,Ächtungsblick,mh4g-dex-build7+mh4edit-mit-save-id,5,0
37,Le Jugement,Le Jugement,mh4g-dex-build7+mh4edit-mit-save-id,7,0
38,Bone Hammer,Bone Hammer,mh4g-dex-build7+mh4edit-mit-save-id,1,0
39,Bone Hammer+,Bone Hammer+,mh4g-dex-build7+mh4edit-mit-save-id,1,0
40,Bone Bludgeon,Bone Bludgeon,mh4g-dex-build7+mh4edit-mit-save-id,1,0
41,Bone Bludgeon+,Bone Bludgeon+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
42,Heavy Bone Bludgeon,Heavy Bone Bludgeon,mh4g-dex-build7+mh4edit-mit-save-id,2,0
43,Striped Striker,Striped Striker,mh4g-dex-build7+mh4edit-mit-save-id,3,0
44,Tigrex Hammer,Tigrex Hammer,mh4g-dex-build7+mh4edit-mit-save-id,5,0
45,Accursed Striker,Accursed Striker,mh4g-dex-build7+mh4edit-mit-save-id,6,0
46,Tussive Gravemace,Tussive Gravemace,mh4g-dex-build7+mh4edit-mit-save-id,7,0
47,Gigaton Hammer,Gigaton Hammer,mh4g-dex-build7+mh4edit-mit-save-id,3,0
48,Titan Hammer,Titan Hammer,mh4g-dex-build7+mh4edit-mit-save-id,4,0
49,Graviton Hammer,Graviton Hammer,mh4g-dex-build7+mh4edit-mit-save-id,5,0
50,Venom Crater,Venom Crater,mh4g-dex-build7+mh4edit-mit-save-id,6,0
51,Meaty Smash,Meaty Smash,mh4g-dex-build7+mh4edit-mit-save-id,2,0
52,Meaty Smash+,Meaty Smash+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
53,Meaty Press,Meaty Press,mh4g-dex-build7+mh4edit-mit-save-id,5,0
54,Pressure Cooker,Pressure Cooker,mh4g-dex-build7+mh4edit-mit-save-id,6,0
55,Venom Monster,Venom Monster,mh4g-dex-build7+mh4edit-mit-save-id,2,0
56,Venom Monster+,Venom Monster+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
57,Death Venom Hammer,Death Venom Hammer,mh4g-dex-build7+mh4edit-mit-save-id,3,0
58,Purple Mace,Purple Mace,mh4g-dex-build7+mh4edit-mit-save-id,4,0
59,Pitohui Bird Mace,Pitohui Bird Mace,mh4g-dex-build7+mh4edit-mit-save-id,6,0
60,Red Bludgeon,Red Bludgeon,mh4g-dex-build7+mh4edit-mit-save-id,3,0
61,Huracan Hammer,Huracan Hammer,mh4g-dex-build7+mh4edit-mit-save-id,5,0
62,Leonid Starcrusher,Leonid Starcrusher,mh4g-dex-build7+mh4edit-mit-save-id,7,0
63,Huracan Blueblaze,Huracan Blueblaze,mh4g-dex-build7+mh4edit-mit-save-id,6,0
64,Dios Tailhammer,Dios Tailhammer,mh4g-dex-build7+mh4edit-mit-save-id,4,0
65,Dios Tailhammer+,Dios Tailhammer+,mh4g-dex-build7+mh4edit-mit-save-id,5,0
66,Demolition Hammer,Demolition Hammer,mh4g-dex-build7+mh4edit-mit-save-id,6,0
67,Kut-Ku Pick,Kut-Ku Pick,mh4g-dex-build7+mh4edit-mit-save-id,2,0
68,Kut-Ku Pick+,Kut-Ku Pick+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
69,Kut-Ku Thwap,Kut-Ku Thwap,mh4g-dex-build7+mh4edit-mit-save-id,3,0
