id,name,english,source,rarity,is_relic
0,None,None,mh4g-core-common-game-array,0,0
1,Bone Shooter,Bone Shooter,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,Bone Shooter+,Bone Shooter+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
3,Straw Drumcannon,Straw Drumcannon,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
4,Shirabeo,Shirabeo,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
5,Ratatat Drumcannon,Ratatat Drumcannon,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
6,Queen's Longfire,Queen's Longfire,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
7,Queen's Farflier,Queen's Farflier,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
8,Queen's Scionfire,Queen's Scionfire,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
9,Bone Buster,Bone Buster,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
10,Bone Blaster,Bone Blaster,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
11,Agnablaster,Agnablaster,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
12,Agnablazer,Agnablazer,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
13,Bear Barrel,Bear Barrel,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
14,Arbearalest,Arbearalest,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
15,Arzuros Gun,Arzuros Gun,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
16,Arzuros Gun+,Arzuros Gun+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
17,Power Stinger,Power Stinger,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
18,Power Stinger+,Power Stinger+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
19,Wild Stinger,Wild Stinger,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
20,Ner Bustergun,Ner Bustergun,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
21,Ner Bustergun+,Ner Bustergun+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
22,Buster Blaster,Buster Blaster,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
23,Gravios Howl,Gravios Howl,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
24,Gravios Gigahowl,Gravios Gigahowl,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
