id,name,english,source,rarity,is_relic
0,None,None,mh4g-save-format,0,0
1,Metal Bagpipe,Metal Bagpipe,mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,Metal Bagpipe+,Metal Bagpipe+,mh4g-dex-build7+mh4edit-mit-save-id,1,0
3,Great Bagpipe,Great Bagpipe,mh4g-dex-build7+mh4edit-mit-save-id,1,0
4,Heavy Bagpipe,Heavy Bagpipe,mh4g-dex-build7+mh4edit-mit-save-id,2,0
5,Heavy Bagpipe+,Heavy Bagpipe+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
6,Fortissimo,Fortissimo,mh4g-dex-build7+mh4edit-mit-save-id,3,0
7,Master Bagpipe,Master Bagpipe,mh4g-dex-build7+mh4edit-mit-save-id,4,0
8,Sforzando,Sforzando,mh4g-dex-build7+mh4edit-mit-save-id,5,0
9,Kummerklang,Kummerklang,mh4g-dex-build7+mh4edit-mit-save-id,3,0
10,Gramklang,Gramklang,mh4g-dex-build7+mh4edit-mit-save-id,4,0
11,Trauerklang,Trauerklang,mh4g-dex-build7+mh4edit-mit-save-id,5,0
12,La Sépulture,La Sépulture,mh4g-dex-build7+mh4edit-mit-save-id,7,0
13,Valkyrie Chordmaker,Valkyrie Chordmaker,mh4g-dex-build7+mh4edit-mit-save-id,2,0
14,Valkyrie Chordmaker+,Valkyrie Chordmaker+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
15,Queen's Chordmaker,Queen's Chordmaker,mh4g-dex-build7+mh4edit-mit-save-id,5,0
16,Gold Chordmaker,Gold Chordmaker,mh4g-dex-build7+mh4edit-mit-save-id,7,0
17,Kecha Whappa,Kecha Whappa,mh4g-dex-build7+mh4edit-mit-save-id,2,0
18,Kecha Whappa+,Kecha Whappa+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
19,Kechachacha Whappa,Kechachacha Whappa,mh4g-dex-build7+mh4edit-mit-save-id,3,0
20,Kecha Thumpa,Kecha Thumpa,mh4g-dex-build7+mh4edit-mit-save-id,4,0
21,Kecha Clanga,Kecha Clanga,mh4g-dex-build7+mh4edit-mit-save-id,5,0
22,Usurper's Growl,Usurper's Growl,mh4g-dex-build7+mh4edit-mit-save-id,3,0
23,Usurper's Growl+,Usurper's Growl+,mh4g-dex-build7+mh4edit-mit-save-id,5,0
24,Despot's Thunderclap,Despot's Thunderclap,mh4g-dex-build7+mh4edit-mit-save-id,6,0
25,Brimstren Drakesong,Brimstren Drakesong,mh4g-dex-build7+mh4edit-mit-save-id,6,0
26,Ice Kazoo,Ice Kazoo,mh4g-dex-build7+mh4edit-mit-save-id,2,0
27,Glacial Kazoo,Glacial Kazoo,mh4g-dex-build7+mh4edit-mit-save-id,3,0
