id,name,english,source,rarity,is_relic
0,None,None,mh4g-save-format,0,0
1,Bone Staff,Bone Staff,mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,Bone Staff+,Bone Staff+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
3,Bone Glaive,Bone Glaive,mh4g-dex-build7+mh4edit-mit-save-id,3,0
4,Bone Glaive+,Bone Glaive+,mh4g-dex-build7+mh4edit-mit-save-id,4,0
5,Aerial Glaive,Aerial Glaive,mh4g-dex-build7+mh4edit-mit-save-id,6,0
6,Sturdy Glaive,Sturdy Glaive,mh4g-dex-build7+mh4edit-mit-save-id,4,0
7,Sturdy Glaive+,Sturdy Glaive+,mh4g-dex-build7+mh4edit-mit-save-id,5,0
8,Sturdy Glaive Redux,Sturdy Glaive Redux,mh4g-dex-build7+mh4edit-mit-save-id,7,0
9,Stealth Glaive,Stealth Glaive,mh4g-dex-build7+mh4edit-mit-save-id,2,0
10,Stealth Glaive+,Stealth Glaive+,mh4g-dex-build7+mh4edit-mit-save-id,4,0
11,Stealth Glaive Redux,Stealth Glaive Redux,mh4g-dex-build7+mh4edit-mit-save-id,4,0
12,Shadow Walker,Shadow Walker,mh4g-dex-build7+mh4edit-mit-save-id,6,0
13,Assault Glaive,Assault Glaive,mh4g-dex-build7+mh4edit-mit-save-id,4,0
14,Assault Glaive+,Assault Glaive+,mh4g-dex-build7+mh4edit-mit-save-id,4,0
15,Forewalker,Forewalker,mh4g-dex-build7+mh4edit-mit-save-id,7,0
16,Leumundslist,Leumundslist,mh4g-dex-build7+mh4edit-mit-save-id,3,0
17,Leumundsgift,Leumundsgift,mh4g-dex-build7+mh4edit-mit-save-id,4,0
18,Leumundsbruch,Leumundsbruch,mh4g-dex-build7+mh4edit-mit-save-id,5,0
19,Le Traqueur,Le Traqueur,mh4g-dex-build7+mh4edit-mit-save-id,7,0
20,Indigo Flash,Indigo Flash,mh4g-dex-build7+mh4edit-mit-save-id,4,0
21,Azure Bolt,Azure Bolt,mh4g-dex-build7+mh4edit-mit-save-id,5,0
22,Verdant Levin,Verdant Levin,mh4g-dex-build7+mh4edit-mit-save-id,7,0
23,Violindigo Hail,Violindigo Hail,mh4g-dex-build7+mh4edit-mit-save-id,6,0
24,Violazure Sleet,Violazure Sleet,mh4g-dex-build7+mh4edit-mit-save-id,6,0
25,Violverdant Glaze,Violverdant Glaze,mh4g-dex-build7+mh4edit-mit-save-id,7,0
26,Heaven's Rath Glaive,Heaven's Rath Glaive,mh4g-dex-build7+mh4edit-mit-save-id,6,0
27,Rathful Blaze Glaive,Rathful Blaze Glaive,mh4g-dex-build7+mh4edit-mit-save-id,6,0
28,Unprecedented Rath,Unprecedented Rath,mh4g-dex-build7+mh4edit-mit-save-id,7,0
29,Metal Mauler,Metal Mauler,mh4g-dex-build7+mh4edit-mit-save-id,6,0
30,Metal Mauler+,Metal Mauler+,mh4g-dex-build7+mh4edit-mit-save-id,6,0
31,Metalmangler,Metalmangler,mh4g-dex-build7+mh4edit-mit-save-id,7,0
32,Direspike Display,Direspike Display,mh4g-dex-build7+mh4edit-mit-save-id,6,0
33,Direspike Display+,Direspike Display+,mh4g-dex-build7+mh4edit-mit-save-id,6,0
34,The Harmonious Stave,The Harmonious Stave,mh4g-dex-build7+mh4edit-mit-save-id,7,0
35,Fatalis Glaive,Fatalis Glaive,mh4g-dex-build7+mh4edit-mit-save-id,7,0
36,Fatalis Glaive+,Fatalis Glaive+,mh4g-dex-build7+mh4edit-mit-save-id,7,0
37,Fatalis Fate,Fatalis Fate,mh4g-dex-build7+mh4edit-mit-save-id,7,0
38,dummy38,dummy38,mh4edit-mit-save-id,0,0
39,Sky-high Glaive,Sky-high Glaive,mh4g-dex-build7+mh4edit-mit-save-id,8,0
40,Highest of Glaives,Highest of Glaives,mh4g-dex-build7+mh4edit-mit-save-id,9,0
41,Deep Blue Glaive,Deep Blue Glaive,mh4g-dex-build7+mh4edit-mit-save-id,8,0
42,Midnight Glaive,Midnight Glaive,mh4g-dex-build7+mh4edit-mit-save-id,8,0
43,Mind Stick,Mind Stick,mh4g-dex-build7+mh4edit-mit-save-id,4,0
44,"Mind Stick ""Stone""","Mind Stick ""Stone""",mh4g-dex-build7+mh4edit-mit-save-id,5,0
45,"Mind Stick ""Rock""","Mind Stick ""Rock""",mh4g-dex-build7+mh4edit-mit-save-id,8,0
46,"Mind Stick ""Mount""","Mind Stick ""Mount""",mh4g-dex-build7+mh4edit-mit-save-id,9,0
47,"Mind Stick ""Wizard""","Mind Stick ""Wizard""",mh4g-dex-build7+mh4edit-mit-save-id,9,0
48,"Mind Stick ""Wonder""","Mind Stick ""Wonder""",mh4g-dex-build7+mh4edit-mit-save-id,8,0
49,"Mind Stick ""Demon""","Mind Stick ""Demon""",mh4g-dex-build7+mh4edit-mit-save-id,8,0
50,"Mind Stick ""Fiend""","Mind Stick ""Fiend""",mh4g-dex-build7+mh4edit-mit-save-id,9,0
51,Shell Intoner,Shell Intoner,mh4g-dex-build7+mh4edit-mit-save-id,4,0
52,Shell Intoner+,Shell Intoner+,mh4g-dex-build7+mh4edit-mit-save-id,5,0
53,Crab Intoner,Crab Intoner,mh4g-dex-build7+mh4edit-mit-save-id,8,0
54,Purple Intoner,Purple Intoner,mh4g-dex-build7+mh4edit-mit-save-id,8,0
55,Hermit Scissors,Hermit Scissors,mh4g-dex-build7+mh4edit-mit-save-id,9,0
56,Spirit Eater,Spirit Eater,mh4g-dex-build7+mh4edit-mit-save-id,9,0
57,Reaper's Stroke,Reaper's Stroke,mh4g-dex-build7+mh4edit-mit-save-id,9,0
58,Silent Eye,Silent Eye,mh4g-dex-build7+mh4edit-mit-save-id,9,0
59,Silent Eye+,Silent Eye+,mh4g-dex-build7+mh4edit-mit-save-id,9,0
60,Nightmare,Nightmare,mh4g-dex-build7+mh4edit-mit-save-id,9,0
61,Needle Ivy,Needle Ivy,mh4g-dex-build7+mh4edit-mit-save-id,5,0
62,Needle Ivy+,Needle Ivy+,mh4g-dex-build7+mh4edit-mit-save-id,5,0
63,Needle Vine,Needle Vine,mh4g-dex-build7+mh4edit-mit-save-id,8,0
64,Paralyzing Vine,Paralyzing Vine,mh4g-dex-build7+mh4edit-mit-save-id,9,0
65,Medusa,Medusa,mh4g-dex-build7+mh4edit-mit-save-id,8,0
66,Medusa+,Medusa+,mh4g-dex-build7+mh4edit-mit-save-id,9,0
67,Medusa Mirror,Medusa Mirror,mh4g-dex-build7+mh4edit-mit-save-id,9,0
68,Névé Rod,Névé Rod,mh4g-dex-build7+mh4edit-mit-save-id,5,0
69,Névé Rod+,Névé Rod+,mh4g-dex-build7+mh4edit-mit-save-id,5,0
70,Névé Frost,Névé Frost,mh4g-dex-build7+mh4edit-mit-save-id,8,0
71,Fimbulvetr,Fimbulvetr,mh4g-dex-build7+mh4edit-mit-save-id,9,0
72,Sand Fauchard,Sand Fauchard,mh4g-dex-build7+mh4edit-mit-save-id,8,0
73,Sand Fauchard+,Sand Fauchard+,mh4g-dex-build7+mh4edit-mit-save-id,9,0
74,Iörovellir,Iörovellir,mh4g-dex-build7+mh4edit-mit-save-id,9,0
75,Sect Happa,Sect Happa,mh4g-dex-build7+mh4edit-mit-save-id,5,0
76,Sect Happa+,Sect Happa+,mh4g-dex-build7+mh4edit-mit-save-id,5,0
77,Trim Happa,Trim Happa,mh4g-dex-build7+mh4edit-mit-save-id,9,0
78,Cannibal Happa,Cannibal Happa,mh4g-dex-build7+mh4edit-mit-save-id,9,0
79,Diablos Rod,Diablos Rod,mh4g-dex-build7+mh4edit-mit-save-id,9,0
80,Diablos Rod+,Diablos Rod+,mh4g-dex-build7+mh4edit-mit-save-id,9,0
