id,name,english,source,rarity,is_relic
0,None,None,mh4g-save-format,0,0
1,Iron Lance,Iron Lance,mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,Iron Lance+,Iron Lance+,mh4g-dex-build7+mh4edit-mit-save-id,1,0
3,Knight Lance,Knight Lance,mh4g-dex-build7+mh4edit-mit-save-id,1,0
4,Knight Lance+,Knight Lance+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
5,Rampart,Rampart,mh4g-dex-build7+mh4edit-mit-save-id,2,0
6,Rampart+,Rampart+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
7,Babel Spear,Babel Spear,mh4g-dex-build7+mh4edit-mit-save-id,4,0
8,Elder Babel Spear,Elder Babel Spear,mh4g-dex-build7+mh4edit-mit-save-id,6,0
9,Drill Lance,Drill Lance,mh4g-dex-build7+mh4edit-mit-save-id,4,0
10,Megadrill Lance,Megadrill Lance,mh4g-dex-build7+mh4edit-mit-save-id,5,0
11,Eiferschild,Eiferschild,mh4g-dex-build7+mh4edit-mit-save-id,3,0
12,Fieberschild,Fieberschild,mh4g-dex-build7+mh4edit-mit-save-id,4,0
13,Zornesschild,Zornesschild,mh4g-dex-build7+mh4edit-mit-save-id,5,0
14,L'Égide,L'Égide,mh4g-dex-build7+mh4edit-mit-save-id,7,0
15,Venom Lance,Venom Lance,mh4g-dex-build7+mh4edit-mit-save-id,2,0
16,Basarios Venom Spear,Basarios Venom Spear,mh4g-dex-build7+mh4edit-mit-save-id,3,0
17,Gravios Spear,Gravios Spear,mh4g-dex-build7+mh4edit-mit-save-id,5,0
18,Black Gravios Spear,Black Gravios Spear,mh4g-dex-build7+mh4edit-mit-save-id,6,0
19,Diablos Lance,Diablos Lance,mh4g-dex-build7+mh4edit-mit-save-id,4,0
20,Diablos Spear,Diablos Spear,mh4g-dex-build7+mh4edit-mit-save-id,6,0
21,Fragrance,Fragrance,mh4g-dex-build7+mh4edit-mit-save-id,2,0
22,Fragrance+,Fragrance+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
23,Dark Spear,Dark Spear,mh4g-dex-build7+mh4edit-mit-save-id,4,0
24,Darkness,Darkness,mh4g-dex-build7+mh4edit-mit-save-id,6,0
25,Bone Lance,Bone Lance,mh4g-dex-build7+mh4edit-mit-save-id,1,0
26,Bone Lance+,Bone Lance+,mh4g-dex-build7+mh4edit-mit-save-id,1,0
27,Spiked Spear,Spiked Spear,mh4g-dex-build7+mh4edit-mit-save-id,1,0
28,Spiked Spear+,Spiked Spear+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
29,Spiked Javelin,Spiked Javelin,mh4g-dex-build7+mh4edit-mit-save-id,2,0
30,Tiger Stinger,Tiger Stinger,mh4g-dex-build7+mh4edit-mit-save-id,3,0
31,Tigrex Lance,Tigrex Lance,mh4g-dex-build7+mh4edit-mit-save-id,5,0
32,Accursed Stinger,Accursed Stinger,mh4g-dex-build7+mh4edit-mit-save-id,6,0
33,Predator Gravelance,Predator Gravelance,mh4g-dex-build7+mh4edit-mit-save-id,7,0
34,Dios Stinger,Dios Stinger,mh4g-dex-build7+mh4edit-mit-save-id,4,0
35,Dios Stinger+,Dios Stinger+,mh4g-dex-build7+mh4edit-mit-save-id,5,0
36,Demolition Lance,Demolition Lance,mh4g-dex-build7+mh4edit-mit-save-id,6,0
37,Red Tail,Red Tail,mh4g-dex-build7+mh4edit-mit-save-id,3,0
38,Spear of Prominence,Spear of Prominence,mh4g-dex-build7+mh4edit-mit-save-id,5,0
39,Silver Prominence,Silver Prominence,mh4g-dex-build7+mh4edit-mit-save-id,7,0
