id,name,english,source,rarity,is_relic
0,None,None,mh4g-save-format,0,0
1,Cross Bowgun,Cross Bowgun,mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,Cross Bowgun+,Cross Bowgun+,mh4g-dex-build7+mh4edit-mit-save-id,1,0
3,Grenade Launcher,Grenade Launcher,mh4g-dex-build7+mh4edit-mit-save-id,2,0
4,Grenade Launcher+,Grenade Launcher+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
5,Grenade Revolver,Grenade Revolver,mh4g-dex-build7+mh4edit-mit-save-id,4,0
6,Rathling Gun,Rathling Gun,mh4g-dex-build7+mh4edit-mit-save-id,3,0
7,Rathling Doombringer,Rathling Doombringer,mh4g-dex-build7+mh4edit-mit-save-id,4,0
8,Rathling Phoenix,Rathling Phoenix,mh4g-dex-build7+mh4edit-mit-save-id,5,0
9,Azurathling Skysear,Azurathling Skysear,mh4g-dex-build7+mh4edit-mit-save-id,6,0
10,Azurathling Sunsear,Azurathling Sunsear,mh4g-dex-build7+mh4edit-mit-save-id,6,0
11,Blossomayhem,Blossomayhem,mh4g-dex-build7+mh4edit-mit-save-id,7,0
12,Jaggid Fire,Jaggid Fire,mh4g-dex-build7+mh4edit-mit-save-id,1,0
13,Bandit Fire,Bandit Fire,mh4g-dex-build7+mh4edit-mit-save-id,2,0
14,Bandit's Rage,Bandit's Rage,mh4g-dex-build7+mh4edit-mit-save-id,4,0
15,Usurper's Crime,Usurper's Crime,mh4g-dex-build7+mh4edit-mit-save-id,3,0
16,Usurper's Crime+,Usurper's Crime+,mh4g-dex-build7+mh4edit-mit-save-id,4,0
17,Despot's Wildfire,Despot's Wildfire,mh4g-dex-build7+mh4edit-mit-save-id,5,0
18,Brimstren Drakekiss,Brimstren Drakekiss,mh4g-dex-build7+mh4edit-mit-save-id,6,0
19,Brimstren Drakevow,Brimstren Drakevow,mh4g-dex-build7+mh4edit-mit-save-id,7,0
20,Cross Blitz,Cross Blitz,mh4g-dex-build7+mh4edit-mit-save-id,4,0
21,Cross Blitzkrieg,Cross Blitzkrieg,mh4g-dex-build7+mh4edit-mit-save-id,5,0
22,Shotgun (Azure),Shotgun (Azure),mh4g-dex-build7+mh4edit-mit-save-id,6,0
23,Blue Shooter,Blue Shooter,mh4g-dex-build7+mh4edit-mit-save-id,6,0
24,Simple Shooter,Simple Shooter,mh4g-dex-build7+mh4edit-mit-save-id,1,0
25,Simple Shooter+,Simple Shooter+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
26,Shotgun (Blood),Shotgun (Blood),mh4g-dex-build7+mh4edit-mit-save-id,3,0
27,Crimson Blade Shower,Crimson Blade Shower,mh4g-dex-build7+mh4edit-mit-save-id,4,0
28,Rouge Shooter,Rouge Shooter,mh4g-dex-build7+mh4edit-mit-save-id,5,0
29,Shotgun (Green),Shotgun (Green),mh4g-dex-build7+mh4edit-mit-save-id,2,0
30,Green Blade Shower,Green Blade Shower,mh4g-dex-build7+mh4edit-mit-save-id,2,0
31,Vert Shooter,Vert Shooter,mh4g-dex-build7+mh4edit-mit-save-id,4,0
32,Shell Shooter,Shell Shooter,mh4g-dex-build7+mh4edit-mit-save-id,1,0
33,Shell Gatling,Shell Gatling,mh4g-dex-build7+mh4edit-mit-save-id,3,0
34,Insect Vulcan,Insect Vulcan,mh4g-dex-build7+mh4edit-mit-save-id,4,0
35,Hornet's Nest,Hornet's Nest,mh4g-dex-build7+mh4edit-mit-save-id,5,0
36,Sawgun,Sawgun,mh4g-dex-build7+mh4edit-mit-save-id,2,0
37,Sawgun+,Sawgun+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
38,Buzzawgun,Buzzawgun,mh4g-dex-build7+mh4edit-mit-save-id,4,0
39,Buzzawcannon,Buzzawcannon,mh4g-dex-build7+mh4edit-mit-save-id,5,0
40,Fäulnisschleuder,Fäulnisschleuder,mh4g-dex-build7+mh4edit-mit-save-id,3,0
41,Wahnschleuder,Wahnschleuder,mh4g-dex-build7+mh4edit-mit-save-id,4,0
42,Teufelsschleuder,Teufelsschleuder,mh4g-dex-build7+mh4edit-mit-save-id,5,0
43,La Lumière,La Lumière,mh4g-dex-build7+mh4edit-mit-save-id,6,0
44,Le Condamnateur,Le Condamnateur,mh4g-dex-build7+mh4edit-mit-save-id,7,0
45,Dios Blaster,Dios Blaster,mh4g-dex-build7+mh4edit-mit-save-id,4,0
46,Dios Blaster+,Dios Blaster+,mh4g-dex-build7+mh4edit-mit-save-id,5,0
47,Demolition Gun,Demolition Gun,mh4g-dex-build7+mh4edit-mit-save-id,6,0
48,Khezu Syringe,Khezu Syringe,mh4g-dex-build7+mh4edit-mit-save-id,2,0
49,Khezu Hypo,Khezu Hypo,mh4g-dex-build7+mh4edit-mit-save-id,3,0
50,Hyodermic Miracle,Hyodermic Miracle,mh4g-dex-build7+mh4edit-mit-save-id,5,0
51,Kut-Ku Anger,Kut-Ku Anger,mh4g-dex-build7+mh4edit-mit-save-id,1,0
52,Kut-Ku Anger+,Kut-Ku Anger+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
53,Kut-Ku Counterattack,Kut-Ku Counterattack,mh4g-dex-build7+mh4edit-mit-save-id,4,0
54,Kut-Ku Rage,Kut-Ku Rage,mh4g-dex-build7+mh4edit-mit-save-id,4,0
55,Kut-Ku Barrage,Kut-Ku Barrage,mh4g-dex-build7+mh4edit-mit-save-id,5,0
56,Raven Do,Raven Do,mh4g-dex-build7+mh4edit-mit-save-id,3,0
57,Wolf Do,Wolf Do,mh4g-dex-build7+mh4edit-mit-save-id,4,0
58,Crow Do,Crow Do,mh4g-dex-build7+mh4edit-mit-save-id,6,0
59,Royal Launcher,Royal Launcher,mh4g-dex-build7+mh4edit-mit-save-id,2,0
60,Royal Torrent,Royal Torrent,mh4g-dex-build7+mh4edit-mit-save-id,2,0
61,Royal Inundation,Royal Inundation,mh4g-dex-build7+mh4edit-mit-save-id,4,0
62,Barro Barrel,Barro Barrel,mh4g-dex-build7+mh4edit-mit-save-id,2,0
63,Barro Barrel+,Barro Barrel+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
64,Barrozooka,Barrozooka,mh4g-dex-build7+mh4edit-mit-save-id,5,0
65,Thundacrus,Thundacrus,mh4g-dex-build7+mh4edit-mit-save-id,6,0
66,Thundacrus Rex,Thundacrus Rex,mh4g-dex-build7+mh4edit-mit-save-id,7,0
67,Blizzard Cannon,Blizzard Cannon,mh4g-dex-build7+mh4edit-mit-save-id,5,0
68,Tabula Blizzara,Tabula Blizzara,mh4g-dex-build7+mh4edit-mit-save-id,6,0
