id,name,english,source,rarity,is_relic
0,None,None,mh4g-save-format,0,0
1,Iron Katana,Iron Katana,mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,Iron Grace,Iron Grace,mh4g-dex-build7+mh4edit-mit-save-id,1,0
3,Iron Gospel,Iron Gospel,mh4g-dex-build7+mh4edit-mit-save-id,1,0
4,Eager Cleaver,Eager Cleaver,mh4g-dex-build7+mh4edit-mit-save-id,2,0
5,Devil Slicer,Devil Slicer,mh4g-dex-build7+mh4edit-mit-save-id,3,0
6,Wailing Ghost,Wailing Ghost,mh4g-dex-build7+mh4edit-mit-save-id,4,0
7,Grand Wailing Ghost,Grand Wailing Ghost,mh4g-dex-build7+mh4edit-mit-save-id,5,0
8,Stahlfakt,Stahlfakt,mh4g-dex-build7+mh4edit-mit-save-id,3,0
9,Stahlrecht,Stahlrecht,mh4g-dex-build7+mh4edit-mit-save-id,4,0
10,Stahlurteil,Stahlurteil,mh4g-dex-build7+mh4edit-mit-save-id,5,0
11,La Justicière,La Justicière,mh4g-dex-build7+mh4edit-mit-save-id,7,0
12,Ice Blade,Ice Blade,mh4g-dex-build7+mh4edit-mit-save-id,2,0
13,Ice Blade+,Ice Blade+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
14,Edel's Snowflake,Edel's Snowflake,mh4g-dex-build7+mh4edit-mit-save-id,5,0
15,Edel's Ice,Edel's Ice,mh4g-dex-build7+mh4edit-mit-save-id,6,0
16,Aikuchi,Aikuchi,mh4g-dex-build7+mh4edit-mit-save-id,2,0
17,Unbranded Aikuchi,Unbranded Aikuchi,mh4g-dex-build7+mh4edit-mit-save-id,2,0
18,Lieutenant's Aikuchi,Lieutenant's Aikuchi,mh4g-dex-build7+mh4edit-mit-save-id,3,0
19,Toad Abetter,Toad Abetter,mh4g-dex-build7+mh4edit-mit-save-id,4,0
20,Accomplished Abetter,Accomplished Abetter,mh4g-dex-build7+mh4edit-mit-save-id,5,0
21,Guardian Sword,Guardian Sword,mh4g-dex-build7+mh4edit-mit-save-id,4,0
22,Imperial Sword,Imperial Sword,mh4g-dex-build7+mh4edit-mit-save-id,5,0
23,"Wyvern Blade ""Fall""","Wyvern Blade ""Fall""",mh4g-dex-build7+mh4edit-mit-save-id,3,0
24,"Wyvern Blade ""Blood""","Wyvern Blade ""Blood""",mh4g-dex-build7+mh4edit-mit-save-id,4,0
25,"Wyvern Blade ""Maple""","Wyvern Blade ""Maple""",mh4g-dex-build7+mh4edit-mit-save-id,5,0
26,"Wyvern Blade ""Pale""","Wyvern Blade ""Pale""",mh4g-dex-build7+mh4edit-mit-save-id,7,0
27,"Wyvern Blade ""Blaze""","Wyvern Blade ""Blaze""",mh4g-dex-build7+mh4edit-mit-save-id,6,0
28,Dios Katana,Dios Katana,mh4g-dex-build7+mh4edit-mit-save-id,4,0
29,Dios Katana+,Dios Katana+,mh4g-dex-build7+mh4edit-mit-save-id,5,0
30,Demolition Katana,Demolition Katana,mh4g-dex-build7+mh4edit-mit-save-id,6,0
31,Bone,Bone,mh4g-dex-build7+mh4edit-mit-save-id,1,0
32,Large Bone,Large Bone,mh4g-dex-build7+mh4edit-mit-save-id,1,0
33,Canine Katana,Canine Katana,mh4g-dex-build7+mh4edit-mit-save-id,1,0
34,Lupine Katana,Lupine Katana,mh4g-dex-build7+mh4edit-mit-save-id,2,0
35,Cerberus Katana,Cerberus Katana,mh4g-dex-build7+mh4edit-mit-save-id,2,0
36,Tigrine Edge,Tigrine Edge,mh4g-dex-build7+mh4edit-mit-save-id,3,0
37,Tigrine Need,Tigrine Need,mh4g-dex-build7+mh4edit-mit-save-id,5,0
38,Tigrine Hunger,Tigrine Hunger,mh4g-dex-build7+mh4edit-mit-save-id,6,0
39,Tigrine Appetence,Tigrine Appetence,mh4g-dex-build7+mh4edit-mit-save-id,7,0
40,Usurper's Boltslicer,Usurper's Boltslicer,mh4g-dex-build7+mh4edit-mit-save-id,3,0
41,Usurper Boltslicer+,Usurper Boltslicer+,mh4g-dex-build7+mh4edit-mit-save-id,5,0
42,Despot's Boltbreaker,Despot's Boltbreaker,mh4g-dex-build7+mh4edit-mit-save-id,6,0
43,Brimstren Drakebone,Brimstren Drakebone,mh4g-dex-build7+mh4edit-mit-save-id,6,0
44,Coiled Nail,Coiled Nail,mh4g-dex-build7+mh4edit-mit-save-id,2,0
45,Coiled Nail+,Coiled Nail+,mh4g-dex-build7+mh4edit-mit-save-id,4,0
46,Coiled Saber,Coiled Saber,mh4g-dex-build7+mh4edit-mit-save-id,5,0
47,Paracoiled Saber,Paracoiled Saber,mh4g-dex-build7+mh4edit-mit-save-id,6,0
48,Curviscera,Curviscera,mh4g-dex-build7+mh4edit-mit-save-id,2,0
49,Incurviscera,Incurviscera,mh4g-dex-build7+mh4edit-mit-save-id,2,0
50,Incurviscera+,Incurviscera+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
51,Bicurviscera,Bicurviscera,mh4g-dex-build7+mh4edit-mit-save-id,4,0
52,Vilcurviscera,Vilcurviscera,mh4g-dex-build7+mh4edit-mit-save-id,5,0
53,Daito Crow,Daito Crow,mh4g-dex-build7+mh4edit-mit-save-id,3,0
54,Daito Wolf,Daito Wolf,mh4g-dex-build7+mh4edit-mit-save-id,4,0
55,Daito Bane,Daito Bane,mh4g-dex-build7+mh4edit-mit-save-id,6,0
56,Demon Halberd,Demon Halberd,mh4g-dex-build7+mh4edit-mit-save-id,6,0
57,Great Demon Halberd,Great Demon Halberd,mh4g-dex-build7+mh4edit-mit-save-id,7,0
58,Blood Cry,Blood Cry,mh4g-dex-build7+mh4edit-mit-save-id,2,0
59,Blood Cry+,Blood Cry+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
60,Noble Blood Cry,Noble Blood Cry,mh4g-dex-build7+mh4edit-mit-save-id,4,0
61,Bioptimus,Bioptimus,mh4g-dex-build7+mh4edit-mit-save-id,6,0
62,Windeater,Windeater,mh4g-dex-build7+mh4edit-mit-save-id,4,0
63,Notos,Notos,mh4g-dex-build7+mh4edit-mit-save-id,5,0
64,Barbarian Blade,Barbarian Blade,mh4g-dex-build7+mh4edit-mit-save-id,5,0
65,"Barbarian ""Sharq""","Barbarian ""Sharq""",mh4g-dex-build7+mh4edit-mit-save-id,6,0
66,Hairtail's Hairblade,Hairtail's Hairblade,mh4g-dex-build7+mh4edit-mit-save-id,2,0
67,Hairtail Hairblade+,Hairtail Hairblade+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
68,Fresh Hairblade,Fresh Hairblade,mh4g-dex-build7+mh4edit-mit-save-id,4,0
69,Worn Long Sword,Worn Long Sword,mh4g-dex-build7+mh4edit-mit-save-id,5,0
70,Weathered Long Sword,Weathered Long Sword,mh4g-dex-build7+mh4edit-mit-save-id,5,0
71,Oblivvion,Oblivvion,mh4g-dex-build7+mh4edit-mit-save-id,6,0
