id,name,english,source,rarity,is_relic
0,None,None,mh4g-core-common-game-array,0,0
1,Bone Axe,Bone Axe,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,Bone Axe+,Bone Axe+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
3,Bone Smasher,Bone Smasher,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
4,Power Gasher,Power Gasher,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
5,Massive Gasher,Massive Gasher,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
6,Maximal Gasher,Maximal Gasher,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
7,Elite Switch Axe,Elite Switch Axe,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
8,Elite Switch Axe+,Elite Switch Axe+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
9,Czar Switch Axe,Czar Switch Axe,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
10,Amber Slash,Amber Slash,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
11,Galefrost,Galefrost,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
12,Rath Flame Splitter,Rath Flame Splitter,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
13,Rath Blaze Splitter,Rath Blaze Splitter,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
14,Rathsplicer,Rathsplicer,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
15,Dragonmaiden Axe,Dragonmaiden Axe,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
16,Dragonmaiden Axe+,Dragonmaiden Axe+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
17,Gríðr's Landmaker,Gríðr's Landmaker,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
18,Azure Rose,Azure Rose,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
19,Vavoom Axe,Vavoom Axe,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
20,Vavoom Axe+,Vavoom Axe+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
21,Vavoom Verdict,Vavoom Verdict,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
22,Vavoom Vengeance,Vavoom Vengeance,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
