id,name,english,source,rarity,is_relic
0,None,None,mh4g-save-format,0,0
1,Hunter's Knife,Hunter's Knife,mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,Hunter's Knife+,Hunter's Knife+,mh4g-dex-build7+mh4edit-mit-save-id,1,0
3,Soldier's Dagger,Soldier's Dagger,mh4g-dex-build7+mh4edit-mit-save-id,1,0
4,Commander's Dagger,Commander's Dagger,mh4g-dex-build7+mh4edit-mit-save-id,2,0
5,Deadly Knife,Deadly Knife,mh4g-dex-build7+mh4edit-mit-save-id,2,0
6,Deadly Knife+,Deadly Knife+,mh4g-dex-build7+mh4edit-mit-save-id,3,0
7,Natch Knife,Natch Knife,mh4g-dex-build7+mh4edit-mit-save-id,4,0
8,Acclimated Knife,Acclimated Knife,mh4g-dex-build7+mh4edit-mit-save-id,5,0
9,Rebellious Knife,Rebellious Knife,mh4g-dex-build7+mh4edit-mit-save-id,6,0
10,Sucher-Ankh,Sucher-Ankh,mh4g-dex-build7+mh4edit-mit-save-id,3,0
11,Jäger-Ankh,Jäger-Ankh,mh4g-dex-build7+mh4edit-mit-save-id,4,0
12,Sieger-Ankh,Sieger-Ankh,mh4g-dex-build7+mh4edit-mit-save-id,5,0
13,Le Détecteur,Le Détecteur,mh4g-dex-build7+mh4edit-mit-save-id,7,0
14,Princess Rapier,Princess Rapier,mh4g-dex-build7+mh4edit-mit-save-id,2,0
15,Queen Rapier,Queen Rapier,mh4g-dex-build7+mh4edit-mit-save-id,3,0
16,Queen's Rose,Queen's Rose,mh4g-dex-build7+mh4edit-mit-save-id+mh4g-save-id-dex-crosswalk,5,0
17,Royal Rose,Royal Rose,mh4g-dex-build7+mh4edit-mit-save-id,6,0
18,Velocidrome Bite,Velocidrome Bite,mh4g-dex-build7+mh4edit-mit-save-id,1,0
19,Velocidrome Bite+,Velocidrome Bite+,mh4g-dex-build7+mh4edit-mit-save-id,2,0
20,Velocidrome Fang,Velocidrome Fang,mh4g-dex-build7+mh4edit-mit-save-id,3,0
21,Velocidrome Fang+,Velocidrome Fang+,mh4g-dex-build7+mh4edit-mit-save-id,4,0
22,Drome Rush Dagger,Drome Rush Dagger,mh4g-dex-build7+mh4edit-mit-save-id,5,0
23,Hydra Bite,Hydra Bite,mh4g-dex-build7+mh4edit-mit-save-id,5,0
24,Spiked Circle,Spiked Circle,mh4g-dex-build7+mh4edit-mit-save-id,5,0
25,Paraspiked Circle,Paraspiked Circle,mh4g-dex-build7+mh4edit-mit-save-id,6,0
26,Usurper's Firebolt,Usurper's Firebolt,mh4g-dex-build7+mh4edit-mit-save-id,3,0
27,Despot's Crookbolt,Despot's Crookbolt,mh4g-dex-build7+mh4edit-mit-save-id,5,0
